mode,stratum,tm_range,model,n_test_pairs,auc
top1,within_pfam,all,M0,529,0.5578636536826989
top1,within_pfam,all,M1_AA,529,0.770509100501187
top1,within_pfam,all,M1_3Di,529,0.9321345877663472
top1,within_pfam,all,M2,529,0.9319147688970955
top1,within_pfam,tm03_08,M0,406,0.4980221229213977
top1,within_pfam,tm03_08,M1_AA,406,0.7591141064146705
top1,within_pfam,tm03_08,M1_3Di,406,0.9126315532439626
top1,within_pfam,tm03_08,M2,406,0.9117036602935071
top1,cross_pfam_same_hsf,all,M0,4516,0.7854886171441283
top1,cross_pfam_same_hsf,all,M1_AA,4516,0.7863233708127371
top1,cross_pfam_same_hsf,all,M1_3Di,4516,0.833184211760267
top1,cross_pfam_same_hsf,all,M2,4516,0.8320095045238087
top1,cross_pfam_same_hsf,tm03_08,M0,2400,0.6797255926911786
top1,cross_pfam_same_hsf,tm03_08,M1_AA,2400,0.6809931464251952
top1,cross_pfam_same_hsf,tm03_08,M1_3Di,2400,0.7802961279168118
top1,cross_pfam_same_hsf,tm03_08,M2,2400,0.777722150355739
top1,within_or_cross_pfam_same_hsf,all,M0,5045,0.8016677879087166
top1,within_or_cross_pfam_same_hsf,all,M1_AA,5045,0.8089183870972873
top1,within_or_cross_pfam_same_hsf,all,M1_3Di,5045,0.8641275305478817
top1,within_or_cross_pfam_same_hsf,all,M2,5045,0.8631003217408038
top1,within_or_cross_pfam_same_hsf,tm03_08,M0,2806,0.7043893022184055
top1,within_or_cross_pfam_same_hsf,tm03_08,M1_AA,2806,0.7193290980513214
top1,within_or_cross_pfam_same_hsf,tm03_08,M1_3Di,2806,0.8311327710008521
top1,within_or_cross_pfam_same_hsf,tm03_08,M2,2806,0.8293380579332721
