mode,stratum,tm_range,model,n_test_pairs,auc
top3,within_pfam,all,M0,195,0.5337091848719756
top3,within_pfam,all,M1_AA,195,0.5364106178059667
top3,within_pfam,all,M1_3Di,195,0.699318769086211
top3,within_pfam,all,M2,195,0.69579516091144
top3,within_pfam,tm03_08,M0,158,0.324260752688172
top3,within_pfam,tm03_08,M1_AA,158,0.31518817204301075
top3,within_pfam,tm03_08,M1_3Di,158,0.5735887096774194
top3,within_pfam,tm03_08,M2,158,0.5655241935483871
top3,cross_pfam_same_hsf,all,M0,1394,0.7121041732200901
top3,cross_pfam_same_hsf,all,M1_AA,1394,0.7085587711020238
top3,cross_pfam_same_hsf,all,M1_3Di,1394,0.7034104015937925
top3,cross_pfam_same_hsf,all,M2,1394,0.7005478662053056
top3,cross_pfam_same_hsf,tm03_08,M0,1006,0.6013834816462736
top3,cross_pfam_same_hsf,tm03_08,M1_AA,1006,0.5977335928809788
top3,cross_pfam_same_hsf,tm03_08,M1_3Di,1006,0.5964126807563961
top3,cross_pfam_same_hsf,tm03_08,M2,1006,0.5937106043752317
top3,within_or_cross_pfam_same_hsf,all,M0,1589,0.7679466479209458
top3,within_or_cross_pfam_same_hsf,all,M1_AA,1589,0.765004814574798
top3,within_or_cross_pfam_same_hsf,all,M1_3Di,1589,0.7626689220112108
top3,within_or_cross_pfam_same_hsf,all,M2,1589,0.7609224944989363
top3,within_or_cross_pfam_same_hsf,tm03_08,M0,1164,0.6793155438865566
top3,within_or_cross_pfam_same_hsf,tm03_08,M1_AA,1164,0.675689200254754
top3,within_or_cross_pfam_same_hsf,tm03_08,M1_3Di,1164,0.6719783719146833
top3,within_or_cross_pfam_same_hsf,tm03_08,M2,1164,0.6695965530239026
