mode,stratum,tm_range,model,n,r2,params,se
top1,within_pfam,all,M0,529,0.04178845548901844,"{""Intercept"": -2.222941223470122, ""tm"": 3.7302367383920205}","{""Intercept"": 0.6414604964501905, ""tm"": 0.9268992647570812}"
top1,within_pfam,all,M1_AA,529,0.25255282108961197,"{""Intercept"": 13.86409886591798, ""tm"": 2.5608506038834515, ""d_aa"": -17.6269923515937}","{""Intercept"": 2.460111300490557, ""tm"": 1.0163920439384353, ""d_aa"": 2.583573664951984}"
top1,within_pfam,all,M1_3Di,529,0.5462026971194889,"{""Intercept"": 11.560912414527634, ""tm"": 2.8762962409163637, ""d_3di"": -17.684628300393108}","{""Intercept"": 1.833600315509748, ""tm"": 1.2432520971280945, ""d_3di"": 2.1827794971659475}"
top1,within_pfam,all,M2,529,0.5482598117837316,"{""Intercept"": 13.50053420409383, ""tm"": 2.700378610118127, ""d_aa"": -2.819911864872412, ""d_3di"": -16.85240943595605}","{""Intercept"": 3.0570221478200206, ""tm"": 1.2597508972181968, ""d_aa"": 3.1750028321548855, ""d_3di"": 2.278556202761765}"
top1,within_pfam,all,dR2_M1_AA_vs_M0_CI,529,,"{""lo"": 0.11621020381159562, ""hi"": 0.30684189190427524}",
top1,within_pfam,all,dR2_M1_3Di_vs_M0_CI,529,,"{""lo"": 0.3495920809100298, ""hi"": 0.6537338857820039}",
top1,within_pfam,tm03_08,M0,406,0.02042995376865231,"{""Intercept"": -1.8396460426664807, ""tm"": 3.12414824799743}","{""Intercept"": 0.718308776641188, ""tm"": 1.0873868873466588}"
top1,within_pfam,tm03_08,M1_AA,406,0.21812018040804548,"{""Intercept"": 13.370018814048025, ""tm"": 2.2138999094688208, ""d_aa"": -16.817259887666875}","{""Intercept"": 2.652390739361136, ""tm"": 1.194954215782192, ""d_aa"": 2.8597245356574263}"
top1,within_pfam,tm03_08,M1_3Di,406,0.4796249727437152,"{""Intercept"": 10.884712835916382, ""tm"": 3.0552464493386133, ""d_3di"": -16.91010775141109}","{""Intercept"": 1.9788587716218358, ""tm"": 1.6281278830656578, ""d_3di"": 2.444401617112222}"
top1,within_pfam,tm03_08,M2,406,0.48083393783352113,"{""Intercept"": 12.27826095393113, ""tm"": 2.9234063158464516, ""d_aa"": -2.0679623166384693, ""d_3di"": -16.259694721253954}","{""Intercept"": 3.260689099419555, ""tm"": 1.6490549919336797, ""d_aa"": 3.568367928281954, ""d_3di"": 2.625688643803887}"
top1,within_pfam,tm03_08,dR2_M1_AA_vs_M0_CI,406,,"{""lo"": 0.1206792910203921, ""hi"": 0.32943027268186426}",
top1,within_pfam,tm03_08,dR2_M1_3Di_vs_M0_CI,406,,"{""lo"": 0.32953956408513646, ""hi"": 0.6535690363719694}",
top1,cross_pfam_same_hsf,all,M0,2258,0.22854162751400708,"{""Intercept"": -4.260375241294778, ""tm"": 6.892596542304486}","{""Intercept"": 0.4618598531221622, ""tm"": 0.8806011541964486}"
top1,cross_pfam_same_hsf,all,M1_AA,2258,0.24764020057841285,"{""Intercept"": 1.907717621695723, ""tm"": 6.184855833537145, ""d_aa"": -6.4853886515735075}","{""Intercept"": 1.3599239345751086, ""tm"": 0.9171528011277731, ""d_aa"": 1.4114460732425376}"
top1,cross_pfam_same_hsf,all,M1_3Di,2258,0.35792077984818915,"{""Intercept"": 4.560237264852068, ""tm"": 5.872076955189925, ""d_3di"": -10.3402884392418}","{""Intercept"": 0.9980681725453239, ""tm"": 0.99725460110234, ""d_3di"": 1.1978217525062942}"
top1,cross_pfam_same_hsf,all,M2,2258,0.3579370923934241,"{""Intercept"": 4.745755027605766, ""tm"": 5.8538769954409, ""d_aa"": -0.23607845841752084, ""d_3di"": -10.294685755919113}","{""Intercept"": 1.4087695738582973, ""tm"": 0.9999295079125818, ""d_aa"": 1.6546333097879071, ""d_3di"": 1.3134483610203147}"
top1,cross_pfam_same_hsf,all,dR2_M1_AA_vs_M0_CI,2258,,"{""lo"": 0.004114958577598019, ""hi"": 0.041567308129584715}",
top1,cross_pfam_same_hsf,all,dR2_M1_3Di_vs_M0_CI,2258,,"{""lo"": 0.06943132264106545, ""hi"": 0.19818670353915574}",
top1,cross_pfam_same_hsf,tm03_08,M0,1200,0.12113814172338744,"{""Intercept"": -4.280657726269185, ""tm"": 7.063095272049247}","{""Intercept"": 0.5058695526417835, ""tm"": 0.9801973385964807}"
top1,cross_pfam_same_hsf,tm03_08,M1_AA,1200,0.13995984801630157,"{""Intercept"": 1.3214660598150911, ""tm"": 6.332732130446468, ""d_aa"": -5.822548497624828}","{""Intercept"": 1.4083801565730463, ""tm"": 1.0434347208459673, ""d_aa"": 1.3730725644663395}"
top1,cross_pfam_same_hsf,tm03_08,M1_3Di,1200,0.2837260280924596,"{""Intercept"": 5.5032069087772255, ""tm"": 5.406941674267529, ""d_3di"": -11.089523127887238}","{""Intercept"": 1.3558984880806737, ""tm"": 1.129071686251865, ""d_3di"": 1.2911076880004948}"
