mode,stratum,tm_range,model,n,r2,params,se
top1,within_pfam,all,M0,195,0.09686153031754341,"{""Intercept"": -3.6618344672184975, ""tm"": 6.48647079450906}","{""Intercept"": 1.2271190494049853, ""tm"": 1.7747138536288465}"
top1,within_pfam,all,M1_AA,195,0.22689704595898497,"{""Intercept"": 8.904087915134133, ""tm"": 4.438556962135961, ""d_aa"": -13.305543439708918}","{""Intercept"": 3.264452752878913, ""tm"": 1.7949171603536753, ""d_aa"": 3.6365035648202655}"
top1,within_pfam,all,M1_3Di,195,0.4833406001370527,"{""Intercept"": 10.268358303965407, ""tm"": 2.6960276781414785, ""d_3di"": -15.911034597026823}","{""Intercept"": 2.205854196555195, ""tm"": 1.7557575104337653, ""d_3di"": 2.7626270287466532}"
top1,within_pfam,all,M2,195,0.483353384282748,"{""Intercept"": 10.4084836728566, ""tm"": 2.673774330429209, ""d_aa"": -0.21080026207862979, ""d_3di"": -15.839987169942198}","{""Intercept"": 3.8623633068280983, ""tm"": 1.8507245471924203, ""d_aa"": 4.794567196557564, ""d_3di"": 3.2884756234540586}"
top1,within_pfam,all,dR2_M1_AA_vs_M0_CI,195,,"{""lo"": 0.017129995018665377, ""hi"": 0.32595226327168825}",
top1,within_pfam,all,dR2_M1_3Di_vs_M0_CI,195,,"{""lo"": 0.18188574908322944, ""hi"": 0.6083400919449681}",
top1,within_pfam,tm03_08,M0,158,0.04116850037169817,"{""Intercept"": -2.6823323411639937, ""tm"": 4.858620309552898}","{""Intercept"": 1.4484350795739704, ""tm"": 2.206129808201852}"
top1,within_pfam,tm03_08,M1_AA,158,0.19168198339643883,"{""Intercept"": 10.80291192910624, ""tm"": 2.6130639154671944, ""d_aa"": -14.250081110277431}","{""Intercept"": 3.7344666108990436, ""tm"": 2.179518953079751, ""d_aa"": 4.193099081768478}"
top1,within_pfam,tm03_08,M1_3Di,158,0.45030492510197806,"{""Intercept"": 10.936236432117552, ""tm"": 1.5283073926005495, ""d_3di"": -15.885853622873192}","{""Intercept"": 2.059953335284544, ""tm"": 2.1050742631370007, ""d_3di"": 2.9001798836016954}"
top1,within_pfam,tm03_08,M2,158,0.4508468464365013,"{""Intercept"": 11.823728069439698, ""tm"": 1.3536171565140005, ""d_aa"": -1.2776820328733083, ""d_3di"": -15.476744611339878}","{""Intercept"": 4.498434342176116, ""tm"": 2.28839913947857, ""d_aa"": 5.645935179743838, ""d_3di"": 3.460291848735157}"
top1,within_pfam,tm03_08,dR2_M1_AA_vs_M0_CI,158,,"{""lo"": 0.03698406533920867, ""hi"": 0.37652513244215824}",
top1,within_pfam,tm03_08,dR2_M1_3Di_vs_M0_CI,158,,"{""lo"": 0.23001697043173266, ""hi"": 0.6589021544028892}",
top1,cross_pfam_same_hsf,all,M0,697,0.17265710407369905,"{""Intercept"": -4.284273965474193, ""tm"": 6.913819201991031}","{""Intercept"": 0.736133259793884, ""tm"": 1.3727591394390344}"
top1,cross_pfam_same_hsf,all,M1_AA,697,0.1887858648103592,"{""Intercept"": 0.8288444898907303, ""tm"": 6.053810751103312, ""d_aa"": -5.26727131685992}","{""Intercept"": 1.648049552214955, ""tm"": 1.3936900478622951, ""d_aa"": 1.7451412404907451}"
top1,cross_pfam_same_hsf,all,M1_3Di,697,0.3709835373322288,"{""Intercept"": 6.978778775504495, ""tm"": 4.3786473054965365, ""d_3di"": -12.772675840314847}","{""Intercept"": 1.4266051958087789, ""tm"": 1.6945738614626251, ""d_3di"": 1.3014960229133008}"
top1,cross_pfam_same_hsf,all,M2,697,0.37459491563201297,"{""Intercept"": 4.504700847735006, ""tm"": 4.804853526663353, ""d_aa"": 3.281721165423208, ""d_3di"": -13.620629814199882}","{""Intercept"": 1.9756233032028105, ""tm"": 1.6684857634896146, ""d_aa"": 2.4518039919330845, ""d_3di"": 1.5941745302948835}"
top1,cross_pfam_same_hsf,all,dR2_M1_AA_vs_M0_CI,697,,"{""lo"": 0.0006371354601607095, ""hi"": 0.04403257764507374}",
top1,cross_pfam_same_hsf,all,dR2_M1_3Di_vs_M0_CI,697,,"{""lo"": 0.11906638184921527, ""hi"": 0.31631621799384496}",
top1,cross_pfam_same_hsf,tm03_08,M0,503,0.09423381785300378,"{""Intercept"": -4.176074020616965, ""tm"": 6.636948302036438}","{""Intercept"": 0.7784249841701971, ""tm"": 1.480440655151586}"
