rep,label,n,mcs,n_clusters,n_noise,nmi_hdbscan,ari_hdbscan,loo_knn3_acc
R_AA,L_Pfam,123,10,2,29,0.09263930117386347,0.00391369597077553,0.4878048780487805
R_AA,L_HSF,123,10,2,29,0.10523454872022227,-0.05726431950272801,0.8780487804878049
R_AA,L_fold,123,10,2,29,0.042803589582738506,-0.09558857038691154,0.9349593495934959
R_AA,L_foldseek_cluster,123,10,2,29,0.08747603842031247,-0.00052758958554907,0.7642276422764228
R_3Di,L_Pfam,123,10,2,5,0.17063034688921466,0.026751876306482875,0.6260162601626016
R_3Di,L_HSF,123,10,2,5,0.21811154038760364,0.15301259429753475,0.943089430894309
R_3Di,L_fold,123,10,2,5,0.2909729492804003,0.4814583681580951,0.975609756097561
R_3Di,L_foldseek_cluster,123,10,2,5,0.20643163350425014,0.07882691594175376,0.8292682926829268
R_K,L_Pfam,123,10,5,15,0.6741775439896003,0.37342346762382767,0.6504065040650406
R_K,L_HSF,123,10,5,15,0.7006155429223906,0.5418083775353764,0.991869918699187
R_K,L_fold,123,10,5,15,0.4931136357803754,0.23867166551616115,0.991869918699187
R_K,L_foldseek_cluster,123,10,5,15,0.7621961116483303,0.6715060129710704,0.8943089430894309
R_Q,L_Pfam,123,10,5,17,0.7148043602592551,0.3918642601327792,0.6422764227642277
R_Q,L_HSF,123,10,5,17,0.8093732165306635,0.6681230278122194,0.983739837398374
R_Q,L_fold,123,10,5,17,0.4962896218029584,0.24364194905349054,0.983739837398374
R_Q,L_foldseek_cluster,123,10,5,17,0.7548868142291839,0.6284453407954691,0.8861788617886179
R_LN10,L_Pfam,123,10,5,21,0.7187955461656413,0.4292001220286202,0.6260162601626016
R_LN10,L_HSF,123,10,5,21,0.8069746772189578,0.6549407696847092,0.983739837398374
R_LN10,L_fold,123,10,5,21,0.49890999058036256,0.24031082820119745,0.991869918699187
R_LN10,L_foldseek_cluster,123,10,5,21,0.8059831113785656,0.7350368880778035,0.8861788617886179
R_LN10_rand,L_Pfam,123,10,0,123,,,0.4796747967479675
R_LN10_rand,L_HSF,123,10,0,123,,,0.967479674796748
R_LN10_rand,L_fold,123,10,0,123,,,0.983739837398374
R_LN10_rand,L_foldseek_cluster,123,10,0,123,,,0.7317073170731707
R_LN10_mean,L_Pfam,123,10,6,6,0.7987968952104006,0.4853459172495155,0.7560975609756098
R_LN10_mean,L_HSF,123,10,6,6,0.7525075086804225,0.563932815637129,0.991869918699187
R_LN10_mean,L_fold,123,10,6,6,0.44388950496082946,0.192778511124022,0.991869918699187
R_LN10_mean,L_foldseek_cluster,123,10,6,6,0.8350446838829539,0.7160759465834404,0.9024390243902439
