diagnostic,subcond,n,median_delta,mean_delta,p25,p75,median_dist
D1,k_far=16,83,0.2715169325041913,0.2699226550336819,0.19184445984793325,0.358062838693039,98.5
D1,k_far=2,83,0.10130513173438893,0.1116887817311044,0.058080723341819906,0.15468183212290398,105.5
D1,k_far=4,83,0.15406725830185286,0.15832053149369202,0.0947462801040837,0.2058596548621171,104.5
D1,k_far=8,83,0.21093257395918996,0.2050200941883577,0.13342246226932158,0.2829581466742873,102.5
D2,mask_far_k=5,1,-0.013489071075303727,-0.013489071075303727,-0.013489071075303727,-0.013489071075303727,61.0
D2,mask_far_k=6,1,0.0051373831734149444,0.0051373831734149444,0.0051373831734149444,0.0051373831734149444,69.5
D2,mask_far_k=7,4,-0.0111134672324959,-0.011965934792406624,-0.025486438777119452,0.002407036752216929,18.142857142857142
D2,mask_far_k=8,77,-0.000660851549356134,-0.0017950565377940104,-0.005756266359623008,0.0029531351082203727,104.5
D3,bin=far,83,0.15581284219796432,0.15474436578154044,0.08795645100640825,0.20586693050314703,71.75
D3,bin=mid,83,0.16525874250720118,0.17196051769583223,0.09903211692593727,0.22356829766712283,47.25
D3,bin=near,83,0.17235036865122588,0.18848835707249076,0.11295880815382092,0.2615951550831951,33.25
D3,bin=veryfar,71,0.13989976102585122,0.14216017901094077,0.07431772243412926,0.19014617701087788,105.5
