diagnostic,subcond,n,median_delta,mean_delta,p25,p75,median_dist
D1,k_far=16,3,0.4820334635412652,0.45586278083324183,0.4424550014131058,0.4823559016073895,38.5
D1,k_far=2,3,0.2625030138560429,0.22627238663062557,0.2023738617493454,0.2682862251246144,45.5
D1,k_far=4,3,0.37811837494425116,0.3354470726497884,0.3108588985477735,0.3813708978990346,44.5
D1,k_far=8,3,0.4240341899871073,0.42560651836881336,0.4062408285317798,0.4441860440149939,42.5
D2,mask_far_k=7,1,-0.030320624029540832,-0.030320624029540832,-0.030320624029540832,-0.030320624029540832,19.0
D2,mask_far_k=8,2,-0.011233453464785825,-0.011233453464785825,-0.012103501606254646,-0.010363405323317004,50.0
D3,bin=far,3,0.3060974103229648,0.3458299582791904,0.2908927246120972,0.38090091796817077,60.5
D3,bin=mid,3,0.36622201862566517,0.33543190283039764,0.3097955798904883,0.37646328366794085,37.25
D3,bin=near,3,0.4111372431359298,0.38966863192119056,0.3743248695415133,0.4157466999082375,24.0
D3,bin=veryfar,1,0.43097293952471083,0.43097293952471083,0.43097293952471083,0.43097293952471083,82.5
