protein,C0,C7,C7_sub,C8,C8_sub
1BS0A,-6.977402982055736e-07,-0.77837290058666,-0.40693853884808656,-0.17242959015432618,-0.11667335152749306
1F5VA,0.0,-0.030386599504961254,-0.006021866502513129,-0.023891358243175176,-0.011577655839809242
1JX6A,1.9127100348015347e-07,-0.023694651909726194,-0.007035330049592781,-0.010383165550409102,-0.011367814330941684
1NOXA,9.594581906746669e-08,0.030510770445886126,0.050232529489667166,0.027363085556134138,0.02154957966616424
1OOEA,1.6505133682009898e-07,-0.02380584945238451,0.007429043192449303,-0.014768215932042411,-0.016869880623319667
1SBYA,-5.045256370461715e-07,-0.025643104114162707,-0.024317715265743223,-0.024440466353227264,-0.01026860608563862
1YKIA,2.849580883479419e-07,-0.03748604655227317,-0.0695767916454848,-0.006836287018905318,-0.015322319893190144
1ZMTA,3.209043083485241e-07,-0.0086884841483299,0.03635942084794952,-0.0059962213517692434,-0.004001271583321758
2FVYA,1.796545530119431e-07,-0.05308414767747971,-0.02788930333198103,-0.02885180259988877,-0.03440939374133832
2FWMX,-8.403984230742623e-08,-0.03202388614013241,0.02481461230992066,-0.003091262730565447,-0.00455326604879458
2OB0A,-2.255564985897962e-07,0.004115954987042869,-0.05660415518678075,-0.006832034917348961,-0.04647157458059461
2OZTA,1.0550130213893283e-07,-0.4598101229765378,-0.7157868904293017,-0.00029271072513575305,-0.06825629478794024
2PGEA,-3.5628619315941634e-06,-1.02038611888919,-0.9326827597627435,-0.9635655635594496,-0.655795788970057
2PGWA,3.020087507854541e-07,-0.24129381756879542,-0.24544125340879797,-0.0842034599733206,-0.009317040431018891
2Q7WA,2.3936808746238825e-07,-0.6418275067284375,-0.035636243168933435,-0.1387952975181758,-0.10484285674562008
2R01A,-8.799954587246361e-08,-0.024951479250367004,-0.04118598748030455,-0.0010510005768370133,-0.009053498883945738
3D02A,5.785409890046722e-07,-0.021024468812590902,0.04300248888333491,-0.026489644694836993,-0.017442958751184578
3EKGA,1.0755069513868065e-06,-1.222616763980627,-0.3095633450739854,-0.835129500125543,-0.16349261561408443
3G0TA,4.841786553910765e-07,-0.07178553790634701,0.016434072620342466,-0.25675699557460707,-0.1813065717367166
3G7QA,0.0,-0.4685119097248171,-0.21069914670407186,-0.23012781400245247,-0.11965848586337144
3GEMA,-2.536874313951998e-07,-0.009033893993831699,-0.42925790676073616,-0.019453411825352068,-0.1048586364841763
3H75A,0.0,-0.016898751510284304,-0.023545763524206675,-0.0012963276150278424,-0.002879646508803979
3H7AA,-3.309009357632675e-07,-0.023599772009255227,0.02648853717796107,-0.0018826774187410467,-0.0073016393659607
3HDOA,-7.957698291427562e-07,-1.0402851844545835,-0.7775964521663199,-0.5661005936343454,-0.21559779489527808
3I6EA,-5.004066303548882e-07,-1.2535364987588915,-1.1805893969439567,-0.7063722355786312,-0.13290717662172274
3LY1A,-3.432373616440998e-07,-0.05518604623424428,0.009809037319597591,0.008402660844674475,-0.006773634874220319
3TCVA,8.332780971898046e-07,-0.020600679879174688,0.005840521935098986,-0.004133207079076151,-0.004246282916852057
3UCEA,-7.969757631620666e-08,-0.057999193938712335,-0.004642383824643659,-0.005770817823852875,-0.010778471580601356
4DQ6A,-7.165794335683984e-08,-0.0343938064033108,-0.029730450763576277,-0.012254142491963693,-0.015042148844010412
4KEMA,-2.566725669783665e-07,-0.3200860058437499,-0.30906123463098145,-0.45315493818126784,-0.47291283279844193
4O5OA,8.509021232061542e-08,-0.08645505922151131,-0.041346780650111326,-0.01996610771757159,-0.014032060970880972
4O6VA,-1.6333066510387795e-07,-0.015913470026944765,0.014222017659638153,-0.011773858404399928,-0.006460695537103972
4QLXA,-1.7186397649471274e-07,-0.02269884876915318,-0.008274563014356695,-0.017659805570283328,-0.034839994637843937
4RY0A,3.602004119418467e-07,-0.036607978313053624,-0.041102378952625473,-0.017823387254434477,-0.014990910792856032
4UHTA,4.5510734669740316e-07,-0.003591343093686805,0.0008488662229249044,-0.0064168634019874824,0.0061026299834368355
4WBTA,3.585148165008434e-07,-1.142782659803498,-0.04077810263203652,-0.19176424917138268,-0.17276723302297903
4WT7A,1.0915658954502305e-07,-0.4916789385962529,-0.06331540654662282,-0.4901785327060023,-0.3329158932922294
5HKOA,-2.605734857885622e-07,-0.016002425765436756,-0.02173234985951178,-0.0077967234968753405,-0.004089392513741135
5IDYA,8.149936003842839e-08,-0.019664899081379916,0.034498923597202524,-0.0006950917417921088,0.0005634662003816682
