protein,C0,C7,C7_sub,C8,C8_sub
1BS0A,-2.8781787303477913e-06,-0.7469560657028024,-0.7461065805173989,-0.622459938859198,-0.3224050320806816
1F5VA,-1.66326930117755e-07,-0.9626092903071068,-0.9491301143140042,-0.967196493479028,-0.43731101726298893
1JX6A,0.0,-0.935988696074966,0.01499115180337951,-0.7806809608822227,-0.14736814924646882
1NOXA,1.9189163802391107e-07,-0.9685235228925285,-0.9649938561094795,-1.0243116493143856,-0.6994129642014635
1OOEA,-1.485462030714757e-06,-0.833585545530154,-0.3372350368997021,-0.5710097673667429,-0.2877434367310155
1SBYA,1.5135769110274921e-06,-0.8502326367712243,-0.8819866605103327,-0.7365300573460656,-0.4128875553753675
1YKIA,1.5197764712260309e-06,-1.3775404963437978,-0.7415577366880879,-1.0812543113268276,-0.6091362793297861
1ZMTA,-2.0858780042098957e-06,-1.0978612931240235,-0.928657436656498,-0.7050700497752667,-0.23501150943358384
2FVYA,1.4372364242065672e-06,-0.9957790387331624,-0.6363125328094128,-0.9755287564734028,-0.34993929360368714
2FWMX,-8.403984230742623e-08,-1.0147611780974017,-1.0749763974102955,-1.0209638153432885,-0.4944330340807612
2HXTA,1.7250184339845376e-06,-0.9324665633208123,-0.7051825561672471,-0.877921202548732,-0.3493349902324066
2OB0A,-9.77411494074154e-07,-0.8107817904780121,-0.804142859178236,-0.9219581518731301,-0.7109832885566092
2PGEA,2.6094200061832495e-06,-1.173604110840133,-1.0932857615993739,-1.1077235783679082,-0.7447058412117745
2PGWA,-1.419441128780452e-05,-1.1050250783033189,-1.0732072483710906,-1.0292867115797302,-0.6226371105886583
2Q7WA,6.622517084720059e-06,-1.1439339658448868,-0.4297163033364959,-0.9431502901859323,-0.40567326752758853
2R01A,-6.159968215513345e-07,-1.1000507757379974,-1.2010998623247104,-1.0436489821243773,-0.5417734443302773
3D02A,-6.94249186916629e-07,-0.9850248425500698,0.014012089192507182,-0.7340516853061726,-0.3072227559262847
3EKGA,-2.688767378744572e-07,-1.1557295526634974,-0.32926017938201196,-0.9793095741393547,-0.3706453241685502
3G0TA,4.841786554687921e-06,-0.9474933264041988,-0.8981131557796407,-0.9380420672572571,-0.7133833622382106
3G7QA,6.650203533409282e-07,-1.097733469318912,-0.335457796270516,-0.6562137143074225,-0.18154119942405914
3GEMA,1.1838746798442656e-06,-1.038330543053463,-1.088701345287536,-0.8600258385405496,-0.7200846408559718
3H75A,-1.8058852169211548e-07,-0.5913291233935183,-0.06178583447382502,-0.6943896060278553,-0.05140906677179321
3H7AA,-9.92702807067758e-07,-1.0137416540579622,-0.9783332271692831,-0.934084427615834,-0.6290187081048393
3HDOA,-7.957698291427562e-07,-1.0402851844545835,-0.7775964521663199,-0.5661005936343454,-0.21559779489527808
3I6EA,-2.051667184810313e-06,-0.9981339586548029,-0.9856195144174156,-1.0011649234918294,-0.4422677950915414
3LY1A,-6.60731921064972e-06,-0.9664391785969538,-0.5705866561498739,-0.9278379676725699,-0.7455766284569473
3TCVA,1.8180613027274362e-06,-1.0130857802986544,-1.0085402861552737,-1.018956363688013,-0.3789003602980863
3UCEA,4.781854583413292e-07,-0.9721860041013967,-0.5187791996976593,-0.8428005976401707,-0.19191457465343706
3V5CA,2.175085505262686e-06,-0.35793400169123996,-0.021137614108758696,-0.1991639806395195,-0.08138201492818889
4DQ6A,4.299476602520613e-07,-0.8342428338652861,-0.8949963192897379,-0.8727181027854554,-0.5479388513221375
4KEMA,4.363433638965297e-06,-1.15634122838186,-1.2884505130585162,-1.1197710204779363,-1.1038169312219335
4O5OA,1.7868944565124778e-06,-0.732652400505504,-0.756507444159761,-0.7279451497792617,-0.7085947252800808
4O6VA,2.4499599760030577e-07,-0.873761984183385,0.039419366018957125,-0.6450799127306902,-0.3074358673977129
4PE6A,1.6062898022806138e-07,-0.35263581447995296,0.09060234796734734,-0.3392842506497442,-0.10225511509601863
4QLXA,1.2889798239879013e-06,-1.1373866234829781,-1.0714664981253936,-1.010490048914636,-0.43368309295112795
4RY0A,-2.701503090118962e-07,-1.0806339464214494,-0.29842158378500216,-1.1185493987624775,-0.20090731388287134
4WBTA,1.5236879701285844e-06,-1.1796520658520016,-1.110996579320507,-1.107120284353786,-0.7345666718240518
4WT7A,5.730720954222335e-06,-0.7332111195689275,-0.13563917896342936,-0.7406994156288331,-0.5381577226895398
5HKOA,-9.554361144470391e-07,-0.9103366554064177,-0.1391985298096502,-0.8855487783400265,-0.21702397263040335
5IDYA,-8.149936003842839e-08,-1.1035869905831563,-1.0273491069911374,-0.7043553757181622,-0.27991212535253573
