protein,selected_radius,first_05,max_alpha_norm
1BS0A,53,0,0.9199925620884204
1DZ3A,15,0,1.0141165686308429
1F5VA,36,0,0.9634165580621116
1IKTA,18,0,1.0355649661780235
1JX6A,0,0,0.9540066875993652
1NOXA,0,0,0.9917925068042376
1OOEA,0,0,1.0547706355846391
1OPCA,22,0,1.0153598036956568
1SBYA,34,0,1.059248211393551
1TIQA,21,0,1.0424638249643474
1VKCA,18,0,1.1176369115742837
1XG5A,31,0,1.010924408083586
1YKIA,0,0,1.037306807914692
1Z4EA,18,0,1.2020972328060904
1ZMTA,37,0,0.9612198375020808
2B06A,0,0,1.076805811956379
2B0VA,0,0,1.1866031055052162
2DSCA,0,0,0.9699495393208502
2FL4A,18,0,1.075403445914073
2FVYA,0,0,1.0440724058152022
2FWMX,30,0,0.9995915663665156
2GKGA,0,0,1.1743527110278795
2HXTA,63,0,0.9779047563847028
2OB0A,20,0,1.069696055851398
2OZTA,0,0,0.9363102354409258
2PC1A,25,0,1.1311792703414234
2PGEA,0,0,1.0048158853460991
2PGWA,0,0,0.9541568836804236
2Q7WA,52,0,0.9772467068735904
2QR3A,0,0,1.0198249129413932
2R01A,37,0,1.0102299472134724
2RDMA,0,0,1.0
2W8TA,61,0,0.887318870137174
2WZVA,34,0,1.007741412610892
2YYHA,0,0,1.065663729175043
3BM1A,36,0,0.9822501214389328
3CG4A,0,0,0.9930568022757692
3D02A,0,0,1.0205164519701055
3EKGA,0,0,1.0116744487063398
3G0TA,51,0,1.0486496257298994
3G7QA,0,0,1.0107305190392415
3GEMA,0,0,0.9481905152019656
3GWYA,0,0,1.104451542343553
3H5IA,20,0,1.008029508915777
3H75A,0,0,1.0224934742080314
3H7AA,41,0,1.0369656880547244
3HDOA,0,0,1.0489235754150623
3HOIA,0,0,0.9470983099365312
3HV2A,0,0,1.0132099377237658
3I6EA,0,0,0.9533044552002956
3I7UA,0,0,1.0259634957771129
3KYJB,16,0,1.0054012087756754
3KZVA,30,0,1.035321724208501
3LY1A,46,0,1.0576266354938495
3N77A,0,0,1.0863313290741878
3QSJA,0,0,1.1870617925446851
3RQIA,27,0,0.9482016082810456
3TCVA,33,0,1.1036022990900225
3UCEA,32,0,0.9969251878053464
3V5CA,0,0,0.9811634931873214
4DQ6A,42,0,0.9742832539614124
4E0AA,22,0,1.0799341061682195
4KEMA,51,0,1.0670990002346843
4M85A,22,0,1.0699246250490957
4O5OA,26,0,0.998810523923411
4O6VA,31,0,0.987954690113546
4PE6A,0,0,0.9509315945424698
4QLXA,35,0,0.9829242827471768
4RY0A,0,0,1.0337570821029112
4UHTA,19,0,1.025597057603574
4WBTA,0,0,1.0362494330984464
4WT7A,0,0,1.0971007900644798
4ZYLA,0,0,1.057505792642606
5BONA,0,0,0.9881674300386564
5C7QA,0,0,0.9995482986846176
5HKOA,0,0,1.0191732576558443
5ICVA,26,0,1.077866171440041
5IDYA,42,0,0.9835961348113514
5ISVA,20,0,1.1588426646859398
