pfam_acc,pfam_name,n_anchor_in_dom
PF00106,short chain dehydrogenase,13
PF00072,Response regulator receiver domain,12
PF00583,Acetyltransferase (GNAT) family,11
PF00293,NUDIX domain,10
PF00155,Aminotransferase class I and II,9
PF13378,Enolase C-terminal domain-like,8
PF00881,Nitroreductase family,8
PF13407,Periplasmic binding protein domain,8
PF00857,Isochorismatase domain,7
PF03061,Thioesterase superfamily,7
PF13649,Methyltransferase domain,7
PF01547,Bacterial extracellular solute-binding protein,7
PF01613,Flavin reductase like domain,7
PF13463,Winged helix DNA-binding domain,6
PF13458,Periplasmic binding protein,6
PF00578,AhpC/TSA family,6
PF01063,Amino-transferase class IV,6
PF00085,Thioredoxin,6
PF00042,Globin,6
PF00107,Zinc-binding dehydrogenase,6
PF00210,Ferritin-like domain,6
PF13673,Acetyltransferase (GNAT) domain,6
PF08241,Methyltransferase domain,6
PF00156,Phosphoribosyl transferase domain,5
PF08282,haloacid dehalogenase-like hydrolase,5
PF00378,Enoyl-CoA hydratase/isomerase,5
PF12697,Alpha/beta hydrolase family,5
PF00171,Aldehyde dehydrogenase family,5
PF00903,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,5
PF01048,Phosphorylase superfamily,5
PF00005,ABC transporter,4
PF00696,Amino acid kinase family,4
PF01182,Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase,4
PF01593,Flavin containing amine oxidoreductase,4
PF07859,alpha/beta hydrolase fold,4
PF00795,Carbon-nitrogen hydrolase,4
PF03992,Antibiotic biosynthesis monooxygenase,4
PF00596,Class II Aldolase and Adducin N-terminal domain,4
PF01161,Phosphatidylethanolamine-binding protein,4
PF03466,LysR substrate binding domain,4
PF00561,alpha/beta hydrolase fold,4
PF01494,FAD binding domain,4
PF00850,Histone deacetylase domain,3
PF03610,PTS system fructose IIA component,3
PF00563,EAL domain,3
PF00588,SpoU rRNA Methylase family,3
PF03807,NADP oxidoreductase coenzyme F420-dependent,3
PF08543,Phosphomethylpyrimidine kinase,3
PF08534,Redoxin,3
PF07686,Immunoglobulin V-set domain,3
PF00337,Galactoside-binding lectin,3
PF00722,Glycosyl hydrolases family 16,3
PF13377,Periplasmic binding protein-like domain,3
PF00491,Arginase family,3
PF01128,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,3
PF01596,O-methyltransferase,3
PF01266,FAD dependent oxidoreductase,3
PF01590,GAF domain,3
PF02222,ATP-grasp domain,3
PF01612,3'-5' exonuclease,3
PF03372,Endonuclease/Exonuclease/phosphatase family,3
PF00959,Phage lysozyme,3
PF01965,DJ-1/PfpI family,3
PF00586,"AIR synthase related protein, N-terminal domain",3
PF00582,Universal stress protein family,3
PF00753,Metallo-beta-lactamase superfamily,3
PF01408,"Oxidoreductase family, NAD-binding Rossmann fold",3
PF01812,5-formyltetrahydrofolate cyclo-ligase family,3
PF13581,Histidine kinase-like ATPase domain,3
PF13580,SIS domain,3
PF13489,Methyltransferase domain,3
PF00075,RNase H,3
PF22691,Thiolase C-terminal domain-like,3
PF13472,GDSL-like Lipase/Acylhydrolase family,3
PF01300,Telomere recombination,3
PF01451,Low molecular weight phosphotyrosine protein phosphatase,3
PF00756,Putative esterase,3
PF04348,LppC putative lipoprotein,2
PF04452,RNA methyltransferase domain,2
PF04263,"Thiamin pyrophosphokinase, catalytic domain",2
PF04199,Putative cyclase,2
PF04198,Putative sugar-binding domain,2
PF04321,RmlD substrate binding domain,2
PF00484,Carbonic anhydrase,2
PF00141,Peroxidase,2
PF00483,Nucleotidyl transferase,2
PF00109,"Beta-ketoacyl synthase, N-terminal domain",2
PF00557,Metallopeptidase family M24,2
PF00551,Formyl transferase,2
PF00180,Isocitrate/isopropylmalate dehydrogenase,2
PF00186,Dihydrofolate reductase,2
PF00206,Lyase,2
PF00133,"tRNA synthetases class I (I, L, M and V)",2
PF20434,BD-FAE,2
PF12727,PBP superfamily domain,2
PF12804,MobA-like NTP transferase domain,2
PF13614,AAA domain,2
PF12706,Beta-lactamase superfamily domain,2
PF04069,Substrate binding domain of ABC-type glycine betaine transport system,2
PF00345,"Pili and flagellar-assembly chaperone, PapD N-terminal domain",2
PF00294,pfkB family carbohydrate kinase,2
PF00480,ROK family,2
PF00465,Iron-containing alcohol dehydrogenase,2
PF00425,chorismate binding enzyme,2
PF00328,Histidine phosphatase superfamily (branch 2),2
PF07992,Pyridine nucleotide-disulphide oxidoreductase,2
PF07876,Stress responsive A/B Barrel Domain,2
PF07973,Threonyl and Alanyl tRNA synthetase second additional domain,2
PF06831,Formamidopyrimidine-DNA glycosylase H2TH domain,2
PF13380,CoA binding domain,2
PF07478,D-ala D-ala ligase C-terminus,2
PF07732,Multicopper oxidase,2
PF13899,Thioredoxin-like,2
PF13847,Methyltransferase domain,2
PF00494,Squalene/phytoene synthase,2
PF02801,"Beta-ketoacyl synthase, C-terminal domain",2
PF02633,Creatinine amidohydrolase,2
PF03480,"Bacterial extracellular solute-binding protein, family 7",2
PF00994,Probable molybdopterin binding domain,2
PF03447,"Homoserine dehydrogenase, NAD binding domain",2
PF05974,Domain of unknown function (DUF892),2
PF05721,Phytanoyl-CoA dioxygenase (PhyH),2
PF03737,Aldolase/RraA,2
PF05368,NmrA-like family,2
PF02230,Phospholipase/Carboxylesterase,2
PF00899,ThiF family,2
PF00730,HhH-GPD superfamily base excision DNA repair protein,2
PF00866,Ring hydroxylating beta subunit,2
PF01207,Dihydrouridine synthase (Dus),2
