msa_set,group,label,n,obs_top1,null_top1_mean,null_top1_p95,p_top1,obs_tol2,p_tol2
A_3.40.50.720,pfam,PF00106,7,0.8571428571428571,0.15142857142857138,0.2857142857142857,0.004975124378109453,1.0,0.004975124378109453
A_3.40.50.720,pfam,PF00107,7,0.8571428571428571,0.14999999999999997,0.14999999999999755,0.004975124378109453,0.8571428571428571,0.004975124378109453
A_3.40.50.720,pfam,PF01370,2,0.5,0.5,0.5,1.0,0.5,1.0
A_3.40.50.720,pfam,PF01408,4,1.0,0.25625,0.25,0.004975124378109453,1.0,0.004975124378109453
A_3.40.50.720,pfam,PF08240,3,0.6666666666666666,0.33833333333333326,0.3333333333333333,0.01990049751243781,0.6666666666666666,0.04477611940298507
A_3.40.50.720,pfam,PF13561,4,0.75,0.2525,0.25,0.004975124378109453,1.0,0.004975124378109453
A_3.40.50.720,hsf,3.40.50.720,27,0.3333333333333333,0.059629629629629616,0.07407407407407407,0.004975124378109453,0.4074074074074074,0.004975124378109453
A_3.40.50.720,set,A_3.40.50.720,27,0.3333333333333333,0.05740740740740741,0.07407407407407407,0.004975124378109453,0.4074074074074074,0.004975124378109453
B_3.40.50.1820,pfam,PF00561,9,0.8888888888888888,0.12888888888888891,0.2222222222222222,0.004975124378109453,0.8888888888888888,0.004975124378109453
B_3.40.50.1820,pfam,PF00756,8,0.375,0.135,0.25,0.004975124378109453,0.375,0.004975124378109453
B_3.40.50.1820,pfam,PF07859,7,1.0,0.15357142857142853,0.2857142857142857,0.004975124378109453,1.0,0.004975124378109453
B_3.40.50.1820,pfam,PF12697,8,0.875,0.134375,0.25,0.004975124378109453,0.875,0.004975124378109453
B_3.40.50.1820,hsf,3.40.50.1820,32,0.53125,0.055625,0.0625,0.004975124378109453,0.625,0.004975124378109453
B_3.40.50.1820,set,B_3.40.50.1820,32,0.53125,0.055,0.0625,0.004975124378109453,0.625,0.004975124378109453
C_2.60.40.10,pfam,PF00041,3,0.6666666666666666,0.335,0.3333333333333333,0.009950248756218905,0.6666666666666666,0.009950248756218905
C_2.60.40.10,pfam,PF07686,7,0.8571428571428571,0.1607142857142857,0.2857142857142857,0.004975124378109453,0.8571428571428571,0.004975124378109453
C_2.60.40.10,hsf,2.60.40.10,10,0.8,0.11900000000000001,0.2,0.004975124378109453,0.8,0.004975124378109453
C_2.60.40.10,set,C_2.60.40.10,10,0.8,0.12400000000000003,0.2,0.004975124378109453,0.8,0.004975124378109453
ALL,pfam,PF00041,3,0.3333333333333333,0.335,0.3333333333333333,1.0,0.3333333333333333,1.0
ALL,pfam,PF00106,7,1.0,0.15642857142857136,0.2857142857142857,0.004975124378109453,1.0,0.004975124378109453
ALL,pfam,PF00107,7,0.8571428571428571,0.15071428571428566,0.2857142857142857,0.004975124378109453,0.8571428571428571,0.004975124378109453
ALL,pfam,PF00561,9,0.3333333333333333,0.12222222222222225,0.2222222222222222,0.004975124378109453,0.8888888888888888,0.004975124378109453
ALL,pfam,PF00756,8,0.375,0.13125,0.13124999999999787,0.004975124378109453,0.375,0.004975124378109453
ALL,pfam,PF01370,2,0.5,0.5025,0.5,1.0,0.5,1.0
ALL,pfam,PF01408,4,1.0,0.255,0.25,0.004975124378109453,1.0,0.004975124378109453
ALL,pfam,PF07686,7,0.8571428571428571,0.15928571428571425,0.2857142857142857,0.004975124378109453,0.8571428571428571,0.004975124378109453
ALL,pfam,PF07859,7,1.0,0.1521428571428571,0.2857142857142857,0.004975124378109453,1.0,0.004975124378109453
ALL,pfam,PF08240,3,0.6666666666666666,0.33833333333333326,0.3333333333333333,0.01990049751243781,0.6666666666666666,0.03980099502487562
ALL,pfam,PF12697,8,0.375,0.134375,0.25,0.004975124378109453,0.75,0.004975124378109453
ALL,pfam,PF13561,4,1.0,0.25125,0.25,0.004975124378109453,1.0,0.004975124378109453
ALL,hsf,2.60.40.10,10,0.6,0.11800000000000001,0.2,0.004975124378109453,0.7,0.004975124378109453
ALL,hsf,3.40.50.1820,32,0.34375,0.0546875,0.0625,0.004975124378109453,0.34375,0.004975124378109453
ALL,hsf,3.40.50.720,27,0.4074074074074074,0.054629629629629625,0.07407407407407407,0.004975124378109453,0.4444444444444444,0.004975124378109453
ALL,set,ALL,69,0.15942028985507245,0.03173913043478261,0.043478260869565216,0.004975124378109453,0.17391304347826086,0.004975124378109453
