n,top1_col,top1_conc,tol2_conc,topk_exact_conc,topk_tol2_conc,entropy_norm,msa_set,group,label
10,329,0.8,0.9,0.8,1.0,0.09763143190344502,A_3.40.50.720,pfam,PF00106
10,482,0.8,0.8,1.0,1.0,0.07645159533167263,A_3.40.50.720,pfam,PF00107
10,326,0.7,0.7,1.0,1.0,0.12250201962462769,A_3.40.50.720,pfam,PF01370
10,256,0.8,0.8,1.0,1.0,0.07645159533167263,A_3.40.50.720,pfam,PF01408
10,482,0.6,0.6,1.0,1.0,0.10282287454951192,A_3.40.50.720,pfam,PF08240
10,329,0.9,1.0,0.9,1.0,0.04966625012556454,A_3.40.50.720,pfam,PF13561
60,329,0.2833333333333333,0.31666666666666665,0.2833333333333333,0.43333333333333335,0.2858095644385094,A_3.40.50.720,hsf,3.40.50.720
60,329,0.2833333333333333,0.31666666666666665,0.2833333333333333,0.43333333333333335,0.2858095644385094,A_3.40.50.720,set,A_3.40.50.720
20,329,0.85,0.95,0.85,1.0,0.07916860671133913,A_3.40.50.720,pfam_pair,PF13561|PF00106
20,329,0.45,0.5,0.45,0.5,0.1919833177343401,A_3.40.50.720,pfam_pair,PF13561|PF01370
20,329,0.45,0.5,0.45,0.5,0.16895810558793897,A_3.40.50.720,pfam_pair,PF13561|PF00107
20,329,0.45,0.5,0.45,0.5,0.1821437451968586,A_3.40.50.720,pfam_pair,PF13561|PF08240
20,329,0.45,0.5,0.45,0.8,0.16895810558793897,A_3.40.50.720,pfam_pair,PF13561|PF01408
20,329,0.4,0.45,0.4,0.5,0.21596590862320394,A_3.40.50.720,pfam_pair,PF00106|PF01370
20,329,0.4,0.45,0.4,0.5,0.19294069647680281,A_3.40.50.720,pfam_pair,PF00106|PF00107
20,329,0.4,0.45,0.4,0.5,0.20612633608572245,A_3.40.50.720,pfam_pair,PF00106|PF08240
20,256,0.45,0.45,1.0,1.0,0.16895810558793897,A_3.40.50.720,pfam_pair,PF00106|PF01408
20,482,0.4,0.4,0.5,0.5,0.20537599033739412,A_3.40.50.720,pfam_pair,PF01370|PF00107
20,326,0.35,0.35,0.5,0.5,0.2185616299463138,A_3.40.50.720,pfam_pair,PF01370|PF08240
20,256,0.4,0.4,0.7,0.7,0.20537599033739412,A_3.40.50.720,pfam_pair,PF01370|PF01408
20,482,0.7,0.7,1.0,1.0,0.09332798608984974,A_3.40.50.720,pfam_pair,PF00107|PF08240
20,482,0.4,0.4,0.5,0.5,0.182350778190993,A_3.40.50.720,pfam_pair,PF00107|PF01408
20,256,0.4,0.4,0.5,0.5,0.19553641779991265,A_3.40.50.720,pfam_pair,PF08240|PF01408
10,222,0.8,0.8,0.8,0.9,0.09773909351466396,B_3.40.50.1820,pfam,PF00561
9,222,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.16803132362991025,B_3.40.50.1820,pfam,PF00756
10,574,0.9,0.9,1.0,1.0,0.04972101884509956,B_3.40.50.1820,pfam,PF07859
10,222,0.8,0.8,1.0,1.0,0.07653590119273802,B_3.40.50.1820,pfam,PF12697
39,222,0.5128205128205128,0.5897435897435898,0.8717948717948718,0.9743589743589743,0.16754400549228413,B_3.40.50.1820,hsf,3.40.50.1820
39,222,0.5128205128205128,0.5897435897435898,0.8717948717948718,0.9743589743589743,0.16754400549228413,B_3.40.50.1820,set,B_3.40.50.1820
