n,top1_col,top1_conc,tol2_conc,topk_exact_conc,topk_tol2_conc,entropy_norm,msa_set,group,label
7,329,0.8571428571428571,1.0,0.8571428571428571,1.0,0.0626576637718473,A_3.40.50.720,pfam,PF00106
7,482,0.8571428571428571,0.8571428571428571,1.0,1.0,0.0626576637718473,A_3.40.50.720,pfam,PF00107
2,326,0.5,0.5,1.0,1.0,0.10589918285932039,A_3.40.50.720,pfam,PF01370
4,256,1.0,1.0,1.0,1.0,-1.5279380819675624e-13,A_3.40.50.720,pfam,PF01408
3,482,0.6666666666666666,0.6666666666666666,1.0,1.0,0.09724677844946354,A_3.40.50.720,pfam,PF08240
4,329,0.75,1.0,0.75,1.0,0.08591369045180652,A_3.40.50.720,pfam,PF13561
27,329,0.3333333333333333,0.4074074074074074,0.3333333333333333,0.5185185185185185,0.250442301461642,A_3.40.50.720,hsf,3.40.50.720
27,329,0.3333333333333333,0.4074074074074074,0.3333333333333333,0.5185185185185185,0.250442301461642,A_3.40.50.720,set,A_3.40.50.720
11,329,0.8181818181818182,1.0,0.8181818181818182,1.0,0.07243911137844579,A_3.40.50.720,pfam_pair,PF13561|PF00106
6,329,0.5,0.6666666666666666,0.5,0.6666666666666666,0.1898222997037747,A_3.40.50.720,pfam_pair,PF13561|PF01370
11,482,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.17125905426606514,A_3.40.50.720,pfam_pair,PF13561|PF00107
7,329,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.1951055827011222,A_3.40.50.720,pfam_pair,PF13561|PF08240
8,256,0.5,0.5,1.0,1.0,0.14885602808522366,A_3.40.50.720,pfam_pair,PF13561|PF01408
9,329,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.15319552301233122,A_3.40.50.720,pfam_pair,PF00106|PF01370
14,329,0.42857142857142855,0.5,0.42857142857142855,0.5,0.1685568466311677,A_3.40.50.720,pfam_pair,PF00106|PF00107
10,329,0.6,0.7,0.6,0.7,0.1663623842649819,A_3.40.50.720,pfam_pair,PF00106|PF08240
11,329,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.9090909090909091,0.1400177122836317,A_3.40.50.720,pfam_pair,PF00106|PF01408
9,482,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.15319552301233122,A_3.40.50.720,pfam_pair,PF01370|PF00107
5,482,0.4,0.4,0.6,0.6,0.2035306147629182,A_3.40.50.720,pfam_pair,PF01370|PF08240
6,256,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.13254650606918608,A_3.40.50.720,pfam_pair,PF01370|PF01408
10,482,0.8,0.8,1.0,1.0,0.07645159533167263,A_3.40.50.720,pfam_pair,PF00107|PF08240
11,482,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.1400177122836317,A_3.40.50.720,pfam_pair,PF00107|PF01408
7,256,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.14601204530006803,A_3.40.50.720,pfam_pair,PF08240|PF01408
9,222,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.05335341629938007,B_3.40.50.1820,pfam,PF00561
8,574,0.375,0.375,0.5,0.625,0.16552040170534948,B_3.40.50.1820,pfam,PF00756
7,574,1.0,1.0,1.0,1.0,-1.5296229929899687e-13,B_3.40.50.1820,pfam,PF07859
8,222,0.875,0.875,1.0,1.0,0.057626507142718025,B_3.40.50.1820,pfam,PF12697
