protein,target_layer,target_head,source_layer,source_head,source_group,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
2B61A,26,16,11,1,,0.25,0.5700075030326843,0.0037869811058044434,0.0156278728837896,8.231175422668457,174.2942657470703,186.4915313720703,80.46744537353516,55.29010772705078
2B61A,26,16,22,14,,0.25,0.5706033110618591,0.0031911730766296387,0.013169130185334249,8.02315902709961,174.3056640625,186.4712371826172,80.49470520019531,55.29010772705078
2B61A,26,16,14,9,,0.25,0.570277750492096,0.0035167336463928223,0.014512632848295747,8.21226692199707,174.31187438964844,186.46307373046875,80.46281433105469,55.29010772705078
2B61A,26,16,11,16,,0.25,0.5706720948219299,0.003122389316558838,0.012885277736953148,10.369714736938477,174.40562438964844,186.48629760742188,80.75316619873047,55.29010772705078
2B61A,26,16,19,0,,0.25,0.5706813931465149,0.003113090991973877,0.01284690600216333,8.348625183105469,174.3141632080078,186.480712890625,80.59822082519531,55.29010772705078
2B61A,26,16,17,18,,0.25,0.5708238482475281,0.0029706358909606934,0.012259031347370584,7.929594993591309,174.26051330566406,186.46087646484375,80.56179809570312,55.29010772705078
2B61A,26,16,14,14,,0.25,0.5704919099807739,0.0033025741577148438,0.013628853084835356,7.841642379760742,174.26205444335938,186.4773712158203,80.50096893310547,55.29010772705078
2B61A,26,16,16,17,,0.25,0.570598840713501,0.003195643424987793,0.013187578134752432,8.128807067871094,174.26385498046875,186.4542236328125,80.43936157226562,55.29010772705078
2B61A,26,16,15,2,,0.25,0.5712606310844421,0.002533853054046631,0.010456543702884706,8.244261741638184,174.24929809570312,186.4613494873047,80.479248046875,55.29010772705078
2B61A,26,16,13,8,,0.25,0.5710020661354065,0.0027924180030822754,0.011523573097232377,8.016374588012695,174.2796630859375,186.45767211914062,80.45718383789062,55.29010772705078
2B61A,26,16,11,6,,0.25,0.5712903738021851,0.002504110336303711,0.010333803346089066,7.886815071105957,174.30946350097656,186.46836853027344,80.51848602294922,55.29010772705078
2B61A,26,16,17,5,,0.25,0.5707170367240906,0.0030774474143981934,0.012699814352135689,7.872354507446289,174.27191162109375,186.4527587890625,80.48777770996094,55.29010772705078
2B61A,26,16,14,0,,0.25,0.5704138875007629,0.00338059663772583,0.013950831295347365,8.0439453125,174.2860107421875,186.4525909423828,80.5452651977539,55.29010772705078
2B61A,26,16,16,15,,0.25,0.5706804990768433,0.003113985061645508,0.012850595592046966,8.240410804748535,174.35084533691406,186.5303955078125,80.55549621582031,55.29010772705078
2B61A,26,16,13,18,,0.25,0.570751428604126,0.003043055534362793,0.012557888127945139,7.753513813018799,174.16571044921875,186.4365692138672,80.41240692138672,55.29010772705078
2B61A,26,16,12,3,,0.25,0.5708661675453186,0.002928316593170166,0.012084390759545123,8.062769889831543,174.20045471191406,186.45254516601562,80.48438262939453,55.29010772705078
2B61A,26,16,14,19,,0.25,0.5706109404563904,0.0031835436820983887,0.013137645684993884,8.162177085876465,174.2667999267578,186.47528076171875,80.44664001464844,55.29010772705078
2B61A,26,16,16,7,,0.25,0.5712593197822571,0.0025351643562316895,0.010461955101380706,8.447165489196777,174.3270721435547,186.4745330810547,80.6252670288086,55.29010772705078
2B61A,26,16,19,15,,0.25,0.5699882507324219,0.0038062334060668945,0.01570732205261724,8.363912582397461,174.23129272460938,186.44369506835938,80.39102935791016,55.29010772705078
2B61A,26,16,14,13,,0.25,0.5703918933868408,0.0034025907516479492,0.014041595206484823,8.062455177307129,174.2511444091797,186.4706573486328,80.45542907714844,55.29010772705078
2B61A,32,13,11,1,,0.25,0.5710888504981995,0.0027056336402893066,0.01116543690586073,7.774941921234131,174.08206176757812,176.7757568359375,109.32286071777344,51.271724700927734
2B61A,32,13,22,14,,0.25,0.5723792314529419,0.001415252685546875,0.0058403748131376455,9.403194427490234,174.1457061767578,176.7300262451172,109.58549499511719,51.271724700927734
2B61A,32,13,14,9,,0.25,0.5716025233268738,0.0021919608116149902,0.009045644531382114,9.461477279663086,174.05650329589844,176.68478393554688,109.47432708740234,51.271724700927734
2B61A,32,13,11,16,,0.25,0.5719529390335083,0.0018415451049804688,0.007599571269655521,9.322004318237305,174.1529541015625,176.6136474609375,109.15755462646484,51.271724700927734
