protein,receiver_layer,receiver_head,receiver_group,alpha_star,total_metric,replay_metric,replay_drop,replay_faithfulness,replay_fraction_of_total_drop,blocking_metric,blocking_reduction,blocking_faithfulness,blocking_fraction_of_total_drop,total_attn_diff_l1,total_attn_diff_l2,total_attn_diff_max,pass_c_attn_diff_l1,pass_c_attn_diff_l2,pass_c_attn_diff_max,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm
2B61A,11,1,,0.25,0.331472247838974,0.5197277069091797,0.05406677722930908,0.900965972825929,0.22311933916985457,0.3671143054962158,0.03564205765724182,0.6214242557644997,0.14708537772483898,23.772987365722656,0.21042509377002716,0.06005823612213135,23.772987365722656,0.21042509377002716,0.06005823612213135,157.9295196533203,154.8378143310547,58.73603057861328
2B61A,26,16,,0.25,0.331472247838974,0.5707526206970215,0.003041863441467285,0.9944282237233334,0.012552968674766957,0.387011855840683,0.055539608001708984,0.6578705660957764,0.2291973235714984,55.29010772705078,0.9724505543708801,0.3190760016441345,8.042094230651855,0.09750117361545563,0.019238203763961792,174.26841735839844,186.47467041015625,80.5058364868164
2B61A,22,14,,0.25,0.331472247838974,0.5715929269790649,0.002201557159423828,0.995967411361936,0.00908524612946648,0.3755548298358917,0.044082581996917725,0.6368847503538783,0.18191719699396813,54.57559585571289,0.6523817777633667,0.14812642335891724,11.355096817016602,0.11181800812482834,0.02537667751312256,169.63046264648438,147.91937255859375,54.711238861083984
2B61A,32,13,,0.25,0.331472247838974,0.5723256468772888,0.0014688372611999512,0.9973095331977525,0.0060615042334969255,0.3547362983226776,0.023264050483703613,0.598751480326342,0.09600460460817478,51.271724700927734,0.991115391254425,0.20676979422569275,9.23696517944336,0.1745627373456955,0.015936478972434998,174.1151885986328,176.71641540527344,109.50203704833984
2B61A,32,18,,0.25,0.331472247838974,0.5715181231498718,0.0022763609886169434,0.9958303933106913,0.009393941816397399,0.3606015741825104,0.029129326343536377,0.609494896498949,0.12020905216280685,71.75942993164062,0.8653001189231873,0.0927409827709198,9.35982608795166,0.08560551702976227,0.011498011648654938,170.0817413330078,210.74839782714844,205.3291015625
2B61A,14,9,,0.25,0.331472247838974,0.5756810903549194,-0.001886606216430664,1.0034556935123458,-0.0077855265997908004,0.3444533050060272,0.012981057167053223,0.5799161383337385,0.05356940149317702,48.90373992919922,0.7067018151283264,0.12134993076324463,15.892125129699707,0.1934548020362854,0.03365536779165268,175.1344757080078,173.8903350830078,64.72351837158203
2B61A,30,1,,0.25,0.331472247838974,0.573233962059021,0.0005605220794677734,0.9989732926263711,0.002313126884381167,0.34409111738204956,0.012618869543075562,0.5792527198569354,0.052074748631315886,66.11669158935547,0.5909205675125122,0.1385212540626526,12.832979202270508,0.10043894499540329,0.02814314514398575,175.3640594482422,183.951904296875,95.69710540771484
2B61A,11,16,,0.25,0.331472247838974,0.5697935819625854,0.00400090217590332,0.9926715540464206,0.016510668756614357,0.3345855176448822,0.003113269805908203,0.5618413284088399,0.012847643920140057,40.649444580078125,0.5908128619194031,0.09109067916870117,40.649444580078125,0.5908128619194031,0.09109067916870117,175.64903259277344,184.13800048828125,89.95394134521484
2B61A,27,15,,0.25,0.331472247838974,0.5738509297370911,-5.644559860229492e-05,1.0001033913103814,-0.0002329361079869167,0.34406110644340515,0.012588858604431152,0.5791977488698424,0.051950901397555156,52.31636428833008,0.726172149181366,0.326827734708786,7.847811698913574,0.0808047354221344,0.014922380447387695,174.66448974609375,169.39588928222656,77.34596252441406
2B61A,19,0,,0.25,0.331472247838974,0.5728546380996704,0.0009398460388183594,0.9982784855521715,0.0038784968856786723,0.3389962315559387,0.007523983716964722,0.5699204258455526,0.031049497693083926,52.07868576049805,1.4349658489227295,0.2724395990371704,8.398902893066406,0.19283540546894073,0.05560702085494995,188.80123901367188,255.66546630859375,70.83155822753906
2B61A,17,18,,0.25,0.331472247838974,0.5734529495239258,0.0003415346145629883,0.9993744116066681,0.001409423335549137,0.33834752440452576,0.006875276565551758,0.5687321900202773,0.028372454259846747,71.58836364746094,1.1202497482299805,0.33572903275489807,16.003925323486328,0.2023870348930359,0.02481245994567871,236.87840270996094,233.46165466308594,73.22999572753906
2B61A,14,14,,0.25,0.331472247838974,0.5720847845077515,0.0017096996307373047,0.996868345990518,0.007055479748148594,0.32940173149108887,-0.002070516347885132,0.5523461958130498,-0.008544475238854826,36.27153015136719,0.8085927367210388,0.1545519232749939,10.794954299926758,0.238286554813385,0.044732242822647095,189.79531860351562,208.42393493652344,60.99529266357422
