protein,base_setup,variant,alpha,anchor_positions,segment_metric,faithfulness,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1BRTA,clean,clean_baseline,nan,"[220, 93, 108]",0.736717700958252,1.0,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,corrupt,corrupt_baseline,nan,"[220, 108, 92]",0.015240747481584549,0.0,0.686940610408783,0.5838338732719421,0.5562775135040283,4.298805236816406,0.5298178262065254
1BRTA,clean,corrupt_head_patch,nan,"[220, 93, 108]",0.7075484991073608,0.9595701543752299,0.686940610408783,0.5818459391593933,0.5562775135040283,4.298805236816406,0.5298178262065254
1BRTA,clean,ln_all,0.0,"[220, 93, 108]",0.736717700958252,1.0,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,ln_all,0.5,"[220, 93, 108]",0.017390966415405273,0.0029803016208060523,0.2724650502204895,0.24838338792324066,0.23980839550495148,6.73636531829834,0.8302414817278408
1BRTA,clean,ln_all,1.0,"[220, 93, 108]",0.007292686961591244,-0.011016374787431579,0.08434638381004333,0.04880243539810181,0.047153349965810776,7.792544364929199,0.9604131121563122
1BRTA,clean,ln_all,2.0,"[220, 93, 108]",0.0075284745544195175,-0.010689562417761202,0.05010903626680374,0.0011266531655564904,0.017311176285147667,7.897863864898682,0.9733934975092233
1BRTA,clean,ln_all,4.0,"[220, 93, 108]",0.0075525157153606415,-0.010656240270982607,0.05016601085662842,1.7975812625081744e-06,0.017843440175056458,7.891716003417969,0.9726357877675412
1BRTA,clean,ln_all,8.0,"[220, 93, 108]",0.00739469937980175,-0.01087498091792691,0.050166018307209015,7.314848726736045e-11,0.019245993345975876,7.887510776519775,0.9721175032556436
1BRTA,clean,ln_all,10.0,"[220, 93, 108]",0.0069103362038731575,-0.011546330395681582,0.050166018307209015,6.164598996202808e-13,0.019938616082072258,7.885725021362305,0.9718974130530066
1BRTA,clean,ln_all,12.0,"[220, 93, 108]",0.007897061295807362,-0.010178684364606918,0.050166018307209015,5.3784906555083035e-15,0.020538413897156715,7.884275913238525,0.9717188138204794
1BRTA,clean,ln_all,14.0,"[220, 93, 108]",0.008836537599563599,-0.008876527311316345,0.050166018307209015,4.7809874735262525e-17,0.021037548780441284,7.883131980895996,0.9715778267988169
1BRTA,clean,ln_all,16.0,"[220, 93, 108]",0.009206189773976803,-0.00836417251934147,0.050166018307209015,4.304177190258625e-19,0.021448828279972076,7.882229328155518,0.9714665769313691
1BRTA,clean,ln_all,32.0,"[220, 93, 108]",0.0049826097674667835,-0.01421824725611213,0.050136975944042206,2.390093260359387e-35,0.023080244660377502,7.879003524780273,0.971069004108715
1BRTA,clean,k_only,0.0,"[220, 93, 108]",0.736717700958252,1.0,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,k_only,0.5,"[220, 93, 108]",0.6903364658355713,0.9357134903628205,0.6153108477592468,0.5357367992401123,0.5110755562782288,4.720909118652344,0.5818411556638222
1BRTA,clean,k_only,1.0,"[220, 93, 108]",0.6043502688407898,0.8165326952169333,0.5348580479621887,0.47715678811073303,0.45696669816970825,5.160672187805176,0.6360409392104277
1BRTA,clean,k_only,2.0,"[220, 93, 108]",0.2502003312110901,0.32566471125276786,0.38625845313072205,0.35317477583885193,0.34003934264183044,6.046816825866699,0.7452562211267635
1BRTA,clean,k_only,4.0,"[220, 93, 108]",0.007963216863572598,-0.010086989727035414,0.16940534114837646,0.14189384877681732,0.13714008033275604,7.360220909118652,0.907130243787689
1BRTA,clean,k_only,8.0,"[220, 93, 108]",0.006992509122937918,-0.011432434977860149,0.05141673982143402,0.01129091251641512,0.016786623746156693,7.8974289894104,0.9733399001087414
1BRTA,clean,k_only,10.0,"[220, 93, 108]",0.006965195760130882,-0.011470292545832926,0.049998342990875244,0.003054694039747119,0.01695072278380394,7.902011871337891,0.9739047297315838
1BRTA,clean,k_only,12.0,"[220, 93, 108]",0.0069576152600348,-0.011480799465090088,0.050125084817409515,0.0008582810987718403,0.01699375919997692,7.898819923400879,0.9735113295135724
1BRTA,clean,k_only,14.0,"[220, 93, 108]",0.006955448538064957,-0.011483802640672346,0.0501570887863636,0.00025292037753388286,0.017005328088998795,7.896769046783447,0.9732585637027468
1BRTA,clean,k_only,16.0,"[220, 93, 108]",0.006954811979085207,-0.011484684940483424,0.05016406998038292,7.845514483051375e-05,0.01700856350362301,7.8958539962768555,0.9731457858392326
1BRTA,clean,k_only,32.0,"[220, 93, 108]",0.006954535376280546,-0.011485068324600308,0.050166018307209015,3.0733691147588615e-08,0.0170099176466465,7.895242214202881,0.9730703851102651
1BRTA,clean,v_only,0.0,"[220, 93, 108]",0.736717700958252,1.0,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,v_only,0.5,"[220, 93, 108]",0.7498718500137329,1.0182322512064916,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,v_only,1.0,"[220, 93, 108]",0.760846734046936,1.0334439415873378,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,v_only,2.0,"[220, 93, 108]",0.7775021195411682,1.0565290663636357,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,v_only,4.0,"[220, 93, 108]",0.772493302822113,1.0495866176895394,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,v_only,8.0,"[220, 93, 108]",0.012480121105909348,-0.0038263542062878663,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
1BRTA,clean,v_only,10.0,"[220, 93, 108]",0.008899752981960773,-0.0087889079049132,0.6883314847946167,0.590004026889801,0.5601003170013428,4.303760528564453,0.5304285544804385
