protein,combo,alpha,segment_metric,delta_from_baseline,n_active_heads,active_head_labels
2B61A,L10H9,0.0,1.0,0.0,1,['L10H9']
2B61A,L10H9,0.5,1.0008183717727661,0.0008183717727661133,1,['L10H9']
2B61A,L10H9,1.0,1.0016361474990845,0.0016361474990844727,1,['L10H9']
2B61A,L10H9,2.0,1.0032459497451782,0.0032459497451782227,1,['L10H9']
2B61A,L10H9,4.0,1.006281852722168,0.006281852722167969,1,['L10H9']
2B61A,L10H9,8.0,1.0091755390167236,0.009175539016723633,1,['L10H9']
2B61A,L10H9,12.0,1.0083389282226562,0.00833892822265625,1,['L10H9']
2B61A,L11H16,0.0,1.0,0.0,1,['L11H16']
2B61A,L11H16,0.5,1.0021604299545288,0.0021604299545288086,1,['L11H16']
2B61A,L11H16,1.0,1.0042186975479126,0.004218697547912598,1,['L11H16']
2B61A,L11H16,2.0,1.0076406002044678,0.0076406002044677734,1,['L11H16']
2B61A,L11H16,4.0,1.0112907886505127,0.011290788650512695,1,['L11H16']
2B61A,L11H16,8.0,1.0127660036087036,0.012766003608703613,1,['L11H16']
2B61A,L11H16,12.0,1.0128915309906006,0.012891530990600586,1,['L11H16']
2B61A,L11H14,0.0,1.0,0.0,0,[]
2B61A,L11H14,0.5,1.0,0.0,0,[]
2B61A,L11H14,1.0,1.0,0.0,0,[]
2B61A,L11H14,2.0,1.0,0.0,0,[]
2B61A,L11H14,4.0,1.0,0.0,0,[]
2B61A,L11H14,8.0,1.0,0.0,0,[]
2B61A,L11H14,12.0,1.0,0.0,0,[]
2B61A,L14H9,0.0,1.0,0.0,0,[]
2B61A,L14H9,0.5,1.0,0.0,0,[]
2B61A,L14H9,1.0,1.0,0.0,0,[]
2B61A,L14H9,2.0,1.0,0.0,0,[]
2B61A,L14H9,4.0,1.0,0.0,0,[]
2B61A,L14H9,8.0,1.0,0.0,0,[]
2B61A,L14H9,12.0,1.0,0.0,0,[]
2B61A,L10H9+L11H16,0.0,1.0,0.0,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,0.5,1.0029751062393188,0.0029751062393188477,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,1.0,1.0058584213256836,0.005858421325683594,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,2.0,1.011061191558838,0.01106119155883789,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,4.0,1.0191055536270142,0.01910555362701416,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,8.0,1.0296348333358765,0.029634833335876465,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,12.0,1.0311946868896484,0.031194686889648438,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,0.0,1.0,0.0,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,0.5,1.0029751062393188,0.0029751062393188477,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,1.0,1.0058584213256836,0.005858421325683594,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,2.0,1.011061191558838,0.01106119155883789,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,4.0,1.0191055536270142,0.01910555362701416,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,8.0,1.0296348333358765,0.029634833335876465,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,12.0,1.0311946868896484,0.031194686889648438,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,0.0,1.0,0.0,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,0.5,1.0029751062393188,0.0029751062393188477,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,1.0,1.0058584213256836,0.005858421325683594,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,2.0,1.011061191558838,0.01106119155883789,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,4.0,1.0191055536270142,0.01910555362701416,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,8.0,1.0296348333358765,0.029634833335876465,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,12.0,1.0311946868896484,0.031194686889648438,2,"['L10H9', 'L11H16']"
