protein,mode,alpha,head_label,layer,head,anchor_mass,top1_mass,top3_mass,entropy_norm
2B61A,k_only,0.0,L10H9,10,9,0.8787364065647125,0.4776380956172943,0.8859806656837463,0.2656919918899693
2B61A,k_only,0.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,k_only,0.0,L15H2,15,2,0.49444036558270454,0.20690900087356567,0.4327196180820465,0.6969516136245287
2B61A,k_only,0.5,L10H9,10,9,0.856964498758316,0.4707982540130615,0.8658061623573303,0.2886966658867778
2B61A,k_only,0.5,L11H16,11,16,0.45461800694465637,0.11851469427347183,0.34739410877227783,0.6707290320450184
2B61A,k_only,0.5,L15H2,15,2,0.4719089036807418,0.1981448084115982,0.4164687395095825,0.7106831021124771
2B61A,k_only,1.0,L10H9,10,9,0.8328711688518524,0.46309295296669006,0.8435661196708679,0.31344729822417655
2B61A,k_only,1.0,L11H16,11,16,0.37730641663074493,0.11911973357200623,0.31432294845581055,0.7091313124803452
2B61A,k_only,1.0,L15H2,15,2,0.4486456820741296,0.190115287899971,0.39901280403137207,0.7244899737460623
2B61A,k_only,2.0,L10H9,10,9,0.7773267924785614,0.4445183277130127,0.7926305532455444,0.3680155583141904
2B61A,k_only,2.0,L11H16,11,16,0.24331067875027657,0.15157362818717957,0.27893757820129395,0.7622319134259666
2B61A,k_only,2.0,L15H2,15,2,0.3991279765032232,0.1742548644542694,0.36497023701667786,0.7524251957643958
2B61A,k_only,4.0,L10H9,10,9,0.6289004981517792,0.38455721735954285,0.6583737134933472,0.49984379821974684
2B61A,k_only,4.0,L11H16,11,16,0.08563995361328125,0.19918754696846008,0.2722329795360565,0.7896562795223908
2B61A,k_only,4.0,L15H2,15,2,0.28353460086509585,0.12787723541259766,0.29784125089645386,0.8080833078217418
2B61A,k_only,8.0,L10H9,10,9,0.22035913169384003,0.1539379507303238,0.2946047782897949,0.7807215660089063
2B61A,k_only,8.0,L11H16,11,16,0.009444888681173325,0.21545788645744324,0.2892230749130249,0.7818748779931491
2B61A,k_only,8.0,L15H2,15,2,0.0710084885940887,0.09750396758317947,0.16510999202728271,0.8760977927591569
2B61A,k_only,12.0,L10H9,10,9,0.03583906125277281,0.09541691839694977,0.2243095487356186,0.8567571407922885
2B61A,k_only,12.0,L11H16,11,16,0.0008910994729376398,0.1609194427728653,0.22540803253650665,0.8230260524709191
2B61A,k_only,12.0,L15H2,15,2,0.009583441351423971,0.10600936412811279,0.169997900724411,0.88309455213023
2B61A,v_only,0.0,L10H9,10,9,0.8787364065647125,0.4776380956172943,0.8859806656837463,0.2656919918899693
