protein,mode,alpha,segment_metric,delta_from_baseline,n_active_heads,active_head_labels
2B61A,k_only,0.0,1.0,0.0,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,k_only,0.5,0.999556839466095,-0.0004431605339050293,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,k_only,1.0,0.9991294145584106,-0.0008705854415893555,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,k_only,2.0,0.9983261227607727,-0.001673877239227295,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,k_only,4.0,0.9970112442970276,-0.002988755702972412,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,k_only,8.0,0.9984056353569031,-0.0015943646430969238,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,k_only,12.0,1.005355715751648,0.005355715751647949,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,v_only,0.0,1.0,0.0,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,v_only,0.5,0.9997375011444092,-0.0002624988555908203,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,v_only,1.0,0.9995032548904419,-0.0004967451095581055,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,v_only,2.0,0.9990206360816956,-0.0009793639183044434,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,v_only,4.0,0.9972676634788513,-0.0027323365211486816,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,v_only,8.0,0.9847611784934998,-0.015238821506500244,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,v_only,12.0,0.949535071849823,-0.050464928150177,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,ln_all,0.0,1.0,0.0,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,ln_all,0.5,1.0004276037216187,0.00042760372161865234,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,ln_all,1.0,1.0009310245513916,0.0009310245513916016,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,ln_all,2.0,1.0018783807754517,0.0018783807754516602,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,ln_all,4.0,0.7317472696304321,-0.26825273036956787,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,ln_all,8.0,0.007197996135801077,-0.9928020038641989,3,"['L10H9', 'L11H16', 'L15H2']"
2B61A,ln_all,12.0,0.007128946017473936,-0.9928710539825261,3,"['L10H9', 'L11H16', 'L15H2']"
