rank,layer,head,IE,behavior
1,7,13,0.505,
2,11,1,0.468,
3,6,3,0.463,
4,10,9,0.368,
5,26,16,0.361,
6,22,14,0.261,
7,8,19,0.233,
8,8,6,-0.220,
9,32,13,0.203,
10,7,16,0.169,
11,6,19,0.166,
12,0,7,0.164,
13,32,18,0.163,
14,14,9,0.142,
15,5,19,0.137,
16,30,1,0.137,
17,0,16,-0.130,
18,6,17,0.119,
19,11,16,0.112,
20,0,6,0.109,
21,27,15,0.099,
22,19,0,0.098,
23,8,5,-0.087,
24,17,18,0.087,
25,14,14,0.086,
26,16,17,0.086,
27,0,12,-0.085,
28,15,2,0.084,
29,9,9,-0.081,
30,9,1,0.080,
31,8,16,-0.078,
32,6,11,-0.076,
33,6,8,0.072,
34,16,10,-0.068,
35,1,8,0.065,
36,8,0,-0.064,
37,1,13,0.063,
38,8,12,0.063,
39,30,6,-0.063,
40,13,8,0.061,
41,5,6,0.059,
42,0,8,0.058,
43,11,6,0.057,
44,17,5,0.057,
45,9,14,-0.055,
46,14,0,0.053,
47,7,6,-0.053,
48,9,2,0.052,
49,16,15,0.051,
50,13,18,0.051,
51,12,3,0.049,
52,14,19,0.049,
53,18,14,-0.049,
54,7,0,0.048,
55,0,4,-0.048,
56,9,8,-0.048,
57,16,7,0.046,
58,7,15,0.046,
59,0,9,-0.045,
60,19,15,0.044,
61,14,13,0.043,
62,15,7,0.042,
63,10,12,0.041,
64,14,1,-0.041,
65,24,0,0.040,
66,13,19,-0.040,
67,7,12,-0.040,
68,3,1,0.039,
69,13,17,0.038,
70,9,7,-0.038,
71,12,1,0.038,
72,0,0,-0.037,
73,14,15,-0.037,
74,12,9,0.037,
75,9,13,-0.037,
76,5,2,-0.036,
77,5,0,0.036,
78,15,17,0.036,
79,13,7,-0.036,
80,8,14,-0.035,
81,2,18,-0.035,
82,13,11,0.034,
83,13,4,0.034,
84,13,14,-0.034,
85,6,12,0.034,
86,29,18,0.034,
87,30,13,0.033,
88,10,0,0.033,
89,13,10,-0.032,
90,8,9,-0.032,
91,11,5,-0.032,
92,9,18,-0.030,
93,15,10,0.030,
94,13,13,0.030,
95,0,13,0.030,
96,13,16,-0.030,
97,11,4,-0.030,
98,12,6,0.029,
99,9,11,0.029,
100,3,16,0.028,
101,4,17,-0.028,
102,12,2,0.028,
103,2,3,0.028,
104,17,14,-0.028,
105,5,7,0.027,
106,31,17,0.027,
107,12,8,0.027,
108,30,0,0.027,
109,15,6,0.027,
110,17,19,0.027,
111,16,0,-0.026,
112,17,10,0.026,
113,9,6,0.026,
114,13,5,0.026,
115,24,16,-0.026,
116,11,14,0.026,
117,7,10,0.026,
118,11,8,-0.025,
119,7,2,-0.025,
120,13,0,-0.025,
121,14,5,0.025,
122,4,18,0.025,
123,0,14,-0.024,
124,12,16,0.024,
125,3,7,0.024,
126,2,10,-0.024,
127,24,12,0.024,
128,5,9,-0.024,
129,4,2,0.024,
130,5,4,-0.023,
131,21,0,0.023,
132,5,18,0.023,
133,14,17,0.023,
134,15,4,0.022,
135,14,2,-0.022,
136,24,13,-0.022,
137,9,17,-0.022,
138,12,14,-0.022,
139,5,3,0.022,
140,9,15,-0.022,
141,3,19,0.022,
142,7,14,-0.022,
143,12,10,0.022,
144,17,8,0.022,
145,8,2,-0.021,
146,11,7,-0.021,
147,15,5,0.021,
148,18,13,-0.021,
149,11,18,0.021,
150,15,9,-0.021,
151,14,11,-0.021,
152,23,15,0.021,
153,6,6,-0.021,
154,29,10,0.021,
155,6,18,-0.020,
156,15,0,0.020,
157,1,14,0.020,
158,9,16,0.020,
159,18,2,-0.020,
160,13,2,-0.020,
161,3,18,0.020,
162,17,2,0.020,
163,9,0,0.020,
164,0,10,0.020,
165,24,18,0.020,
166,20,10,0.019,
167,11,19,-0.019,
168,16,1,0.019,
169,25,13,0.019,
170,3,0,-0.019,
171,1,16,-0.019,
172,10,1,-0.019,
173,14,18,0.018,
174,28,4,0.018,
175,4,16,0.018,
176,16,3,0.018,
177,14,4,-0.018,
178,17,17,-0.018,
179,12,15,0.018,
180,9,3,-0.018,
181,13,6,-0.017,
182,15,19,-0.017,
183,6,0,0.017,
184,17,11,-0.017,
185,30,12,0.017,
186,0,1,0.017,
187,2,12,-0.017,
188,21,2,0.017,
189,12,7,-0.017,
190,22,8,0.017,
191,8,18,-0.017,
192,14,3,0.017,
193,20,18,-0.017,
194,27,7,0.017,
195,20,15,-0.016,
196,22,17,0.016,
197,13,15,0.016,
198,10,19,0.016,
199,22,12,-0.016,
200,17,13,0.016,
201,28,1,-0.016,
202,7,3,0.016,
203,20,13,-0.015,
204,15,15,-0.015,
205,0,19,0.015,
206,23,12,0.015,
207,1,0,-0.015,
