rank,layer,head,IE,behavior
1,8,6,-0.220,
2,0,16,-0.130,
3,8,5,-0.087,
4,0,12,-0.085,
5,9,9,-0.081,
6,8,16,-0.078,
7,6,11,-0.076,
8,16,10,-0.068,
9,8,0,-0.064,
10,30,6,-0.063,
11,9,14,-0.055,
12,7,6,-0.053,
13,18,14,-0.049,
14,0,4,-0.048,
15,9,8,-0.048,
16,0,9,-0.045,
17,14,1,-0.041,
18,13,19,-0.040,
19,7,12,-0.040,
20,9,7,-0.038,
21,0,0,-0.037,
22,14,15,-0.037,
23,9,13,-0.037,
24,5,2,-0.036,
25,13,7,-0.036,
26,8,14,-0.035,
27,2,18,-0.035,
28,13,14,-0.034,
29,13,10,-0.032,
30,8,9,-0.032,
31,11,5,-0.032,
32,9,18,-0.030,
33,13,16,-0.030,
34,11,4,-0.030,
35,4,17,-0.028,
36,17,14,-0.028,
37,16,0,-0.026,
38,24,16,-0.026,
39,11,8,-0.025,
40,7,2,-0.025,
41,13,0,-0.025,
42,0,14,-0.024,
43,2,10,-0.024,
44,5,9,-0.024,
45,5,4,-0.023,
46,14,2,-0.022,
47,24,13,-0.022,
48,9,17,-0.022,
49,12,14,-0.022,
50,9,15,-0.022,
51,7,14,-0.022,
52,8,2,-0.021,
53,11,7,-0.021,
54,18,13,-0.021,
55,15,9,-0.021,
56,14,11,-0.021,
57,6,6,-0.021,
58,6,18,-0.020,
59,18,2,-0.020,
60,13,2,-0.020,
61,11,19,-0.019,
62,3,0,-0.019,
63,1,16,-0.019,
64,10,1,-0.019,
65,14,4,-0.018,
66,17,17,-0.018,
67,9,3,-0.018,
68,13,6,-0.017,
69,15,19,-0.017,
70,17,11,-0.017,
71,2,12,-0.017,
72,12,7,-0.017,
73,8,18,-0.017,
74,20,18,-0.017,
75,20,15,-0.016,
76,22,12,-0.016,
77,28,1,-0.016,
78,20,13,-0.015,
79,15,15,-0.015,
80,1,0,-0.015,
81,2,4,-0.015,
82,8,3,-0.014,
83,25,14,-0.014,
84,23,14,-0.014,
85,28,6,-0.014,
86,5,10,-0.014,
87,6,14,-0.014,
88,22,5,-0.013,
89,28,3,-0.012,
90,7,11,-0.012,
91,19,9,-0.012,
92,7,8,-0.012,
93,17,9,-0.012,
94,20,6,-0.012,
95,23,4,-0.011,
96,9,4,-0.011,
97,8,8,-0.011,
98,1,5,-0.011,
99,12,13,-0.011,
100,25,12,-0.011,
101,5,14,-0.011,
102,2,8,-0.011,
103,20,17,-0.010,
104,19,19,-0.010,
105,22,16,-0.010,
106,12,12,-0.010,
107,24,9,-0.010,
108,24,14,-0.010,
109,11,15,-0.010,
110,10,17,-0.010,
111,1,1,-0.010,
112,27,19,-0.009,
113,21,12,-0.009,
114,26,18,-0.009,
115,22,13,-0.009,
116,13,3,-0.009,
117,8,11,-0.009,
118,11,11,-0.009,
119,0,17,-0.009,
120,1,7,-0.009,
121,10,3,-0.009,
122,16,14,-0.009,
123,25,0,-0.009,
124,2,19,-0.009,
125,21,11,-0.008,
126,30,16,-0.008,
127,12,18,-0.008,
128,1,18,-0.008,
129,16,4,-0.008,
130,15,8,-0.008,
131,18,7,-0.008,
132,7,17,-0.008,
133,26,5,-0.008,
134,21,10,-0.008,
135,18,9,-0.008,
136,21,15,-0.008,
137,24,15,-0.008,
138,5,17,-0.008,
139,29,12,-0.007,
140,22,3,-0.007,
141,4,14,-0.007,
142,30,4,-0.007,
143,28,12,-0.007,
144,4,15,-0.007,
145,16,9,-0.007,
146,6,16,-0.007,
147,25,3,-0.007,
148,3,8,-0.007,
149,21,16,-0.007,
150,4,0,-0.007,
151,20,14,-0.006,
152,29,6,-0.006,
153,23,7,-0.006,
154,25,1,-0.006,
155,5,5,-0.006,
156,27,14,-0.006,
157,24,3,-0.006,
158,14,10,-0.006,
159,30,18,-0.006,
160,18,10,-0.006,
161,28,7,-0.006,
162,19,12,-0.006,
163,8,4,-0.006,
164,4,9,-0.006,
165,28,13,-0.006,
166,29,13,-0.006,
167,21,6,-0.006,
168,7,19,-0.006,
169,17,3,-0.005,
170,21,8,-0.005,
171,2,15,-0.005,
172,20,7,-0.005,
173,3,17,-0.005,
174,25,16,-0.005,
175,26,1,-0.005,
176,11,10,-0.005,
177,21,1,-0.005,
178,15,18,-0.005,
179,5,11,-0.005,
180,18,1,-0.005,
181,3,5,-0.005,
182,11,13,-0.005,
183,28,14,-0.005,
184,31,9,-0.004,
185,25,18,-0.004,
186,24,17,-0.004,
187,7,1,-0.004,
188,30,11,-0.004,
189,25,19,-0.004,
190,7,18,-0.004,
191,26,13,-0.004,
192,13,9,-0.004,
193,6,5,-0.004,
194,29,9,-0.004,
195,5,15,-0.004,
196,25,8,-0.004,
197,0,2,-0.004,
198,6,9,-0.004,
199,1,12,-0.004,
200,2,7,-0.004,
201,31,2,-0.003,
202,22,6,-0.003,
203,27,1,-0.003,
204,29,4,-0.003,
205,5,12,-0.003,
206,10,10,-0.003,
207,10,13,-0.003,
208,9,19,-0.003,
209,9,12,-0.003,
210,23,11,-0.003,
211,21,9,-0.003,
212,29,5,-0.003,
213,27,2,-0.003,
214,19,7,-0.003,
215,3,11,-0.003,
216,31,19,-0.002,
217,12,5,-0.002,
218,29,16,-0.002,
219,19,6,-0.002,
220,27,11,-0.002,
221,31,12,-0.002,
222,26,2,-0.002,
223,2,14,-0.002,
224,29,3,-0.002,
225,26,12,-0.002,
226,30,5,-0.002,
227,28,18,-0.002,
228,31,16,-0.002,
229,17,16,-0.002,
230,22,19,-0.002,
231,25,9,-0.002,
232,3,15,-0.002,
233,10,8,-0.002,
234,17,12,-0.002,
235,4,1,-0.002,
236,13,1,-0.002,
237,27,16,-0.001,
238,21,13,-0.001,
239,29,19,-0.001,
240,31,11,-0.001,
241,31,0,-0.001,
242,31,13,-0.001,
243,2,0,-0.001,
244,3,6,-0.001,
245,1,11,-0.001,
246,6,7,-0.001,
247,14,12,-0.001,
248,22,2,-0.001,
249,18,17,-0.001,
250,19,1,-0.001,
251,26,0,-0.001,
252,21,3,-0.001,
253,27,17,-0.001,
254,20,0,-0.001,
255,30,17,-0.001,
256,22,9,-0.001,
257,27,3,-0.001,
258,30,2,-0.000,
259,4,3,-0.000,
260,11,9,-0.000,
261,23,1,-0.000,
262,31,4,-0.000,
263,21,17,-0.000,
264,10,7,-0.000,
265,26,17,-0.000,
266,12,4,-0.000,
267,26,7,-0.000,
268,3,13,-0.000,
269,19,3,-0.000,
270,4,11,-0.000,
271,32,19,-0.000,
272,32,15,-0.000,
273,32,10,-0.000,
274,32,9,-0.000,
275,32,8,-0.000,
276,32,6,-0.000,
277,32,5,-0.000,
278,32,2,-0.000,
279,32,17,-0.000,
280,32,1,-0.000,
281,32,16,-0.000,
282,0,5,0.000,
283,0,15,0.000,
284,17,15,0.000,
285,16,19,0.000,
286,32,7,0.000,
287,26,9,0.000,
288,24,6,0.000,
289,27,5,0.000,
290,3,3,0.000,
291,30,15,0.000,
292,20,12,0.000,
293,17,0,0.000,
294,13,12,0.000,
295,31,3,0.000,
296,32,4,0.001,
297,29,2,0.001,
298,24,7,0.001,
299,26,10,0.001,
300,25,7,0.001,
301,15,11,0.001,
302,22,7,0.001,
303,4,12,0.001,
304,27,8,0.001,
305,31,15,0.001,
306,29,7,0.001,
307,16,6,0.001,
308,20,9,0.001,
309,29,8,0.001,
310,32,12,0.001,
311,22,0,0.001,
312,23,8,0.001,
313,25,17,0.001,
314,4,7,0.001,
315,32,3,0.001,
316,27,9,0.001,
317,5,1,0.001,
318,30,14,0.001,
319,2,13,0.002,
320,29,11,0.002,
321,4,10,0.002,
322,31,14,0.002,
323,22,1,0.002,
324,31,5,0.002,
325,2,6,0.002,
326,27,4,0.002,
327,23,16,0.002,
328,23,5,0.002,
329,18,18,0.002,
330,28,11,0.002,
331,23,0,0.002,
332,17,6,0.002,
333,20,16,0.002,
334,1,9,0.002,
335,24,4,0.002,
336,7,5,0.002,
337,19,10,0.002,
338,1,19,0.002,
339,21,19,0.002,
340,27,0,0.002,
341,20,5,0.002,
342,16,5,0.002,
343,10,2,0.002,
344,10,14,0.002,
345,10,5,0.002,
346,23,10,0.002,
347,28,0,0.003,
348,30,8,0.003,
349,26,14,0.003,
350,25,4,0.003,
351,9,10,0.003,
352,25,5,0.003,
353,7,9,0.003,
354,0,3,0.003,
355,30,10,0.003,
356,24,10,0.003,
357,23,9,0.003,
358,27,18,0.003,
359,4,8,0.003,
360,1,10,0.003,
361,20,19,0.003,
362,6,2,0.003,
363,31,7,0.003,
364,17,7,0.003,
365,18,5,0.003,
366,1,6,0.003,
367,21,4,0.003,
368,19,11,0.003,
