rank,layer,head,IE,behavior
1,7,13,0.505,
2,11,1,0.468,
3,6,3,0.463,
4,10,9,0.368,
5,26,16,0.361,
6,22,14,0.261,
7,8,19,0.233,
8,32,13,0.203,
9,7,16,0.169,
10,6,19,0.166,
11,0,7,0.164,
12,32,18,0.163,
13,14,9,0.142,
14,5,19,0.137,
15,30,1,0.137,
16,6,17,0.119,
17,11,16,0.112,
18,0,6,0.109,
19,27,15,0.099,
20,19,0,0.098,
21,17,18,0.087,
22,14,14,0.086,
23,16,17,0.086,
24,15,2,0.084,
25,9,1,0.080,
26,6,8,0.072,
27,1,8,0.065,
28,1,13,0.063,
29,8,12,0.063,
30,13,8,0.061,
31,5,6,0.059,
32,0,8,0.058,
33,11,6,0.057,
34,17,5,0.057,
35,14,0,0.053,
36,9,2,0.052,
37,16,15,0.051,
38,13,18,0.051,
39,12,3,0.049,
40,14,19,0.049,
41,7,0,0.048,
42,16,7,0.046,
43,7,15,0.046,
44,19,15,0.044,
45,14,13,0.043,
