protein,n_res,anchor_pos,radius_int,jump_from_radius,jump_to_radius,jump_from_alpha_norm,jump_to_alpha_norm,max_jump_alpha_norm,steering_mode,alpha,n_visible,P_L5_visible,P_L2_visible,P_L_visible,full_P_L5_visible,full_P_L2_visible,full_P_L_visible,delta_vs_full_P_L5_visible,delta_vs_full_P_L2_visible,delta_vs_full_P_L_visible,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,0.0,61,0.5,0.23333333333333334,0.11475409836065574,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.08333333333333337,-0.033333333333333326,-0.016393442622950824,0.7431673407554626,0.7074294090270996,0.7074294090270996,2.9459502696990967,0.3843210919295097
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,0.5,61,0.4166666666666667,0.23333333333333334,0.13114754098360656,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.16666666666666669,-0.033333333333333326,0.0,0.3430284261703491,0.3938615620136261,0.3938615620136261,5.353404521942139,0.6983913790314342
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,1.0,61,0.4166666666666667,0.2,0.09836065573770492,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.16666666666666669,-0.06666666666666665,-0.03278688524590165,0.13025133311748505,0.11915729194879532,0.11915729194879532,7.002640247344971,0.9135464281018023
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,2.0,61,0.3333333333333333,0.16666666666666666,0.09836065573770492,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.25000000000000006,-0.1,-0.03278688524590165,0.07610881328582764,0.00243010139092803,0.0393802672624588,7.394105911254883,0.9646160313310974
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,4.0,61,0.16666666666666666,0.13333333333333333,0.06557377049180328,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.41666666666666674,-0.13333333333333333,-0.06557377049180328,0.07678557932376862,1.2604645007741055e-06,0.03950069099664688,7.386588096618652,0.9636352765778222
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,8.0,61,0.0,0.03333333333333333,0.06557377049180328,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.5833333333333334,-0.23333333333333334,-0.06557377049180328,0.076785609126091,1.5769649041458278e-12,0.03951767459511757,7.385787010192871,0.9635307689039987
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,10.0,61,0.0,0.1,0.06557377049180328,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.5833333333333334,-0.16666666666666666,-0.06557377049180328,0.076785609126091,2.231776597227497e-15,0.03950867801904678,7.385585784912109,0.9635045175716453
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,12.0,61,0.0,0.06666666666666667,0.08196721311475409,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.5833333333333334,-0.2,-0.04918032786885247,0.076785609126091,3.4548068890871913e-18,0.039492685347795486,7.3854546546936035,0.9634874106607516
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,14.0,61,0.0,0.03333333333333333,0.03278688524590164,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.5833333333333334,-0.23333333333333334,-0.09836065573770492,0.076785609126091,5.8144043908258174e-21,0.03947325050830841,7.385367393493652,0.9634760267891387
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,16.0,61,0.0,0.0,0.01639344262295082,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.5833333333333334,-0.26666666666666666,-0.11475409836065574,0.076785609126091,1.0644079683763577e-23,0.03945302218198776,7.38530158996582,0.9634674422302175
1CUKA,203,81,30,20,30,-0.20314659255212494,0.8488838394288091,1.052030431980934,direct,32.0,61,0.0,0.0,0.04918032786885246,0.5833333333333334,0.26666666666666666,0.13114754098360656,-0.5833333333333334,-0.26666666666666666,-0.0819672131147541,0.076785609126091,1.2611686178923354e-44,0.039354074746370316,7.38485050201416,0.9634085944567431
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,0.0,61,0.5833333333333334,0.5,0.2459016393442623,0.5833333333333334,0.43333333333333335,0.21311475409836064,0.0,0.06666666666666665,0.03278688524590165,0.5409340262413025,0.46501922607421875,0.46501922607421875,4.851560592651367,0.614997907724901
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,0.5,61,0.25,0.2,0.16393442622950818,0.5833333333333334,0.43333333333333335,0.21311475409836064,-0.33333333333333337,-0.23333333333333334,-0.04918032786885246,0.17532393336296082,0.153779074549675,0.153779074549675,6.960085868835449,0.882280694051932
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,1.0,61,0.0,0.0,0.0,0.5833333333333334,0.43333333333333335,0.21311475409836064,-0.5833333333333334,-0.43333333333333335,-0.21311475409836064,0.06437484920024872,0.02661425992846489,0.02661425992846489,7.565227031707764,0.9589901449466393
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,2.0,61,0.0,0.0,0.01639344262295082,0.5833333333333334,0.43333333333333335,0.21311475409836064,-0.5833333333333334,-0.43333333333333335,-0.19672131147540983,0.05734030157327652,0.0005177097045816481,0.019125455990433693,7.601992130279541,0.9636505955928067
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,4.0,61,0.0,0.0,0.01639344262295082,0.5833333333333334,0.43333333333333335,0.21311475409836064,-0.5833333333333334,-0.43333333333333335,-0.19672131147540983,0.057385362684726715,3.050550390071294e-07,0.0191317368298769,7.59881067276001,0.963247304799945
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,8.0,61,0.0,0.0,0.01639344262295082,0.5833333333333334,0.43333333333333335,0.21311475409836064,-0.5833333333333334,-0.43333333333333335,-0.19672131147540983,0.05748534947633743,5.47920704033894e-13,0.0191199854016304,7.598000526428223,0.9631446082985853
