rank,feature,coefficient,abs_coefficient
1,sse_-1_E,2.086193,2.086193
2,sse_1_H,1.992329,1.992329
3,sse_0_E,-1.477721,1.477721
4,aaclass_0_proline,-1.327061,1.327061
5,sse_-3_H,-1.143522,1.143522
6,sse_3_H,-1.134536,1.134536
7,sse_5_H,1.097456,1.097456
8,aaclass_-1_glycine,-0.950830,0.950830
9,aaclass_0_positive,0.880390,0.880390
10,sse_2_C,-0.771301,0.771301
11,center_glycine,0.683333,0.683333
12,aaclass_-3_glycine,-0.676410,0.676410
13,aaclass_1_glycine,-0.642249,0.642249
14,mean_hydro,0.604118,0.604118
15,sse_1_C,-0.558574,0.558574
16,center_sse_E,-0.499350,0.499350
17,aaclass_-5_aromatic,-0.479718,0.479718
18,aaclass_-2_negative,0.466776,0.466776
19,sse_0_C,0.457873,0.457873
20,aaclass_2_positive,-0.436551,0.436551
21,aaclass_-3_aromatic,0.426133,0.426133
22,aaclass_5_positive,-0.418318,0.418318
23,aaclass_3_hydrophobic,-0.414610,0.414610
24,sse_-5_E,-0.374876,0.374876
25,sse_-2_C,0.352719,0.352719
26,sse_-4_E,-0.352343,0.352343
27,aaclass_4_proline,-0.343059,0.343059
28,aaclass_-5_hydrophobic,-0.341717,0.341717
29,aaclass_2_glycine,-0.340689,0.340689
30,sse_-3_E,0.332541,0.332541
31,aaclass_1_aromatic,0.318504,0.318504
32,aaclass_-1_positive,-0.312449,0.312449
33,aaclass_3_glycine,0.309621,0.309621
34,center_hydro,0.296012,0.296012
35,aaclass_0_glycine,0.294578,0.294578
36,aaclass_2_negative,0.291101,0.291101
37,aaclass_4_glycine,0.289924,0.289924
38,aaclass_-5_proline,0.284707,0.284707
39,aaclass_0_aromatic,0.275417,0.275417
40,aaclass_4_negative,-0.270668,0.270668
41,sse_4_H,-0.259542,0.259542
42,sse_3_C,0.254036,0.254036
43,aaclass_-1_proline,0.247068,0.247068
44,aaclass_4_polar,0.245998,0.245998
45,aaclass_2_aromatic,-0.243881,0.243881
46,aaclass_-2_polar,-0.236848,0.236848
47,sse_-5_H,0.233223,0.233223
48,aaclass_-1_hydrophobic,0.231111,0.231111
49,aaclass_1_positive,0.228181,0.228181
50,aaclass_4_aromatic,-0.219246,0.219246
51,aaclass_3_positive,0.216011,0.216011
52,aaclass_-4_hydrophobic,-0.214939,0.214939
53,sse_-1_H,-0.204940,0.204940
54,aaclass_-5_negative,0.203426,0.203426
55,center_hydrophobic,-0.199116,0.199116
56,aaclass_3_proline,-0.198153,0.198153
57,aaclass_-4_proline,-0.175167,0.175167
58,aaclass_5_glycine,0.170166,0.170166
59,center_positive,0.166116,0.166116
60,aaclass_-4_polar,0.154340,0.154340
61,sse_4_C,0.150377,0.150377
62,count_left_glycine,-0.145620,0.145620
63,aaclass_1_hydrophobic,-0.143676,0.143676
64,aaclass_-2_aromatic,0.130469,0.130469
65,aaclass_2_polar,0.126858,0.126858
66,count_left_proline,0.123912,0.123912
67,aaclass_-5_polar,0.123093,0.123093
68,aaclass_1_negative,0.119693,0.119693
69,center_proline,-0.109766,0.109766
70,aaclass_-3_negative,-0.107977,0.107977
71,aaclass_4_positive,-0.103131,0.103131
72,aaclass_-3_proline,0.099713,0.099713
73,aaclass_-4_negative,0.094083,0.094083
74,center_aromatic,0.091807,0.091807
75,aaclass_3_negative,0.091392,0.091392
76,aaclass_-1_negative,-0.087439,0.087439
77,sse_-2_H,-0.086704,0.086704
78,count_right_proline,-0.086547,0.086547
79,aaclass_-2_glycine,0.078207,0.078207
80,aaclass_0_polar,-0.073020,0.073020
81,sse_-2_E,-0.071718,0.071718
82,sse_2_E,0.059869,0.059869
83,aaclass_-2_hydrophobic,-0.046515,0.046515
84,sse_2_H,0.046424,0.046424
85,aaclass_-2_proline,0.040100,0.040100
86,aaclass_5_negative,-0.038605,0.038605
87,sse_-4_C,0.038201,0.038201
88,aaclass_-4_aromatic,-0.037273,0.037273
89,aaclass_0_negative,-0.037027,0.037027
90,aaclass_-3_polar,-0.036610,0.036610
91,aaclass_2_proline,0.035573,0.035573
92,count_negative,0.033445,0.033445
93,sse_-1_C,-0.031621,0.031621
94,aaclass_-4_positive,0.026917,0.026917
95,count_hydrophobic,-0.026718,0.026718
96,sse_transitions,-0.026689,0.026689
97,center_sse_seg_len,-0.022707,0.022707
98,aaclass_-5_positive,-0.022695,0.022695
99,sse_5_E,-0.022430,0.022430
100,aaclass_-5_glycine,-0.016775,0.016775
101,aaclass_-1_polar,0.014888,0.014888
102,left_hydro,0.014812,0.014812
103,aaclass_5_hydrophobic,0.012750,0.012750
104,aaclass_5_polar,0.011981,0.011981
105,aaclass_-3_hydrophobic,0.011186,0.011186
106,count_polar,0.010455,0.010455
107,aaclass_3_polar,-0.008789,0.008789
108,right_hydro,0.008614,0.008614
109,aaclass_5_aromatic,-0.008094,0.008094
110,sse_5_C,-0.007915,0.007915
111,aaclass_3_aromatic,-0.007868,0.007868
112,aaclass_5_proline,-0.007251,0.007251
113,sse_-4_H,0.006905,0.006905
114,count_right_polar,0.006576,0.006576
115,count_left_negative,0.006370,0.006370
116,aaclass_-1_aromatic,0.005622,0.005622
117,count_left_positive,-0.005405,0.005405
118,aaclass_-3_positive,-0.005385,0.005385
119,count_right_aromatic,-0.005048,0.005048
120,aaclass_1_proline,0.003810,0.003810
121,count_right_negative,0.003745,0.003745
122,aaclass_-4_glycine,-0.003237,0.003237
123,center_polar,-0.002866,0.002866
124,count_left_hydrophobic,-0.002176,0.002176
125,aaclass_-2_positive,0.001060,0.001060
126,aaclass_0_hydrophobic,-0.000889,0.000889
127,center_negative,-0.000561,0.000561
128,count_left_aromatic,0.000073,0.000073
129,sse_0_H,0.000000,0.000000
130,sse_4_E,0.000000,0.000000
131,sse_1_E,0.000000,0.000000
132,sse_count_E,0.000000,0.000000
133,sse_count_H,0.000000,0.000000
134,sse_count_C,0.000000,0.000000
135,sse_3_E,0.000000,0.000000
136,aaclass_4_hydrophobic,0.000000,0.000000
137,count_gly,0.000000,0.000000
138,count_glycine,0.000000,0.000000
139,center_sse_H,0.000000,0.000000
140,count_aromatic,0.000000,0.000000
141,count_pro,0.000000,0.000000
142,count_proline,0.000000,0.000000
143,sse_-3_C,0.000000,0.000000
144,sse_-5_C,0.000000,0.000000
145,count_right_glycine,0.000000,0.000000
146,count_right_positive,0.000000,0.000000
147,count_right_hydrophobic,0.000000,0.000000
148,count_positive,0.000000,0.000000
149,count_left_polar,0.000000,0.000000
150,aaclass_1_polar,0.000000,0.000000
151,aaclass_2_hydrophobic,0.000000,0.000000
