rank,feature,coefficient,abs_coefficient
1,aaclass_10_proline,4.630003,4.630003
2,aaclass_7_glycine,2.301199,2.301199
3,aaclass_8_proline,1.927876,1.927876
4,aaclass_-20_positive,1.679851,1.679851
5,aaclass_-26_negative,1.287699,1.287699
6,aaclass_5_positive,1.054554,1.054554
7,aaclass_-3_proline,1.038663,1.038663
8,aaclass_29_polar,0.959151,0.959151
9,aaclass_10_aromatic,0.888826,0.888826
10,aaclass_8_negative,0.796819,0.796819
11,aaclass_21_aromatic,0.763112,0.763112
12,aaclass_-17_polar,0.731287,0.731287
13,aaclass_14_negative,0.730357,0.730357
14,aaclass_-14_negative,0.728605,0.728605
15,aaclass_18_negative,0.692818,0.692818
16,aaclass_3_proline,0.692696,0.692696
17,sse_25_C,-0.654508,0.654508
18,aaclass_-5_polar,0.643451,0.643451
19,sse_-7_C,0.638798,0.638798
20,aaclass_-6_positive,0.579657,0.579657
21,sse_-27_C,-0.487407,0.487407
22,aaclass_15_proline,0.439413,0.439413
23,aaclass_17_positive,0.436227,0.436227
24,aaclass_11_polar,-0.430793,0.430793
25,aaclass_-11_proline,0.419759,0.419759
26,aaclass_-11_negative,0.396488,0.396488
27,aaclass_-13_hydrophobic,0.395785,0.395785
28,aaclass_9_glycine,0.385853,0.385853
29,aaclass_5_glycine,0.346836,0.346836
30,aaclass_-14_proline,0.334341,0.334341
31,aaclass_6_polar,0.331854,0.331854
32,aaclass_2_polar,0.323871,0.323871
33,aaclass_-24_negative,0.291234,0.291234
34,aaclass_-8_proline,0.278100,0.278100
35,aaclass_13_proline,0.271774,0.271774
36,aaclass_20_aromatic,0.263697,0.263697
37,aaclass_-24_glycine,0.250927,0.250927
38,aaclass_4_hydrophobic,0.248522,0.248522
39,aaclass_-21_hydrophobic,0.247011,0.247011
40,aaclass_11_proline,0.246973,0.246973
41,sse_3_C,0.246420,0.246420
42,sse_13_E,-0.235713,0.235713
43,sse_-19_E,0.222686,0.222686
44,aaclass_-25_glycine,0.214797,0.214797
45,aaclass_-4_proline,-0.194478,0.194478
46,aaclass_12_proline,-0.181574,0.181574
47,aaclass_-15_hydrophobic,0.178545,0.178545
48,aaclass_27_negative,-0.161747,0.161747
49,aaclass_3_positive,0.150827,0.150827
50,sse_-6_E,-0.110393,0.110393
51,aaclass_13_aromatic,-0.109619,0.109619
52,aaclass_6_glycine,0.109470,0.109470
53,sse_-13_C,-0.108967,0.108967
54,aaclass_16_positive,0.106862,0.106862
55,aaclass_3_hydrophobic,-0.101744,0.101744
56,aaclass_-25_proline,0.099569,0.099569
57,aaclass_25_positive,-0.097158,0.097158
58,aaclass_-15_polar,-0.089287,0.089287
59,aaclass_15_glycine,-0.088621,0.088621
