control_set,radius,variant,model,auroc,auprc,bal_acc,n_folds,n_pos,n_neg
sse,5,full,l1_logistic,0.8203288000000001,0.5066020551470455,0.7325999999999999,10,500,2500
sse,5,full,gradient_boosting,0.8454024000000001,0.5826514319192461,0.7614,,500,2500
sse,5,censor_identity,l1_logistic,0.7916464000000001,0.4536354053688006,0.7154,10,500,2500
sse,5,censor_all,l1_logistic,0.7727024,0.41685681457571533,0.6952,10,500,2500
sse,10,full,l1_logistic,0.8119782665563127,0.5019783346206622,0.7392389864015885,10,493,2365
sse,10,full,gradient_boosting,0.8402909228136832,0.5652563804964609,0.7557783600427121,,493,2365
sse,10,censor_identity,l1_logistic,0.7876529338862468,0.4715742067659953,0.7095240341525544,10,493,2365
sse,10,censor_all,l1_logistic,0.7698381999150903,0.43517651223638676,0.6965478646076788,10,493,2365
sse,15,full,l1_logistic,0.8004417250239123,0.4828599950989071,0.7291405618568724,10,489,2262
sse,15,full,gradient_boosting,0.8442318089028477,0.5888695040998964,0.7534282056706427,,489,2262
sse,15,censor_identity,l1_logistic,0.7773953592654671,0.4616996137637283,0.6958159075252369,10,489,2262
sse,15,censor_all,l1_logistic,0.7594876857622785,0.431570962166346,0.6914492847960163,10,489,2262
sse,20,full,l1_logistic,0.7782118873234538,0.4423305079271809,0.7062205514801428,10,483,2143
sse,20,full,gradient_boosting,0.8441707750884242,0.5872258171741197,0.7638746788861419,,483,2143
sse,20,censor_identity,l1_logistic,0.7559128908314324,0.4163124015295303,0.6861711634683292,10,483,2143
sse,20,censor_all,l1_logistic,0.7377711051147315,0.3871098911314024,0.6740840465708083,10,483,2143
sse,25,full,l1_logistic,0.7756450782766572,0.45677530942478023,0.7003658516816411,10,481,2052
sse,25,full,gradient_boosting,0.8441224625435151,0.5984777125157662,0.7557876702613545,,481,2052
sse,25,censor_identity,l1_logistic,0.7569279806121912,0.4328566723955033,0.6767324004166109,10,481,2052
sse,25,censor_all,l1_logistic,0.7400852269273321,0.4051530323664649,0.6812146154251417,10,481,2052
sse,30,full,l1_logistic,0.7677759766425507,0.4450818923838902,0.6819107563079388,10,463,1876
sse,30,full,gradient_boosting,0.835770238594132,0.6115902302080274,0.7594573031172431,,463,1876
sse,30,censor_identity,l1_logistic,0.7548469469990374,0.4307729202801533,0.6752890898792063,10,463,1876
sse,30,censor_all,l1_logistic,0.7339509640934482,0.40730323609311037,0.6610527660985416,10,463,1876
sse,40,full,l1_logistic,0.7205363825363825,0.4026272390323823,0.644873873873874,10,444,1625
sse,40,full,gradient_boosting,0.8402037422037423,0.6246652944031619,0.7578316008316008,,444,1625
sse,40,censor_identity,l1_logistic,0.6975301455301455,0.3766572069849139,0.6358523908523909,10,444,1625
sse,40,censor_all,l1_logistic,0.6803243243243243,0.36633014000048814,0.6270401940401941,10,444,1625
structural,5,full,l1_logistic,0.6698442222738897,0.1151213667090911,0.5877702859800047,10,17,253
structural,5,full,gradient_boosting,0.692862125087189,0.16625462906328067,0.5744013020227854,,17,253
structural,5,censor_identity,l1_logistic,0.6784468728202744,0.12467814576000956,0.5936991397349454,10,17,253
structural,5,censor_all,l1_logistic,0.6944896535689374,0.12529689703020394,0.5936991397349454,10,17,253
structural,10,full,l1_logistic,0.6147465437788019,0.09659748739274383,0.5182795698924731,10,15,217
structural,10,full,gradient_boosting,0.5078341013824884,0.07645528790576803,0.4861751152073733,,15,217
structural,10,censor_identity,l1_logistic,0.6156682027649769,0.09495366172286428,0.5470046082949309,10,15,217
structural,10,censor_all,l1_logistic,0.6125960061443932,0.09329254165874887,0.5136712749615976,10,15,217
structural,15,full,l1_logistic,0.5089734386216799,0.0786339238179527,0.4904881550610194,10,14,199
structural,15,full,gradient_boosting,0.5786073223259154,0.09591034391477748,0.4949748743718593,,14,199
structural,15,censor_identity,l1_logistic,0.5186647523330941,0.08431373279323463,0.4904881550610194,10,14,199
structural,15,censor_all,l1_logistic,0.5233309404163675,0.08481961346448408,0.48546302943287867,10,14,199
structural,20,full,l1_logistic,0.6564967695620962,0.10668062026098601,0.5362526920315865,10,14,199
structural,20,full,gradient_boosting,0.7135678391959799,0.1851529791688487,0.530689160086145,,14,199
structural,20,censor_identity,l1_logistic,0.6586503948312994,0.10762003276133794,0.5362526920315865,10,14,199
structural,20,censor_all,l1_logistic,0.6554199569274946,0.10625352992136153,0.5362526920315865,10,14,199
structural,25,full,l1_logistic,0.5943274602492479,0.09264791097832313,0.5266437473141383,10,13,179
structural,25,full,gradient_boosting,0.5169746454662656,0.10546288048036251,0.5328749462827675,,13,179
structural,25,censor_identity,l1_logistic,0.5951869359690589,0.092682233510975,0.5266437473141383,10,13,179
structural,25,censor_all,l1_logistic,0.5956166738289643,0.092869850771763,0.5266437473141383,10,13,179
structural,30,full,l1_logistic,0.7103658536585366,0.14370092099902557,0.5050813008130082,10,12,164
structural,30,full,gradient_boosting,0.540650406504065,0.07754530684375521,0.4969512195121951,,12,164
structural,30,censor_identity,l1_logistic,0.7103658536585367,0.14370092099902557,0.5050813008130082,10,12,164
structural,30,censor_all,l1_logistic,0.7103658536585366,0.14370092099902557,0.5050813008130082,10,12,164
structural,40,full,l1_logistic,0.5236641221374045,0.07895084524312618,0.4580152671755725,10,10,131
structural,40,full,gradient_boosting,0.44503816793893125,0.06562389126732215,0.4961832061068702,,10,131
structural,40,censor_identity,l1_logistic,0.5236641221374045,0.07895084524312618,0.4580152671755725,10,10,131
structural,40,censor_all,l1_logistic,0.5229007633587787,0.0788653751576561,0.4580152671755725,10,10,131
