feature,coefficient,abs_coefficient
rsa_4,-7.209621,7.209621
rsa_0,-7.176409,7.176409
rsa_1,-6.011553,6.011553
sse_0_C,4.152848,4.152848
cnt_center_-20,-3.223714,3.223714
cnt_center_0,-3.051645,3.051645
lrf_-3,2.950691,2.950691
flex_-4,2.922230,2.922230
aa_3_H,2.821401,2.821401
rsa_-1,-2.744356,2.744356
aa_7_F,-2.719402,2.719402
sse_1_H,2.702811,2.702811
aa_-1_W,2.665208,2.665208
aa_0_H,2.576461,2.576461
aa_-19_M,-2.554828,2.554828
aa_2_M,-2.495251,2.495251
aa_24_S,-2.490677,2.490677
cnt_center_-25,-2.483078,2.483078
aa_-29_R,2.480541,2.480541
flex_17,2.436603,2.436603
aa_17_C,2.404496,2.404496
cnt_center_29,2.347835,2.347835
aa_1_Q,2.323582,2.323582
aa_2_S,2.270225,2.270225
aa_-5_M,2.209962,2.209962
aa_5_W,-2.196322,2.196322
aa_-6_C,-2.092570,2.092570
aa_26_W,2.041484,2.041484
aa_0_G,2.022268,2.022268
rsa_-14,2.009018,2.009018
rsa_-11,-1.992816,1.992816
aa_-26_M,1.990405,1.990405
aa_-3_Y,1.985617,1.985617
flex_23,-1.963816,1.963816
aa_-3_M,-1.955104,1.955104
aa_-7_C,1.904242,1.904242
aa_-18_K,1.876226,1.876226
rsa_-2,-1.865045,1.865045
aa_12_C,1.861157,1.861157
cnt_center_-4,-1.849577,1.849577
cnt_center_-3,1.849471,1.849471
sse_-1_C,-1.847944,1.847944
aa_0_Y,-1.815621,1.815621
aa_-27_Q,-1.786691,1.786691
aa_-1_T,1.757438,1.757438
aa_1_Y,-1.725257,1.725257
aa_3_K,-1.711657,1.711657
aa_8_C,1.707136,1.707136
lrf_-6,-1.688733,1.688733
rsa_-25,1.674322,1.674322
sse_-3_H,-1.653616,1.653616
aa_-7_H,1.639656,1.639656
rsa_3,-1.635881,1.635881
aa_-26_N,1.633788,1.633788
aa_-16_D,-1.628399,1.628399
aa_15_W,-1.607551,1.607551
aa_-13_P,-1.568249,1.568249
aa_-1_K,-1.553293,1.553293
aa_4_Y,-1.541403,1.541403
aa_22_I,1.534045,1.534045
lrf_23,1.533009,1.533009
lrf_-28,-1.532880,1.532880
aa_-23_N,1.528922,1.528922
aa_0_M,-1.513139,1.513139
aa_23_N,-1.505085,1.505085
aa_7_D,1.494068,1.494068
aa_23_C,1.479417,1.479417
aa_-2_A,-1.473676,1.473676
aa_-1_Q,1.470552,1.470552
cnt_center_20,-1.456812,1.456812
aa_-24_D,-1.456189,1.456189
aa_-29_E,1.449900,1.449900
aa_6_H,1.446087,1.446087
aa_-12_A,-1.443047,1.443047
aa_-7_M,-1.440505,1.440505
aa_6_R,-1.434032,1.434032
aa_-13_H,-1.428795,1.428795
aa_-21_I,-1.418165,1.418165
aa_-21_H,-1.407437,1.407437
aa_-22_L,1.393554,1.393554
aa_-17_Q,1.388677,1.388677
flex_28,1.387894,1.387894
aa_-2_N,-1.386475,1.386475
lrf_11,-1.368529,1.368529
aa_23_M,1.350406,1.350406
aa_-2_D,1.347491,1.347491
aa_-27_W,1.327337,1.327337
rsa_5,-1.318981,1.318981
aa_24_C,-1.312517,1.312517
aa_7_Q,-1.311713,1.311713
aa_4_E,-1.294173,1.294173
aa_18_P,1.287728,1.287728
cnt_center_2,1.274100,1.274100
aa_8_I,1.270255,1.270255
rsa_30,1.264860,1.264860
flex_-27,-1.252228,1.252228
lrf_1,1.234934,1.234934
aa_-3_C,-1.226344,1.226344
lrf_15,1.208453,1.208453
aa_-6_Y,1.183340,1.183340
sse_0_E,-1.179767,1.179767
aa_-22_G,-1.177763,1.177763
aa_-6_G,1.173495,1.173495
aa_16_D,-1.160688,1.160688
aa_-3_P,1.153567,1.153567
aa_-1_C,-1.150307,1.150307
aa_-6_M,-1.150198,1.150198
aa_8_F,1.148429,1.148429
aa_-9_S,-1.146328,1.146328
aa_21_W,1.145357,1.145357
aa_23_G,1.140871,1.140871
aa_-9_W,-1.138549,1.138549
aa_1_P,-1.133103,1.133103
rsa_-27,1.127982,1.127982
aa_-7_F,-1.121528,1.121528
aa_2_D,1.119863,1.119863
aa_12_W,1.113161,1.113161
aa_30_C,1.110145,1.110145
aa_19_C,1.108773,1.108773
aa_-12_P,-1.104608,1.104608
aa_6_D,-1.103032,1.103032
cnt_center_6,-1.099566,1.099566
flex_-12,1.096909,1.096909
lrf_3,1.092844,1.092844
aa_-19_K,-1.091043,1.091043
lrf_21,1.082743,1.082743
sse_15_E,-1.079015,1.079015
aa_22_F,1.072400,1.072400
cnt_center_-10,1.068655,1.068655
aa_0_P,-1.063756,1.063756
aa_-10_N,-1.059514,1.059514
aa_-23_D,1.052376,1.052376
aa_-26_W,1.040017,1.040017
aa_-29_S,-1.039617,1.039617
aa_4_P,-1.036053,1.036053
aa_28_C,1.034579,1.034579
aa_12_G,-1.026887,1.026887
aa_1_H,1.014873,1.014873
aa_-28_I,1.014073,1.014073
rsa_9,-1.001059,1.001059
cnt_center_21,0.991695,0.991695
aa_24_E,0.987743,0.987743
aa_-11_H,-0.985770,0.985770
aa_-1_G,-0.979344,0.979344
aa_-20_D,0.978817,0.978817
cnt_center_-7,-0.973700,0.973700
aa_10_W,-0.972571,0.972571
aa_3_N,-0.968804,0.968804
aa_15_M,0.968198,0.968198
aa_25_H,-0.967950,0.967950
aa_-10_K,-0.967771,0.967771
aa_-20_H,-0.965959,0.965959
aa_3_D,0.957451,0.957451
aa_-10_C,-0.956727,0.956727
aa_7_Y,0.948031,0.948031
aa_-22_E,-0.940578,0.940578
aa_-26_L,-0.926864,0.926864
aa_20_Y,-0.923642,0.923642
aa_3_Q,-0.923639,0.923639
sse_3_C,0.919768,0.919768
aa_11_H,-0.919279,0.919279
aa_24_N,0.916762,0.916762
lrf_-13,-0.913914,0.913914
aa_9_N,0.908384,0.908384
lrf_-30,-0.905521,0.905521
aa_-11_D,0.905065,0.905065
aa_-19_Y,-0.903900,0.903900
rsa_23,-0.903581,0.903581
aa_0_S,-0.881741,0.881741
aa_-13_W,-0.878290,0.878290
aa_26_D,-0.876020,0.876020
sse_2_C,-0.874359,0.874359
aa_1_E,0.872326,0.872326
aa_-12_K,0.859104,0.859104
aa_-13_M,0.855690,0.855690
aa_-10_P,0.851864,0.851864
aa_-25_T,-0.846120,0.846120
aa_14_F,0.844699,0.844699
aa_-14_N,-0.843653,0.843653
aa_-8_E,-0.841285,0.841285
aa_26_Y,0.841191,0.841191
cnt_center_-2,-0.839416,0.839416
aa_10_R,-0.838620,0.838620
