model,radius,matching,n_proteins,n_features,n_pos,n_neg,base_rate,auprc,auroc,bal_acc
H1,30,sse_only,500,1220,500,2500,0.1667,0.3203,0.6930,0.6168
H2,30,sse_only,500,243,500,2500,0.1667,0.3936,0.7738,0.7018
H3,30,sse_only,500,244,500,2500,0.1667,0.3816,0.7314,0.6650
H4,30,structural,483,244,483,2386,0.1684,0.4878,0.8211,0.7490
H5,30,sse_only,500,7,500,2500,0.1667,0.1818,0.5498,0.5282
H1,15,sse_only,,,500,2500,0.1667,0.3339,0.7045,0.6346
H2,15,sse_only,,,500,2500,0.1667,0.3845,0.7849,0.7186
H3,15,sse_only,,,500,2500,0.1667,0.4128,0.7415,0.6686
FULL,30,sse_only,500,1958,500,2500,0.1667,0.5632,0.8355,0.7346
GBT_FULL,30,sse_only,,,,,nan,0.7272,0.9147,0.8048
H1_structural,30,structural,,,483,2386,0.1684,0.2794,0.6620,0.6035
H1_sse_subset,30,sse_only,,,488,2440,0.1667,0.3192,0.6999,0.6131
