feature,coefficient,abs_coefficient
rsa_0,12.715070,12.715070
rsa_-1,-6.935305,6.935305
rsa_4,-3.884252,3.884252
lrf_-3,3.029532,3.029532
rsa_3,-2.639257,2.639257
cnt_center_-4,-2.358415,2.358415
rsa_1,-2.351604,2.351604
rsa_-5,2.192980,2.192980
frac_pos,2.042772,2.042772
rsa_-2,-1.949546,1.949546
cnt_center_6,-1.849682,1.849682
cnt_center_-3,1.847148,1.847148
lrf_-15,-1.814029,1.814029
cnt_center_-25,-1.741442,1.741442
lrf_25,1.672938,1.672938
lrf_0,-1.454334,1.454334
lrf_-14,1.445839,1.445839
rsa_-17,1.404648,1.404648
cnt_center_29,1.383118,1.383118
rsa_14,1.383004,1.383004
lrf_6,-1.352549,1.352549
rsa_2,1.338556,1.338556
bridge_score,1.291856,1.291856
lrf_-24,1.287177,1.287177
rsa_-11,-1.284593,1.284593
lrf_11,-1.284365,1.284365
cnt_center_-20,-1.271511,1.271511
lrf_5,1.232620,1.232620
rsa_-24,1.230095,1.230095
rsa_6,-1.206776,1.206776
rsa_7,-1.201542,1.201542
cnt_center_-5,-1.131707,1.131707
cnt_center_20,-1.112708,1.112708
lrf_-28,-1.079096,1.079096
cnt_center_-19,-1.053590,1.053590
cnt_center_-28,-1.040300,1.040300
rsa_11,-1.038383,1.038383
lrf_20,-1.036306,1.036306
lrf_-18,1.022314,1.022314
cnt_center_13,1.007585,1.007585
lrf_16,0.992284,0.992284
n_components_without_center,-0.976841,0.976841
lrf_-8,0.974140,0.974140
rsa_9,-0.937122,0.937122
lrf_-10,-0.929355,0.929355
lrf_-19,0.926397,0.926397
rsa_30,0.916665,0.916665
rsa_-27,0.908105,0.908105
lrf_-7,0.875655,0.875655
rsa_-12,0.869533,0.869533
rsa_-18,0.868013,0.868013
lrf_1,0.865626,0.865626
lrf_-23,-0.855583,0.855583
lrf_-6,-0.855245,0.855245
cnt_center_-27,0.823699,0.823699
rsa_-22,0.818243,0.818243
lrf_18,0.785595,0.785595
rsa_-14,0.776676,0.776676
lrf_3,0.732017,0.732017
lrf_-9,-0.717912,0.717912
rsa_-26,-0.715437,0.715437
rsa_-21,-0.710939,0.710939
cnt_center_-15,0.699065,0.699065
lrf_26,0.698154,0.698154
cnt_center_12,-0.695528,0.695528
lrf_-17,0.694164,0.694164
cnt_center_7,-0.693809,0.693809
cnt_center_-22,-0.690723,0.690723
cnt_center_-7,-0.689565,0.689565
lrf_14,0.687658,0.687658
rsa_-28,0.672569,0.672569
lrf_-16,-0.663842,0.663842
lrf_-5,-0.662676,0.662676
betweenness_in_window,-0.660038,0.660038
lrf_28,-0.636686,0.636686
rsa_-19,0.633429,0.633429
rsa_-3,-0.633002,0.633002
rsa_-4,-0.621903,0.621903
rsa_-16,0.612408,0.612408
lrf_-25,-0.590732,0.590732
cnt_center_18,0.580757,0.580757
cnt_center_10,-0.579200,0.579200
lrf_13,0.563395,0.563395
cnt_center_-14,0.550826,0.550826
rsa_-25,0.531547,0.531547
cnt_center_2,0.530156,0.530156
cnt_center_-1,-0.503895,0.503895
cnt_center_-26,0.472983,0.472983
rsa_26,-0.462888,0.462888
rsa_16,0.459733,0.459733
cnt_center_9,-0.450203,0.450203
lrf_-30,-0.447361,0.447361
cnt_center_21,0.444109,0.444109
lrf_-29,-0.438654,0.438654
cnt_center_27,-0.435714,0.435714
lrf_10,0.428991,0.428991
lrf_-21,-0.399009,0.399009
pos_in_sse,-0.382277,0.382277
rsa_17,-0.370058,0.370058
lrf_-11,-0.367846,0.367846
rsa_-23,-0.359938,0.359938
lrf_27,-0.351014,0.351014
lrf_-12,-0.348610,0.348610
cnt_center_23,-0.347355,0.347355
cnt_center_-11,-0.333571,0.333571
cnt_center_28,-0.330600,0.330600
lrf_2,-0.329853,0.329853
rsa_28,-0.314851,0.314851
cnt_center_-18,-0.313252,0.313252
cnt_center_26,0.305864,0.305864
rsa_5,-0.304589,0.304589
rsa_19,-0.303789,0.303789
cnt_center_5,-0.303205,0.303205
rsa_18,0.300837,0.300837
rsa_21,0.294466,0.294466
rsa_15,-0.281743,0.281743
rsa_-7,-0.278878,0.278878
cnt_center_3,0.275502,0.275502
cnt_center_-6,0.271646,0.271646
lrf_17,-0.270540,0.270540
rsa_29,-0.259771,0.259771
lrf_-13,0.251121,0.251121
lrf_-4,0.240671,0.240671
rsa_23,-0.232762,0.232762
cnt_center_-29,0.230731,0.230731
lrf_4,-0.226996,0.226996
cnt_center_-13,-0.226573,0.226573
rsa_13,-0.225397,0.225397
frac_nonredundant_contacts,-0.224244,0.224244
lrf_29,-0.222988,0.222988
cnt_center_-2,-0.222865,0.222865
cnt_center_24,0.220741,0.220741
rsa_-20,0.213485,0.213485
cnt_center_-12,-0.213279,0.213279
cnt_center_19,-0.209883,0.209883
lrf_-1,-0.203631,0.203631
rsa_25,-0.202970,0.202970
lrf_22,0.202190,0.202190
cnt_center_-16,-0.193066,0.193066
rsa_-9,0.192783,0.192783
cnt_center_-30,-0.190845,0.190845
cnt_center_11,-0.189407,0.189407
lrf_23,-0.184234,0.184234
rsa_22,0.181024,0.181024
lrf_21,0.167523,0.167523
rsa_12,0.164307,0.164307
lrf_9,-0.160672,0.160672
lrf_8,0.159712,0.159712
rsa_24,-0.157014,0.157014
cnt_center_30,-0.151445,0.151445
cnt_center_4,0.148752,0.148752
cnt_center_-8,0.145365,0.145365
rsa_-29,0.140188,0.140188
rsa_-13,-0.132640,0.132640
c8a_0,-0.131513,0.131513
c8a_-4,-0.131196,0.131196
rsa_-6,0.127826,0.127826
lrf_7,-0.126230,0.126230
cnt_center_16,0.125267,0.125267
lrf_-27,0.117690,0.117690
c8a_-12,0.116050,0.116050
cnt_center_-24,-0.113403,0.113403
c8a_1,-0.111190,0.111190
rsa_10,0.110965,0.110965
c8a_2,0.106576,0.106576
lrf_19,-0.104523,0.104523
cnt_center_25,-0.100575,0.100575
c8a_-18,-0.099960,0.099960
c8a_-21,-0.095854,0.095854
c8a_-28,0.095576,0.095576
cnt_center_-21,0.089762,0.089762
c8a_26,-0.089593,0.089593
cnt_center_-23,-0.089082,0.089082
c8a_13,-0.088963,0.088963
c8a_25,-0.082259,0.082259
rsa_8,-0.082068,0.082068
c8a_14,0.076786,0.076786
c8a_7,0.076742,0.076742
c8a_-22,0.074850,0.074850
cnt_center_22,-0.072650,0.072650
lrf_-22,0.070475,0.070475
rsa_-10,0.069844,0.069844
rsa_20,0.069005,0.069005
c8a_-3,0.069004,0.069004
c8a_-17,0.067928,0.067928
cnt_center_-10,-0.065351,0.065351
c8a_18,-0.064795,0.064795
rsa_-8,-0.061999,0.061999
c8a_20,0.061723,0.061723
c8a_4,0.060856,0.060856
c8a_-2,0.060807,0.060807
c8a_27,0.058758,0.058758
rsa_-15,0.058078,0.058078
c8a_-6,-0.055199,0.055199
c8a_17,0.054195,0.054195
c8a_-1,0.053327,0.053327
c8a_-5,0.052492,0.052492
c8a_-16,0.048683,0.048683
c8a_23,0.044482,0.044482
cnt_center_-9,-0.041714,0.041714
lrf_15,0.041335,0.041335
c8a_-14,-0.040623,0.040623
lrf_12,-0.037872,0.037872
sse_seg_len,0.037278,0.037278
c8a_30,0.036529,0.036529
cnt_center_8,0.035868,0.035868
c8a_-29,0.034847,0.034847
cnt_center_15,-0.033204,0.033204
c8a_29,-0.032818,0.032818
lrf_30,0.032518,0.032518
lrf_-26,-0.029111,0.029111
c8a_15,0.028858,0.028858
c8a_10,-0.027648,0.027648
cnt_center_-17,-0.026595,0.026595
cnt_center_17,0.024134,0.024134
c8a_-26,-0.024132,0.024132
c8a_-10,0.023701,0.023701
c8a_-27,0.023079,0.023079
c8a_11,0.022928,0.022928
c8a_3,0.022647,0.022647
rsa_27,0.021948,0.021948
c8a_19,-0.021705,0.021705
c8a_-23,-0.021252,0.021252
c8a_28,-0.020914,0.020914
c8a_-9,0.020468,0.020468
lrf_-2,-0.020342,0.020342
lrf_24,-0.020329,0.020329
rsa_-30,0.019365,0.019365
c8a_-20,0.018099,0.018099
c8a_5,-0.017685,0.017685
c8a_12,0.015814,0.015814
c8a_9,0.014110,0.014110
c8a_-15,0.013261,0.013261
cnt_center_1,0.012150,0.012150
c8a_24,0.011412,0.011412
c8a_8,0.011313,0.011313
n_sse_transitions_window,-0.010993,0.010993
lrf_-20,-0.010201,0.010201
c8a_16,-0.010048,0.010048
c8a_6,-0.009313,0.009313
c8a_-11,-0.009141,0.009141
c8a_21,-0.007709,0.007709
c8a_22,0.006524,0.006524
c8a_-7,-0.005817,0.005817
n_sse_segments_window,-0.005740,0.005740
c8a_-13,0.003318,0.003318
dist_nterm,-0.003311,0.003311
cnt_center_14,-0.003174,0.003174
c8a_-8,0.001708,0.001708
c8a_-19,-0.001306,0.001306
c8a_-25,0.001148,0.001148
dist_cterm,-0.000659,0.000659
c8a_-24,0.000359,0.000359
c8a_-30,-0.000052,0.000052
cnt_center_0,0.000000,0.000000
