feature,coefficient,abs_coefficient
contact_density_window,-24.319842,24.319842
mean_rsa_contacting,-13.544877,13.544877
frac_buried_flank,-5.757176,5.757176
frac_buried_right,4.760987,4.760987
frac_flank_contacting_center,-2.753748,2.753748
mean_lr_frac_contacting,-2.739104,2.739104
frac_cross_sse_contacts,-1.388102,1.388102
frac_pos,0.593757,0.593757
pos_in_sse,-0.592260,0.592260
burial_asymmetry,-0.568309,0.568309
mean_degree_window,0.368891,0.368891
mean_contacts_contacting,0.275405,0.275405
frac_buried_left,0.127047,0.127047
max_degree_window,0.082587,0.082587
n_sse_segments_contacting,-0.055529,0.055529
sse_seg_len,-0.032846,0.032846
n_sse_transitions_window,-0.028116,0.028116
contact_span,0.012016,0.012016
contact_spread,-0.006634,0.006634
n_sse_segments_window,-0.001306,0.001306
dist_cterm,-0.001071,0.001071
dist_nterm,0.000405,0.000405
n_flank_contacting_center,0.000000,0.000000
