feature,coefficient,abs_coefficient
contact_density_window,-24.927803,24.927803
rsa_0,12.644512,12.644512
mean_rsa_contacting,-7.568498,7.568498
rsa_-1,-5.893102,5.893102
mean_lr_frac_contacting,-5.186402,5.186402
frac_flank_contacting_center,-5.141152,5.141152
rsa_4,-3.805768,3.805768
lrf_-3,3.040479,3.040479
cnt_center_-4,-2.519508,2.519508
rsa_2,2.311545,2.311545
rsa_3,-2.166632,2.166632
rsa_-5,2.165862,2.165862
frac_buried_left,2.121143,2.121143
cnt_center_-3,1.987221,1.987221
lrf_1,1.914075,1.914075
lrf_-14,1.872355,1.872355
frac_pos,1.852693,1.852693
cnt_center_6,-1.842775,1.842775
lrf_25,1.743537,1.743537
burial_asymmetry,-1.732187,1.732187
rsa_-17,1.620339,1.620339
cnt_center_29,1.557236,1.557236
lrf_-15,-1.551560,1.551560
frac_cross_sse_contacts,-1.421111,1.421111
lrf_6,-1.409764,1.409764
lrf_5,1.407738,1.407738
cnt_center_-25,-1.387246,1.387246
rsa_6,-1.373410,1.373410
rsa_-24,1.293241,1.293241
lrf_16,1.271725,1.271725
lrf_-8,1.264485,1.264485
rsa_14,1.263548,1.263548
lrf_-18,1.241926,1.241926
lrf_11,-1.213996,1.213996
lrf_-24,1.184701,1.184701
lrf_-7,1.173482,1.173482
lrf_0,-1.145998,1.145998
lrf_20,-1.104226,1.104226
rsa_-22,1.094581,1.094581
cnt_center_-20,-1.090796,1.090796
rsa_11,-1.063596,1.063596
cnt_center_-27,1.052820,1.052820
lrf_18,1.041257,1.041257
lrf_-19,1.039975,1.039975
cnt_center_13,1.030341,1.030341
rsa_-18,1.024056,1.024056
cnt_center_-28,-1.020012,1.020012
rsa_-2,-1.008150,1.008150
rsa_-14,0.991169,0.991169
rsa_-16,0.975428,0.975428
rsa_30,0.974447,0.974447
rsa_7,-0.972486,0.972486
lrf_-10,-0.957136,0.957136
lrf_3,0.952136,0.952136
lrf_-28,-0.948781,0.948781
rsa_-28,0.937163,0.937163
rsa_-27,0.919637,0.919637
rsa_9,-0.915145,0.915145
lrf_-1,0.895982,0.895982
mean_degree_window,0.865276,0.865276
rsa_-19,0.856476,0.856476
cnt_center_-15,0.855927,0.855927
rsa_-11,-0.854004,0.854004
lrf_26,0.841978,0.841978
lrf_-23,-0.841003,0.841003
rsa_-12,0.826165,0.826165
cnt_center_20,-0.808371,0.808371
bridge_score,0.806100,0.806100
cnt_center_-19,-0.802973,0.802973
lrf_-9,-0.751021,0.751021
cnt_center_-5,-0.750352,0.750352
n_components_without_center,-0.748726,0.748726
