rank,component,mean_frac,median_frac,mean_abs_delta,sign_consistency,recurrence_top10,recurrence_top20
1,mlp_L9,0.521315,0.542664,6.707126,0.880,0.000,0.000
2,mlp_L8,0.264287,0.235372,3.696388,0.880,0.000,0.000
3,mlp_L7,0.136326,0.112580,2.302621,0.820,0.000,0.000
4,mlp_L6,0.077120,0.072088,1.255372,0.760,0.000,0.000
5,attn_L9_H9,0.051829,0.004560,1.800005,0.520,0.720,0.840
6,attn_L9_H8,0.046214,0.037655,0.524664,0.880,0.560,0.700
7,attn_L7_H7,0.041311,0.011995,0.759013,0.580,0.460,0.580
8,attn_L9_H13,0.027426,0.022679,0.324776,0.860,0.300,0.560
9,attn_L9_H1,0.023616,-0.009935,0.842357,0.460,0.500,0.680
10,attn_L8_H11,0.019974,0.019539,0.266002,0.860,0.080,0.460
11,attn_L9_H14,0.019899,0.016743,0.306345,0.780,0.280,0.500
12,attn_L2_H13,0.019303,0.013480,0.203308,1.000,0.040,0.160
13,attn_L7_H0,0.018122,0.007682,0.397140,0.660,0.180,0.340
14,mlp_L5,0.016945,0.023743,0.595201,0.680,0.000,0.000
15,attn_L7_H9,0.015588,0.013142,0.308497,0.700,0.120,0.320
16,attn_L6_H13,0.013597,0.010444,0.159959,0.900,0.040,0.120
17,attn_L6_H19,0.012430,0.009105,0.208001,0.820,0.100,0.100
18,attn_L8_H8,0.011472,0.013022,0.189099,0.780,0.040,0.200
19,mlp_L4,0.011338,0.008859,0.273681,0.620,0.000,0.000
20,attn_L4_H7,0.011317,0.008699,0.119957,1.000,0.000,0.000
21,attn_L1_H9,0.011083,0.008721,0.120035,1.000,0.000,0.000
22,mlp_L3,0.010240,0.006784,0.267410,0.680,0.000,0.000
23,attn_L7_H6,0.010053,0.009711,0.144668,0.880,0.020,0.100
24,attn_L5_H10,0.009872,0.008435,0.110848,1.000,0.000,0.000
25,attn_L5_H8,0.009855,0.008422,0.118016,0.880,0.040,0.060
26,attn_L4_H18,0.009577,0.007824,0.109773,0.980,0.000,0.040
27,attn_L9_H17,0.009019,0.008242,0.205055,0.680,0.020,0.220
28,attn_L5_H9,0.008846,0.001972,0.110409,0.700,0.040,0.060
29,mlp_L2,0.008261,0.006045,0.229213,0.640,0.000,0.000
30,attn_L4_H11,0.007629,0.006598,0.102956,0.820,0.020,0.040
31,attn_L8_H17,0.007581,0.004990,0.092503,0.840,0.020,0.020
32,attn_L2_H1,0.007527,0.006092,0.081284,1.000,0.000,0.000
33,attn_L3_H6,0.007091,0.006712,0.087173,0.960,0.000,0.000
34,attn_L2_H7,0.006551,0.004600,0.068340,0.920,0.000,0.020
35,attn_L7_H13,0.006528,0.002530,0.176115,0.560,0.060,0.220
36,attn_L4_H5,0.006233,0.004201,0.076008,0.920,0.000,0.000
37,attn_L1_H2,0.006129,0.005537,0.067768,1.000,0.000,0.000
38,attn_L2_H17,0.005858,0.005003,0.067458,0.960,0.000,0.000
39,attn_L7_H11,0.005784,0.008787,0.143800,0.820,0.020,0.060
40,attn_L6_H8,0.005723,0.004689,0.133525,0.620,0.020,0.120
41,attn_L5_H14,0.005291,0.004263,0.066267,0.800,0.000,0.000
42,attn_L2_H0,0.004924,0.005355,0.071671,0.880,0.000,0.000
43,attn_L8_H15,0.004698,0.002059,0.166177,0.540,0.020,0.160
44,attn_L2_H11,0.004601,0.003683,0.050630,0.960,0.000,0.000
45,attn_L3_H3,0.004457,0.004099,0.051242,0.940,0.000,0.000
46,attn_L7_H16,0.004400,0.003659,0.093562,0.700,0.020,0.040
47,attn_L8_H3,0.004289,0.010186,0.307770,0.720,0.220,0.440
48,attn_L1_H19,0.004156,0.003132,0.043246,1.000,0.000,0.000
49,attn_L6_H4,0.004135,0.003109,0.082893,0.700,0.000,0.000
50,attn_L6_H3,0.004074,0.003364,0.086561,0.680,0.000,0.040
51,attn_L8_H7,0.004033,0.003729,0.077698,0.640,0.000,0.000
52,attn_L7_H18,0.003985,0.001529,0.126013,0.600,0.020,0.080
53,attn_L2_H4,0.003938,0.003009,0.044439,0.920,0.000,0.000
54,attn_L1_H4,0.003820,0.003111,0.041180,1.000,0.000,0.000
55,attn_L7_H14,0.003753,0.002815,0.123577,0.580,0.000,0.080
56,attn_L2_H8,0.003739,0.003330,0.041817,0.980,0.000,0.000
57,attn_L3_H11,0.003546,0.002552,0.046675,0.860,0.000,0.000
58,attn_L6_H14,0.003539,0.003342,0.064945,0.720,0.000,0.000
59,attn_L4_H15,0.003444,0.002279,0.058796,0.660,0.000,0.000
60,attn_L8_H2,0.003356,0.004557,0.109119,0.680,0.000,0.020
61,attn_L0_H7,0.003328,0.001920,0.032712,0.940,0.000,0.020
62,attn_L4_H8,0.003278,0.003149,0.083126,0.680,0.000,0.020
63,attn_L5_H11,0.002966,0.002765,0.049372,0.760,0.000,0.000
64,attn_L4_H3,0.002945,0.002506,0.060433,0.620,0.000,0.000
65,attn_L5_H19,0.002752,0.001249,0.046344,0.660,0.000,0.000
66,attn_L7_H5,0.002659,0.002251,0.076846,0.660,0.000,0.000
67,attn_L6_H11,0.002646,0.003174,0.106695,0.640,0.000,0.020
68,attn_L1_H3,0.002629,0.002044,0.028898,0.900,0.000,0.000
69,attn_L3_H15,0.002601,0.002129,0.033917,0.740,0.000,0.000
70,attn_L3_H18,0.002590,0.001791,0.045143,0.760,0.020,0.020
71,attn_L5_H0,0.002415,0.001926,0.058209,0.660,0.000,0.000
72,attn_L3_H10,0.002395,0.002119,0.032643,0.860,0.000,0.000
73,attn_L5_H7,0.002285,0.002583,0.047731,0.660,0.000,0.000
74,attn_L9_H11,0.002185,0.007356,0.394751,0.580,0.240,0.600
75,attn_L2_H14,0.001841,0.000885,0.023346,0.700,0.000,0.000
76,attn_L0_H16,0.001836,0.001134,0.018091,1.000,0.000,0.000
77,attn_L7_H19,0.001833,0.001219,0.079712,0.640,0.020,0.020
78,attn_L0_H12,0.001796,0.000840,0.015791,1.000,0.000,0.000
79,attn_L2_H2,0.001779,0.001508,0.027902,0.780,0.000,0.000
80,attn_L6_H18,0.001729,0.000955,0.061472,0.560,0.000,0.020
81,attn_L6_H12,0.001722,0.000971,0.053914,0.560,0.000,0.020
82,attn_L4_H2,0.001705,0.001570,0.046979,0.740,0.000,0.000
83,attn_L2_H3,0.001693,0.001508,0.032023,0.740,0.000,0.000
84,attn_L0_H4,0.001681,0.001284,0.017498,1.000,0.000,0.000
85,attn_L6_H17,0.001643,0.000712,0.097747,0.540,0.020,0.060
86,attn_L2_H18,0.001601,0.001606,0.051010,0.640,0.000,0.000
87,mlp_L1,0.001597,0.001459,0.199516,0.500,0.000,0.000
88,attn_L4_H19,0.001568,0.001244,0.038928,0.580,0.000,0.000
89,attn_L7_H10,0.001476,0.001140,0.100078,0.560,0.000,0.040
90,attn_L2_H16,0.001375,0.001595,0.030900,0.740,0.000,0.000
91,attn_L1_H1,0.001340,0.000978,0.028652,0.700,0.000,0.000
92,attn_L0_H2,0.001321,0.001030,0.013841,1.000,0.000,0.000
93,attn_L6_H1,0.001318,0.001442,0.039459,0.660,0.000,0.000
94,attn_L0_H6,0.001278,0.000861,0.012372,0.940,0.000,0.000
95,attn_L2_H9,0.001006,0.000943,0.031811,0.620,0.000,0.000
96,attn_L9_H15,0.000985,-0.002924,0.331597,0.440,0.120,0.500
97,attn_L8_H19,0.000930,-0.001189,0.142515,0.460,0.020,0.120
98,attn_L0_H0,0.000812,0.000654,0.008349,0.960,0.000,0.000
99,attn_L3_H1,0.000742,0.000194,0.022332,0.540,0.000,0.000
100,attn_L0_H19,0.000665,0.000551,0.007259,1.000,0.000,0.000
101,attn_L5_H4,0.000610,0.000381,0.070662,0.520,0.000,0.020
102,attn_L3_H16,0.000604,-0.000032,0.048130,0.480,0.000,0.000
103,attn_L2_H6,0.000582,-0.000103,0.016920,0.460,0.000,0.000
104,attn_L3_H2,0.000571,0.000704,0.039788,0.560,0.000,0.000
105,attn_L0_H15,0.000404,0.000252,0.004380,0.840,0.000,0.000
106,attn_L1_H15,0.000398,0.000249,0.012000,0.580,0.000,0.000
107,attn_L3_H13,0.000313,0.000835,0.031819,0.600,0.000,0.000
108,attn_L0_H10,0.000222,0.000128,0.003533,0.720,0.000,0.000
109,attn_L1_H8,0.000099,-0.000401,0.020655,0.460,0.000,0.000
110,attn_L8_H5,0.000085,-0.004148,0.198120,0.380,0.080,0.240
111,attn_L1_H7,-0.000004,0.000062,0.019133,0.540,0.000,0.000
112,attn_L5_H15,-0.000090,0.000334,0.060645,0.520,0.020,0.020
113,attn_L5_H17,-0.000245,-0.000192,0.044263,0.480,0.000,0.000
114,attn_L2_H12,-0.000299,-0.000456,0.032295,0.440,0.000,0.000
115,attn_L5_H1,-0.000377,-0.000204,0.035595,0.480,0.000,0.000
116,attn_L3_H0,-0.000411,-0.000333,0.031942,0.460,0.000,0.000
117,attn_L0_H5,-0.000485,-0.000333,0.004873,0.020,0.000,0.000
118,attn_L4_H17,-0.000550,-0.000286,0.067739,0.480,0.000,0.020
119,attn_L0_H14,-0.000556,-0.000357,0.005613,0.020,0.000,0.000
120,attn_L2_H5,-0.000585,-0.000660,0.038693,0.480,0.000,0.000
121,attn_L4_H12,-0.000650,-0.001019,0.023567,0.320,0.000,0.000
122,attn_L9_H0,-0.000774,0.005044,0.286548,0.580,0.120,0.320
123,attn_L4_H16,-0.000779,-0.001430,0.057393,0.360,0.000,0.000
124,attn_L0_H17,-0.000855,-0.000703,0.009720,0.100,0.000,0.000
125,attn_L7_H3,-0.000909,-0.001941,0.127919,0.440,0.060,0.060
126,attn_L5_H13,-0.001053,-0.000626,0.041702,0.380,0.000,0.000
127,attn_L4_H0,-0.001096,-0.000780,0.032186,0.360,0.000,0.000
128,attn_L3_H8,-0.001106,-0.000262,0.050991,0.480,0.000,0.000
129,attn_L0_H8,-0.001120,-0.000990,0.012418,0.040,0.000,0.000
130,attn_L1_H16,-0.001212,-0.000803,0.025000,0.380,0.000,0.000
131,attn_L0_H3,-0.001249,-0.000877,0.016945,0.280,0.000,0.000
132,attn_L1_H6,-0.001258,-0.001013,0.028204,0.300,0.000,0.000
133,attn_L6_H9,-0.001324,-0.001783,0.084676,0.400,0.000,0.020
134,attn_L2_H19,-0.001338,-0.001224,0.023127,0.200,0.000,0.000
135,attn_L9_H16,-0.001353,-0.002672,0.176856,0.400,0.000,0.160
136,attn_L4_H9,-0.001462,-0.000650,0.063082,0.480,0.000,0.000
137,attn_L0_H13,-0.001467,-0.000924,0.014317,0.000,0.000,0.000
138,attn_L3_H5,-0.001481,-0.001535,0.028974,0.260,0.000,0.000
139,attn_L1_H10,-0.001496,-0.001247,0.017293,0.160,0.000,0.000
140,attn_L9_H7,-0.001522,-0.000388,0.176698,0.460,0.040,0.220
141,attn_L6_H10,-0.001564,-0.003364,0.126374,0.360,0.020,0.060
142,attn_L9_H19,-0.001575,0.001604,0.174601,0.540,0.020,0.180
143,attn_L1_H11,-0.001648,-0.000708,0.021686,0.320,0.000,0.000
144,attn_L5_H5,-0.001736,-0.001283,0.070528,0.420,0.000,0.000
145,attn_L0_H1,-0.001846,-0.001377,0.019460,0.000,0.000,0.000
146,attn_L0_H18,-0.001977,-0.001580,0.020791,0.000,0.000,0.000
147,attn_L9_H18,-0.002067,-0.003559,0.190443,0.440,0.060,0.180
148,attn_L0_H11,-0.002212,-0.001677,0.023245,0.020,0.000,0.000
149,attn_L5_H2,-0.002247,-0.002998,0.081648,0.340,0.000,0.000
150,attn_L5_H12,-0.002314,-0.001586,0.047279,0.400,0.000,0.000
151,attn_L3_H19,-0.002436,-0.003738,0.060880,0.300,0.000,0.000
152,embed,-0.002444,-0.003319,0.044493,0.280,0.000,0.000
153,attn_L1_H13,-0.002673,-0.001189,0.038135,0.400,0.000,0.020
154,attn_L4_H4,-0.002753,-0.003100,0.041626,0.220,0.000,0.000
155,attn_L7_H2,-0.002894,-0.002251,0.121541,0.420,0.000,0.080
156,attn_L5_H18,-0.003075,-0.003109,0.063917,0.300,0.000,0.020
157,attn_L1_H5,-0.003082,-0.002410,0.038881,0.180,0.000,0.000
158,attn_L4_H6,-0.003097,-0.002353,0.052205,0.320,0.000,0.000
159,attn_L8_H10,-0.003335,-0.000646,0.091718,0.460,0.000,0.020
160,attn_L5_H3,-0.003697,-0.005036,0.131330,0.340,0.020,0.060
161,attn_L4_H13,-0.003740,-0.003820,0.059256,0.120,0.000,0.000
162,mlp_L0,-0.003917,-0.000157,0.108010,0.480,0.000,0.000
163,attn_L6_H0,-0.003973,-0.004570,0.089399,0.280,0.000,0.000
164,attn_L0_H9,-0.004115,-0.003373,0.048871,0.120,0.000,0.000
165,attn_L8_H0,-0.004462,-0.000467,0.188471,0.440,0.100,0.220
166,attn_L5_H16,-0.004521,-0.002983,0.057054,0.200,0.000,0.020
167,attn_L1_H12,-0.004743,-0.004225,0.049665,0.000,0.000,0.020
168,attn_L5_H6,-0.004770,-0.002915,0.094831,0.420,0.000,0.000
169,attn_L4_H1,-0.004806,-0.003986,0.065593,0.160,0.000,0.000
