protein,pre_ln_delta,post_ln_delta,ratio
2II1A,13.481943,1.323206,0.0981
3RHBA,13.421721,1.484421,0.1106
4MZCA,8.511953,0.969082,0.1138
1H4XA,23.415176,1.911433,0.0816
2GK4A,8.837372,1.311590,0.1484
4GS1A,7.685792,1.112951,0.1448
1F86A,11.794584,1.493623,0.1266
1U2KA,14.548793,1.571557,0.1080
3BZMA,2.861898,0.439785,0.1537
3N08A,9.760583,1.163494,0.1192
2O2KA,6.046566,0.996597,0.1648
2D59A,9.276455,1.091510,0.1177
1T2WA,4.657506,0.791955,0.1700
3R6DA,13.633506,1.559730,0.1144
4LH6A,16.253441,1.896899,0.1167
2D5MA,12.110525,1.370774,0.1132
3G5TA,20.150247,1.993382,0.0989
2DYIA,10.020927,1.287074,0.1284
1KMVA,17.568882,1.665255,0.0948
4PEDA,25.386813,1.552363,0.0611
3FF9A,5.850074,0.632905,0.1082
3ZSJA,12.905696,1.098226,0.0851
2D2EA,16.122694,1.791262,0.1111
3C8MA,19.702620,1.743855,0.0885
3EYEA,14.423822,1.533035,0.1063
2YC3A,10.457750,1.289931,0.1233
2OZEA,9.758974,1.422935,0.1458
4K8WA,8.802096,0.992518,0.1128
3LWXA,6.525029,1.007250,0.1544
1G3QA,15.415425,1.565715,0.1016
3NY7A,10.847272,1.562488,0.1440
1S3CA,6.537795,0.759404,0.1162
2CZQA,14.677930,1.105782,0.0753
3JRNA,16.506418,1.227630,0.0744
4TL6A,14.732077,1.034975,0.0703
4RVCA,11.669590,1.285322,0.1101
3FZ4A,8.667265,0.964561,0.1113
4LBHA,8.731094,0.991913,0.1136
3GX8A,9.737876,1.002673,0.1030
4I8HA,6.510059,0.971886,0.1493
2PJZA,13.397141,1.494303,0.1115
5AJGA,15.673921,1.647352,0.1051
2WAWA,17.367724,1.883625,0.1085
4MUOA,20.562548,1.919196,0.0933
3L51A,9.342970,1.225943,0.1312
1HDKA,11.241987,1.427993,0.1270
4WBJA,11.458862,1.071012,0.0935
1CUKA,12.896493,1.631715,0.1265
3PU9A,14.779239,1.428888,0.0967
4XRAA,21.072178,1.474601,0.0700
