protein,mode,alpha,segment_metric,delta_from_baseline,n_active_heads,active_head_labels
2B61A,k_only,0.0,1.0,0.0,2,"['L11H16', 'L15H2']"
2B61A,k_only,0.5,0.9998714923858643,-0.0001285076141357422,2,"['L11H16', 'L15H2']"
2B61A,k_only,1.0,0.999779462814331,-0.0002205371856689453,2,"['L11H16', 'L15H2']"
2B61A,k_only,2.0,0.9997226595878601,-0.0002773404121398926,2,"['L11H16', 'L15H2']"
2B61A,k_only,4.0,1.0002832412719727,0.00028324127197265625,2,"['L11H16', 'L15H2']"
2B61A,k_only,8.0,1.006321907043457,0.006321907043457031,2,"['L11H16', 'L15H2']"
2B61A,k_only,12.0,1.0157999992370605,0.015799999237060547,2,"['L11H16', 'L15H2']"
2B61A,v_only,0.0,1.0,0.0,2,"['L11H16', 'L15H2']"
2B61A,v_only,0.5,0.9997873306274414,-0.00021266937255859375,2,"['L11H16', 'L15H2']"
2B61A,v_only,1.0,0.9995417594909668,-0.0004582405090332031,2,"['L11H16', 'L15H2']"
2B61A,v_only,2.0,0.9989506602287292,-0.001049339771270752,2,"['L11H16', 'L15H2']"
2B61A,v_only,4.0,0.9973481297492981,-0.0026518702507019043,2,"['L11H16', 'L15H2']"
2B61A,v_only,8.0,0.9919882416725159,-0.00801175832748413,2,"['L11H16', 'L15H2']"
2B61A,v_only,12.0,0.9820489883422852,-0.017951011657714844,2,"['L11H16', 'L15H2']"
2B61A,ln_all,0.0,1.0,0.0,2,"['L11H16', 'L15H2']"
2B61A,ln_all,0.5,0.9987874627113342,-0.0012125372886657715,2,"['L11H16', 'L15H2']"
2B61A,ln_all,1.0,0.997990608215332,-0.0020093917846679688,2,"['L11H16', 'L15H2']"
2B61A,ln_all,2.0,1.000098705291748,9.870529174804688e-05,2,"['L11H16', 'L15H2']"
2B61A,ln_all,4.0,1.0149822235107422,0.014982223510742188,2,"['L11H16', 'L15H2']"
2B61A,ln_all,8.0,0.8592351078987122,-0.14076489210128784,2,"['L11H16', 'L15H2']"
2B61A,ln_all,12.0,0.15313109755516052,-0.8468689024448395,2,"['L11H16', 'L15H2']"
