protein,seq_len,n_long_range_contacts,anchor_positions,n_anchors_steered,steering_mode,alpha,P_L5,P_L2,P_L,kl_div,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1A8LA,226,355,[137],1,direct,0.0,0.9777777777777777,0.8495575221238938,0.6902654867256637,0.0,0.9061628580093384,0.5695821642875671,0.5695821642875671,2.0255627632141113,0.2590174435839938
1A8LA,226,355,[137],1,direct,0.5,0.9777777777777777,0.8495575221238938,0.6858407079646017,0.0010272987419739366,0.7742295861244202,0.16000428795814514,0.48421740531921387,2.8000283241271973,0.35805169390425756
1A8LA,226,355,[137],1,direct,1.0,0.9777777777777777,0.8584070796460177,0.6858407079646017,0.002668287605047226,0.7970188856124878,0.02346712164580822,0.5517398715019226,2.7204627990722656,0.3478773071750875
1A8LA,226,355,[137],1,direct,2.0,0.9777777777777777,0.8761061946902655,0.6902654867256637,0.005117886699736118,0.8186353445053101,0.0006811539642512798,0.5627226233482361,2.6344003677368164,0.3368721330289361
1A8LA,226,355,[137],1,direct,4.0,0.9777777777777777,0.8761061946902655,0.6946902654867256,0.008600418455898762,0.8188738822937012,1.5439214621437714e-05,0.5628777146339417,2.628082275390625,0.3360642113206789
1A8LA,226,355,[137],1,direct,8.0,0.9777777777777777,0.8849557522123894,0.6991150442477876,0.01051963772624731,0.8188740015029907,2.5660368052626836e-08,0.5624427199363708,2.6281840801239014,0.3360772295308459
1A8LA,226,355,[137],1,direct,16.0,0.9333333333333333,0.8407079646017699,0.6415929203539823,0.06030268222093582,0.8188740015029907,7.185209729716063e-14,0.5615871548652649,2.6295478343963623,0.3362516186693829
1A8LA,226,355,[137],1,direct,32.0,0.4666666666666667,0.37168141592920356,0.2920353982300885,0.6015902757644653,0.8188740015029907,5.6337048818611555e-25,0.5609135031700134,2.6307358741760254,0.3364035384381469
1ATGA,231,445,[160],1,direct,0.0,0.9565217391304348,0.8434782608695652,0.7445887445887446,0.0,0.7938668727874756,0.5175890922546387,0.5175890922546387,2.67392635345459,0.34055168337019964
1ATGA,231,445,[160],1,direct,0.5,0.9565217391304348,0.8521739130434782,0.7445887445887446,0.00021978824224788696,0.6145305633544922,0.1305168718099594,0.4082872271537781,3.689703941345215,0.46992127765201464
1ATGA,231,445,[160],1,direct,1.0,0.9565217391304348,0.8521739130434782,0.7489177489177489,0.0005421532550826669,0.6539955139160156,0.021362271159887314,0.4574401080608368,3.6922688484191895,0.4702479446227043
1ATGA,231,445,[160],1,direct,2.0,0.9565217391304348,0.8521739130434782,0.7619047619047619,0.0011297514429315925,0.6629613637924194,0.0005300744087435305,0.46701449155807495,3.624337911605835,0.46159624976401287
