protein,n_res,anchor_idx,n_active,clean_M_score,clean_M_attn,clean_score_rank,clean_attn_rank,ie_gap,ie_mass_anchor,ie_mass_near,full_M_score_frac,lat_M_score_frac,err_M_score_frac,k_50,k_80,k_90
3R6DA,221,151,28544,8.415263,0.979918,1,1,0.00000000,0.3338,0.3617,1.0000,0.7232,0.4044,1,,
2WAWA,199,100,25728,7.858204,0.972028,1,1,0.00000000,0.2679,0.3150,1.0000,1.0626,-0.0239,50,,
1H4XA,117,46,15232,8.690087,0.991713,1,1,0.00000000,0.4298,0.4832,1.0000,0.9807,0.2079,,,
2D2EA,250,166,32256,9.528190,0.882388,1,1,0.00000000,0.2719,0.3143,1.0000,0.9015,-1.0597,,,
1CUKA,203,81,26240,8.067668,0.912833,1,1,0.00000000,0.3863,0.4153,1.0000,0.8844,-0.6057,,,
2A61A,145,93,18816,7.656748,0.667730,1,1,0.00000000,0.3174,0.3711,1.0000,0.2490,0.1199,100,,
4Q27A,136,88,17664,6.964226,0.981694,1,1,0.00000000,0.4291,0.4794,1.0000,0.5569,-0.3125,500,,
4TL6A,253,142,32640,9.063194,0.980950,1,1,0.00000000,0.3169,0.3407,1.0000,0.7391,0.0466,50,,
1WKCA,184,106,23808,7.221395,0.969005,1,1,0.00000000,0.3472,0.3897,1.0000,0.8818,-0.1315,,,
2DBYA,368,304,47360,10.472599,0.954534,1,1,0.00000000,0.3078,0.3281,1.0000,0.6055,-0.4134,,,
3ME7A,170,32,22016,7.100499,0.954041,1,1,0.00000000,0.3385,0.3872,1.0000,0.9336,-0.0891,50,,
5AUNB,248,129,32000,8.692801,0.958097,1,1,0.00000000,0.3151,0.3507,1.0000,0.5080,-0.3503,,,
1KMVA,186,111,24064,8.403367,0.992775,1,1,0.00000095,0.4075,0.4496,1.0000,0.6979,-0.2176,,,
3WNZA,470,324,60416,8.475445,0.919672,1,1,0.00000095,0.4095,0.4562,1.0000,0.5269,-1.5825,,,
3VPBA,282,248,36352,7.654274,0.836398,1,1,0.00000000,0.3513,0.4101,1.0000,0.2091,-1.7039,,,
1G3QA,237,115,30592,8.625228,0.959461,1,1,0.00000000,0.3524,0.3826,1.0000,0.6230,-0.2074,20,,
4XRAA,186,34,24064,7.863447,0.978771,1,1,0.00000000,0.3291,0.3704,1.0000,0.9831,0.0607,,,
4MZCA,111,22,14464,7.291604,0.974865,1,1,0.00000000,0.3774,0.4558,1.0000,0.7457,0.1087,,,
2YC3A,228,102,29440,8.251745,0.972610,1,1,0.00000000,0.3326,0.3769,1.0000,0.8215,0.0670,20,,
4WBJA,164,34,21248,7.253805,0.966965,1,1,0.00000143,0.3714,0.4268,1.0000,0.9729,0.4577,,,
5HEEA,262,168,33792,7.506128,0.953873,1,1,0.00000095,0.3363,0.3653,1.0000,0.5951,-0.7836,,,
2XWLA,223,97,28800,7.909867,0.961434,1,1,0.00000000,0.3273,0.3656,1.0000,0.9656,-0.0777,50,,
2A35A,215,146,27776,7.201244,0.805872,1,1,0.00000095,0.3104,0.3429,1.0000,0.7611,-0.1094,20,,
4XABA,252,128,32512,7.948829,0.928268,1,1,0.00000095,0.3646,0.4060,1.0000,0.6546,-0.0991,,,
2OMKA,231,124,29824,7.458869,0.960016,1,1,0.00000000,0.3317,0.3698,1.0000,0.6872,-1.0355,,,
4L9NA,145,93,18816,7.243626,0.715774,1,1,0.00000000,0.2957,0.3461,1.0000,0.1637,0.1739,,,
3UJCA,266,123,34304,8.149397,0.962833,1,1,0.00000000,0.2578,0.2881,1.0000,0.6029,-0.4015,50,,
1YM3A,215,106,27776,7.482026,0.931506,1,1,0.00000000,0.4110,0.4400,1.0000,0.6424,0.4350,2,,
