protein,C0,C7,C7_sub,C8,C8_sub
1JX6A,0.0,-0.935988696074966,0.01499115180337951,-0.7806809608822227,-0.14736814924646882
1YKIA,-2.897073898333602e-06,-0.9495343499878037,-0.8908376143536809,-0.8759743052460595,-0.6400870139707352
2FVYA,-1.0330136799296952e-06,-0.8623732267646479,-0.8152323660971736,-0.8786168655337769,-0.4858206406783405
2FWMX,-8.403984230742623e-08,-1.0147611780974017,-1.0749763974102955,-1.0209638153432885,-0.4944330340807612
2OB0A,-9.77411494074154e-07,-0.8107817904780121,-0.804142859178236,-0.9219581518731301,-0.7109832885566092
2PGWA,-1.419441128780452e-05,-1.1050250783033189,-1.0732072483710906,-1.0292867115797302,-0.6226371105886583
2Q7WA,6.622517084720059e-06,-1.1439339658448868,-0.4297163033364959,-0.9431502901859323,-0.40567326752758853
3G0TA,9.60287666684767e-06,-0.6860098695784095,-0.6266297352672504,-0.7098117135122964,-0.6156805895097045
3G7QA,6.650203533409282e-07,-1.097733469318912,-0.335457796270516,-0.6562137143074225,-0.18154119942405914
3H75A,-1.8058852169211548e-07,-0.5913291233935183,-0.06178583447382502,-0.6943896060278553,-0.05140906677179321
3H7AA,-9.92702807067758e-07,-1.0137416540579622,-0.9783332271692831,-0.934084427615834,-0.6290187081048393
3I6EA,-1.3510979021136293e-06,-0.789953791450933,-0.8111037028689513,-0.7810176424362437,-0.5566613433200819
3LY1A,-6.60731921064972e-06,-0.9664391785969538,-0.5705866561498739,-0.9278379676725699,-0.7455766284569473
4DQ6A,-1.2540140092998087e-06,-0.6908546531837947,-0.7551828578148039,-0.7483471042881762,-0.5233107704638784
4KEMA,4.363433638965297e-06,-1.15634122838186,-1.2884505130585162,-1.1197710204779363,-1.1038169312219335
4O5OA,-4.297055717028542e-06,-0.5192849946048551,-0.5693059545843331,-0.49756362037950047,-0.5630359015468592
4O6VA,1.1433146553940787e-06,-0.8263578617337322,0.019903556508898523,-0.7535912919500521,-0.4042854291570389
4QLXA,-7.733878945037631e-07,-0.9634982396832203,-0.9048668440875784,-0.9202536352453488,-0.505213808454161
4RY0A,3.827129376521299e-06,-0.7567663872502022,-0.7428693375707309,-0.7809364646770817,-0.6475698177302619
4WBTA,1.5236879701285844e-06,-1.1796520658520016,-1.110996579320507,-1.107120284353786,-0.7345666718240518
5HKOA,-9.554361144470391e-07,-0.9103366554064177,-0.1391985298096502,-0.8855487783400265,-0.21702397263040335
