chain_key,hdbscan_R_AA,hdbscan_R_3Di,hdbscan_R_K,hdbscan_R_Q,hdbscan_R_LN10,hdbscan_R_LN10_rand,hdbscan_R_LN10_mean
6won_G,0,0,3,3,1,-1,4
2foi_A,-1,0,3,3,1,-1,4
2ag5_A,0,0,3,3,1,-1,4
3ged_B,0,0,3,3,1,-1,4
3u4c_A,0,0,3,3,1,-1,4
3oig_A,0,0,3,3,1,-1,4
5ovk_A,0,0,3,3,1,-1,4
1w6u_A,0,0,3,3,1,-1,4
5k9z_B,0,0,3,3,1,-1,4
1vl8_B,0,0,3,3,1,-1,4
1xg5_C,0,0,3,3,1,-1,4
4dry_C,0,0,3,3,1,-1,4
4fd3_D,0,0,3,3,1,-1,4
2rhc_B,0,0,3,3,1,-1,4
2yut_A,0,0,3,3,1,-1,-1
1fmc_B,0,0,3,3,1,-1,4
1bdb_A,0,0,3,3,1,-1,4
3rd5_A,0,0,3,3,1,-1,4
1mg5_B,0,0,3,3,1,-1,4
1sny_A,1,0,3,-1,2,-1,4
4qtz_A,0,0,3,3,1,-1,3
2z1m_A,-1,0,3,3,1,-1,3
5zec_A,0,0,3,3,1,-1,3
1fxs_A,1,0,3,3,1,-1,3
3gpi_A,1,0,3,-1,1,-1,3
3sxp_D,0,0,3,3,1,-1,3
6yj4_P,-1,0,3,-1,1,-1,3
2hrz_A,0,0,3,3,1,-1,3
2x4g_A,1,0,3,-1,1,-1,3
4idg_B,0,0,3,3,1,-1,3
3ip1_B,0,0,4,2,2,-1,5
4rvu_A,0,0,4,2,2,-1,5
7cyi_D,0,0,4,2,2,-1,5
4jbi_M,1,1,1,-1,-1,-1,5
3gaz_B,0,0,4,2,2,-1,5
1zsy_A,0,0,4,2,2,-1,5
4gi2_B,0,0,4,2,2,-1,5
1q1n_A,1,1,1,-1,-1,-1,5
2zb8_A,0,0,4,2,2,-1,5
4eye_A,0,0,4,2,2,-1,5
3gfb_A,0,0,4,2,2,-1,5
2j8z_A,0,0,4,2,2,-1,5
4gi2_A,0,0,4,2,2,-1,5
3m6i_B,0,0,4,2,2,-1,5
1yb5_A,-1,0,4,2,2,-1,5
5a4d_G,1,1,1,-1,-1,-1,5
1ps0_A,1,1,1,-1,-1,-1,5
4a27_A,0,0,4,2,2,-1,5
4ilk_A,1,1,1,-1,-1,-1,5
4dvj_B,1,1,1,-1,-1,-1,5
3euw_D,0,0,-1,3,-1,-1,2
3hnp_B,0,0,-1,3,-1,-1,2
3kux_A,0,0,-1,3,-1,-1,2
3wbf_B,-1,0,-1,3,-1,-1,2
4ew6_A,0,0,-1,3,-1,-1,2
3oqb_H,-1,0,-1,3,-1,-1,2
3ezy_A,-1,-1,-1,-1,-1,-1,2
2p2s_B,-1,-1,-1,-1,-1,-1,2
3oa2_B,0,0,-1,3,-1,-1,2
1gcu_A,0,0,-1,3,-1,-1,2
5a62_A,0,0,1,4,4,-1,1
4nvr_A,0,0,1,4,4,-1,1
2xt0_A,0,0,1,4,4,-1,1
1u2e_A,0,0,1,4,4,-1,1
4y7d_A,0,0,1,4,4,-1,1
