component,protein,clean_score,corrupt_score,delta_d_proj,frac_of_total
embed,1CUKA,0.025943,0.038009,-0.012066,-0.000936
embed,1F86A,0.143982,0.187613,-0.043631,-0.003699
embed,1G3QA,0.210043,0.307737,-0.097694,-0.006337
embed,1H4XA,0.029378,0.043042,-0.013664,-0.000584
embed,1HDKA,0.184128,0.239924,-0.055796,-0.004963
embed,1KMVA,0.157910,0.231356,-0.073446,-0.004180
embed,1S3CA,-0.033641,-0.047658,0.014017,0.002144
embed,1T2WA,-0.031253,-0.045789,0.014536,0.003121
embed,1U2KA,0.149811,0.222009,-0.072198,-0.004962
embed,2CZQA,0.138084,0.181920,-0.043836,-0.002987
embed,2D2EA,0.168102,0.221468,-0.053366,-0.003310
embed,2D59A,0.179670,0.234116,-0.054446,-0.005869
embed,2D5MA,0.168738,0.247220,-0.078483,-0.006481
embed,2DYIA,0.137751,0.201821,-0.064070,-0.006394
embed,2GK4A,0.156095,0.205649,-0.049554,-0.005607
embed,2II1A,0.130356,0.193178,-0.062822,-0.004660
embed,2O2KA,0.052917,0.110475,-0.057558,-0.009519
embed,2OZEA,-0.057821,-0.076176,0.018356,0.001881
embed,2PJZA,0.176774,0.232893,-0.056119,-0.004189
embed,2WAWA,0.134082,0.176647,-0.042566,-0.002451
embed,2YC3A,-0.058402,-0.085566,0.027164,0.002597
embed,3BZMA,0.187296,0.221981,-0.034684,-0.012119
embed,3C8MA,0.143262,0.212304,-0.069042,-0.003504
embed,3EYEA,0.132569,0.184557,-0.051988,-0.003604
embed,3FF9A,-0.163451,-0.212981,0.049530,0.008467
embed,3FZ4A,0.082485,0.110929,-0.028443,-0.003282
embed,3G5TA,-0.039147,-0.058013,0.018866,0.000936
embed,3GX8A,0.206368,0.252227,-0.045859,-0.004709
embed,3JRNA,0.149510,0.219050,-0.069540,-0.004213
embed,3L51A,0.136911,0.200591,-0.063680,-0.006816
embed,3LWXA,-0.038740,-0.051038,0.012298,0.001885
embed,3N08A,0.095048,0.123851,-0.028803,-0.002951
embed,3NY7A,0.105461,0.154513,-0.049052,-0.004522
embed,3PU9A,0.017215,0.023438,-0.006222,-0.000421
embed,3R6DA,0.195982,0.287136,-0.091154,-0.006686
