protein,anchor_pos,alpha_full,r50_first_crossing,jump_from_r,jump_to_r,jump_delta,selected_radius,selection_method,jump_threshold,alpha_norm_at_max_r
2II1A,166,1.6576892137527466,0,40,41,0.15371777266956257,41,argmax_delta_fallback,0.4,0.9531820932487781
3RHBA,22,1.5942492485046387,15,13,14,0.4498353538915524,14,first_delta_ge_threshold,0.4,1.000039032321454
4MZCA,22,1.5853016376495361,0,14,15,0.45685629982808557,15,first_delta_ge_threshold,0.4,0.9957647772218076
1H4XA,46,1.7232520580291748,21,20,21,0.6677018994463493,21,first_delta_ge_threshold,0.4,1.0
2GK4A,87,1.8327683210372925,0,31,32,0.14559665331924063,32,argmax_delta_fallback,0.4,0.9780130899630066
4GS1A,341,1.282433271408081,0,5,6,0.02824719297479139,6,argmax_delta_fallback,0.4,-0.07330384008670894
1F86A,61,1.7195991277694702,19,18,19,0.41844795540644136,19,first_delta_ge_threshold,0.4,1.0
1U2KA,187,1.4458932876586914,0,45,46,0.21401955242594795,46,argmax_delta_fallback,0.4,0.8985583515650714
3BZMA,385,1.2596503496170044,0,63,64,0.233453493295408,64,argmax_delta_fallback,0.4,0.7254866295696685
3N08A,111,1.5312319993972778,0,19,20,0.43987816570071947,20,first_delta_ge_threshold,0.4,0.9872730082472388
2O2KA,306,1.0034013986587524,0,46,47,0.05400996609181194,47,argmax_delta_fallback,0.4,-0.27030371714101026
2D59A,80,1.6569877862930298,0,19,20,0.4756038225240454,20,first_delta_ge_threshold,0.4,1.0
1T2WA,93,1.6067911386489868,0,18,19,0.12703617751650542,19,argmax_delta_fallback,0.4,0.9998527310525516
3R6DA,151,1.7146536111831665,0,25,26,0.5378485829339711,26,first_delta_ge_threshold,0.4,1.0264587542566834
4LH6A,127,1.5492414236068726,0,45,46,0.324602902174588,46,argmax_delta_fallback,0.4,0.9638905233688051
2D5MA,119,1.3946595191955566,0,26,27,0.22492938010053976,27,argmax_delta_fallback,0.4,0.9911206289085832
3G5TA,116,1.7548537254333496,0,43,44,0.3576393200632032,44,argmax_delta_fallback,0.4,0.9348819152246008
2DYIA,108,1.0865156650543213,0,27,28,0.31450561389210907,28,argmax_delta_fallback,0.4,0.9946963876979104
1KMVA,111,1.7028900384902954,0,22,23,0.7586106796719355,23,first_delta_ge_threshold,0.4,0.993556682357153
4PEDA,89,1.715527892112732,0,47,48,0.4863055386911067,48,first_delta_ge_threshold,0.4,1.016431852621217
