step,kept,dropped,detail
assembly_collapse,6eb3-assembly4cifgz,6eb3-assembly1cifgz;6eb3-assembly3cifgz,pdb=6eb3
assembly_collapse,7ots-assembly1cifgz,7ots-assembly2cifgz,pdb=7ots
assembly_collapse,7dq9-assembly4cifgz,7dq9-assembly3cifgz,pdb=7dq9
assembly_collapse,8b5o-assembly2cifgz,8b5o-assembly4cifgz,pdb=8b5o
assembly_collapse,5xo6-assembly3cifgz,5xo6-assembly4cifgz,pdb=5xo6
assembly_collapse,5xwz-assembly2cifgz,5xwz-assembly1cifgz,pdb=5xwz
assembly_collapse,8hgw-assembly1cifgz,8hgw-assembly2cifgz,pdb=8hgw
identity_dedup,6hgv-assembly1cifgz,7a7g-assembly1cifgz;7p4k-assembly1cifgz,threshold=0.9
identity_dedup,6kxh-assembly2cifgz_CAlp1U,6kxr-assembly2cifgz;7clz-assembly2cifgz,threshold=0.9
identity_dedup,7jqx-assembly1cifgz,7jqy-assembly1cifgz,threshold=0.9
identity_dedup,3pi6-assembly2cifgz,4dmc-assembly2cifgz;4dln-assembly1cifgz;4dmk-assembly1cifgz;3kd2-assembly2cifgz;4dmf-assembly1cifgz,threshold=0.9
identity_dedup,4inz-assembly2cifgz,4o08-assembly2cifgz;4io0-assembly2cifgz,threshold=0.9
identity_dedup,3r3z-assembly1cifgz,5k3b-assembly1cifgz;6qkt-assembly1cifgz;3r41-assembly1cifgz;5t4t-assembly1cifgz;5k3f-assembly1cifgz;5k3d-assembly1cifgz;5swn-assembly1cifgz;6qkw-assembly1cifgz;3r3v-assembly1cifgz;3r3w-assembly1cifgz;5k3e-assembly1cifgz;5k3c-assembly1cifgz;5o2g-assembly1cifgz;6qi1-assembly1cifgz;3r3x-assembly1cifgz;3r40-assembly1cifgz,threshold=0.9
identity_dedup,4b9a-assembly1cifgz,4baz-assembly1cifgz,threshold=0.9
identity_dedup,3bf7-assembly2cifgz,3bf8-assembly2cifgz,threshold=0.9
identity_dedup,8ckp-assembly1cifgz,8ooh-assembly1cifgz,threshold=0.9
identity_dedup,6jra-assembly1cifgz,5c7y-assembly1cifgz;6jqz-assembly1cifgz,threshold=0.9
identity_dedup,3wi7-assembly2cifgz,3wib-assembly1cifgz,threshold=0.9
identity_dedup,1m33-assembly1cifgz,4etw-assembly2cifgz,threshold=0.9
identity_dedup,5z9g-assembly1cifgz,5z9h-assembly1cifgz_ACrystalstructureofKAI2,threshold=0.9
identity_dedup,5cbk-assembly1cifgz,8dvc-assembly5cifgz,threshold=0.9
identity_dedup,5z89-assembly1cifgz,7c8l-assembly1cifgz,threshold=0.9
identity_dedup,6uh8-assembly1cifgz,4dnq-assembly4cifgz;4dnp-assembly1cifgz;6uh9-assembly2cifgz;6o5j-assembly2cifgz,threshold=0.9
identity_dedup,4ih4-assembly4cifgz,5hzg-assembly2cifgz,threshold=0.9
identity_dedup,7f5w-assembly2cifgz,5zhs-assembly1cifgz,threshold=0.9
identity_dedup,6atx-assembly1cifgz,6azb-assembly2cifgz;6azc-assembly2cifgz,threshold=0.9
identity_dedup,3e3a-assembly1cifgz,7ld8-assembly1cifgz,threshold=0.9
identity_dedup,5ie4-assembly1cifgz,5ie7-assembly1cifgz;3wzl-assembly2cifgz,threshold=0.9
identity_dedup,5xo7-assembly1cifgz,5xo6-assembly3cifgz;5z7j-assembly1cifgz,threshold=0.9
identity_dedup,6l4h-assembly1cifgz,6l4b-assembly3cifgz;6l4g-assembly1cifgz,threshold=0.9
identity_dedup,2xmr-assembly3cifgz,2xms-assembly1cifgz;2qmq-assembly1cifgz;2xmq-assembly3cifgz,threshold=0.9
identity_dedup,2og1-assembly1cifgz,2puh-assembly1cifgz;3v1l-assembly1cifgz;3v1k-assembly1cifgz;2pu7-assembly1cifgz,threshold=0.9
identity_dedup,5jz9-assembly1cifgz,2wue-assembly1cifgz,threshold=0.9
identity_dedup,1iun-assembly1cifgz,2d0d-assembly1cifgz,threshold=0.9
identity_dedup,2ock-assembly1cifgz,2oci-assembly1cifgz;2ocl-assembly1cifgz,threshold=0.9
identity_dedup,4lxh-assembly1cifgz,4lxg-assembly1cifgz;4lyd-assembly1cifgz,threshold=0.9
