context,source,target,is_self,anchor_pos,anchor_rank,anchor_percentile,n_residues,top_1_hit,top_k_hit
masked,1BRTA,1BRTA,True,220,1,0.9964,277,1,1
masked,1BRTA,1PVGA,False,101,1,0.9976,418,1,1
masked,1BRTA,2B61A,False,315,1,0.9973,377,1,1
masked,1BRTA,2DPMA,False,39,2,0.993,284,0,1
masked,1BRTA,2PKEA,False,131,4,0.9841,251,0,0
masked,1BRTA,2QY6A,False,64,1,0.9961,257,1,1
masked,1BRTA,2YHWA,False,287,1,0.9971,343,1,1
masked,1BRTA,3CSSA,False,40,2,0.9925,267,0,1
masked,1BRTA,3HO7A,False,63,3,0.9871,232,0,1
masked,1BRTA,3OKPA,False,200,4,0.9898,394,0,0
masked,1BRTA,3QDLA,False,114,141,0.3286,210,0,0
masked,1BRTA,3WJPA,False,94,1,0.997,338,1,1
masked,1BRTA,4EHUA,False,100,1,0.9964,276,1,1
masked,1BRTA,4EX6A,False,124,1,0.9958,237,1,1
masked,1BRTA,4EZIA,False,310,1,0.9973,377,1,1
masked,1BRTA,4ME3A,False,75,4,0.9851,268,0,0
masked,1BRTA,4N9WA,False,194,4,0.9897,390,0,0
masked,1BRTA,4OY3A,False,193,2,0.9913,231,0,1
masked,1PVGA,1BRTA,False,220,2,0.9928,277,0,1
masked,1PVGA,1PVGA,True,101,1,0.9976,418,1,1
masked,1PVGA,2B61A,False,315,1,0.9973,377,1,1
masked,1PVGA,2DPMA,False,39,2,0.993,284,0,1
masked,1PVGA,2PKEA,False,131,4,0.9841,251,0,0
masked,1PVGA,2QY6A,False,64,1,0.9961,257,1,1
masked,1PVGA,2YHWA,False,287,2,0.9942,343,0,1
masked,1PVGA,3CSSA,False,40,2,0.9925,267,0,1
masked,1PVGA,3HO7A,False,63,3,0.9871,232,0,1
masked,1PVGA,3OKPA,False,200,3,0.9924,394,0,1
masked,1PVGA,3QDLA,False,114,139,0.3381,210,0,0
masked,1PVGA,3WJPA,False,94,1,0.997,338,1,1
masked,1PVGA,4EHUA,False,100,1,0.9964,276,1,1
masked,1PVGA,4EX6A,False,124,1,0.9958,237,1,1
masked,1PVGA,4EZIA,False,310,1,0.9973,377,1,1
masked,1PVGA,4ME3A,False,75,3,0.9888,268,0,1
masked,1PVGA,4N9WA,False,194,5,0.9872,390,0,0
masked,1PVGA,4OY3A,False,193,2,0.9913,231,0,1
masked,2B61A,1BRTA,False,220,1,0.9964,277,1,1
masked,2B61A,1PVGA,False,101,1,0.9976,418,1,1
masked,2B61A,2B61A,True,315,1,0.9973,377,1,1
masked,2B61A,2DPMA,False,39,2,0.993,284,0,1
masked,2B61A,2PKEA,False,131,4,0.9841,251,0,0
masked,2B61A,2QY6A,False,64,1,0.9961,257,1,1
masked,2B61A,2YHWA,False,287,2,0.9942,343,0,1
masked,2B61A,3CSSA,False,40,2,0.9925,267,0,1
masked,2B61A,3HO7A,False,63,3,0.9871,232,0,1
masked,2B61A,3OKPA,False,200,4,0.9898,394,0,0
masked,2B61A,3QDLA,False,114,144,0.3143,210,0,0
masked,2B61A,3WJPA,False,94,1,0.997,338,1,1
masked,2B61A,4EHUA,False,100,1,0.9964,276,1,1
masked,2B61A,4EX6A,False,124,1,0.9958,237,1,1
masked,2B61A,4EZIA,False,310,1,0.9973,377,1,1
masked,2B61A,4ME3A,False,75,5,0.9813,268,0,0
masked,2B61A,4N9WA,False,194,4,0.9897,390,0,0
masked,2B61A,4OY3A,False,193,2,0.9913,231,0,1
masked,2DPMA,1BRTA,False,220,1,0.9964,277,1,1
masked,2DPMA,1PVGA,False,101,1,0.9976,418,1,1
masked,2DPMA,2B61A,False,315,1,0.9973,377,1,1
masked,2DPMA,2DPMA,True,39,2,0.993,284,0,1
masked,2DPMA,2PKEA,False,131,4,0.9841,251,0,0
masked,2DPMA,2QY6A,False,64,1,0.9961,257,1,1
masked,2DPMA,2YHWA,False,287,2,0.9942,343,0,1
masked,2DPMA,3CSSA,False,40,2,0.9925,267,0,1
masked,2DPMA,3HO7A,False,63,3,0.9871,232,0,1
masked,2DPMA,3OKPA,False,200,3,0.9924,394,0,1
masked,2DPMA,3QDLA,False,114,143,0.319,210,0,0
masked,2DPMA,3WJPA,False,94,1,0.997,338,1,1
masked,2DPMA,4EHUA,False,100,2,0.9928,276,0,1
masked,2DPMA,4EX6A,False,124,1,0.9958,237,1,1
masked,2DPMA,4EZIA,False,310,1,0.9973,377,1,1
masked,2DPMA,4ME3A,False,75,3,0.9888,268,0,1
masked,2DPMA,4N9WA,False,194,4,0.9897,390,0,0
masked,2DPMA,4OY3A,False,193,2,0.9913,231,0,1
masked,2PKEA,1BRTA,False,220,1,0.9964,277,1,1
masked,2PKEA,1PVGA,False,101,1,0.9976,418,1,1
masked,2PKEA,2B61A,False,315,1,0.9973,377,1,1
masked,2PKEA,2DPMA,False,39,2,0.993,284,0,1
masked,2PKEA,2PKEA,True,131,4,0.9841,251,0,0
masked,2PKEA,2QY6A,False,64,1,0.9961,257,1,1
masked,2PKEA,2YHWA,False,287,1,0.9971,343,1,1
masked,2PKEA,3CSSA,False,40,2,0.9925,267,0,1
masked,2PKEA,3HO7A,False,63,3,0.9871,232,0,1
masked,2PKEA,3OKPA,False,200,4,0.9898,394,0,0
masked,2PKEA,3QDLA,False,114,108,0.4857,210,0,0
masked,2PKEA,3WJPA,False,94,1,0.997,338,1,1
masked,2PKEA,4EHUA,False,100,2,0.9928,276,0,1
masked,2PKEA,4EX6A,False,124,1,0.9958,237,1,1
masked,2PKEA,4EZIA,False,310,1,0.9973,377,1,1
masked,2PKEA,4ME3A,False,75,3,0.9888,268,0,1
masked,2PKEA,4N9WA,False,194,4,0.9897,390,0,0
masked,2PKEA,4OY3A,False,193,2,0.9913,231,0,1
masked,2QY6A,1BRTA,False,220,1,0.9964,277,1,1
masked,2QY6A,1PVGA,False,101,1,0.9976,418,1,1
masked,2QY6A,2B61A,False,315,1,0.9973,377,1,1
masked,2QY6A,2DPMA,False,39,2,0.993,284,0,1
masked,2QY6A,2PKEA,False,131,4,0.9841,251,0,0
masked,2QY6A,2QY6A,True,64,1,0.9961,257,1,1
masked,2QY6A,2YHWA,False,287,1,0.9971,343,1,1
masked,2QY6A,3CSSA,False,40,2,0.9925,267,0,1
masked,2QY6A,3HO7A,False,63,3,0.9871,232,0,1
masked,2QY6A,3OKPA,False,200,3,0.9924,394,0,1
masked,2QY6A,3QDLA,False,114,130,0.381,210,0,0
masked,2QY6A,3WJPA,False,94,1,0.997,338,1,1
masked,2QY6A,4EHUA,False,100,2,0.9928,276,0,1
masked,2QY6A,4EX6A,False,124,1,0.9958,237,1,1
masked,2QY6A,4EZIA,False,310,1,0.9973,377,1,1
masked,2QY6A,4ME3A,False,75,3,0.9888,268,0,1
masked,2QY6A,4N9WA,False,194,4,0.9897,390,0,0
masked,2QY6A,4OY3A,False,193,2,0.9913,231,0,1
masked,2YHWA,1BRTA,False,220,1,0.9964,277,1,1
masked,2YHWA,1PVGA,False,101,1,0.9976,418,1,1
masked,2YHWA,2B61A,False,315,1,0.9973,377,1,1
masked,2YHWA,2DPMA,False,39,2,0.993,284,0,1
masked,2YHWA,2PKEA,False,131,4,0.9841,251,0,0
masked,2YHWA,2QY6A,False,64,1,0.9961,257,1,1
masked,2YHWA,2YHWA,True,287,1,0.9971,343,1,1
masked,2YHWA,3CSSA,False,40,2,0.9925,267,0,1
masked,2YHWA,3HO7A,False,63,3,0.9871,232,0,1
masked,2YHWA,3OKPA,False,200,3,0.9924,394,0,1
masked,2YHWA,3QDLA,False,114,142,0.3238,210,0,0
masked,2YHWA,3WJPA,False,94,1,0.997,338,1,1
masked,2YHWA,4EHUA,False,100,1,0.9964,276,1,1
masked,2YHWA,4EX6A,False,124,1,0.9958,237,1,1
masked,2YHWA,4EZIA,False,310,1,0.9973,377,1,1
masked,2YHWA,4ME3A,False,75,3,0.9888,268,0,1
masked,2YHWA,4N9WA,False,194,4,0.9897,390,0,0
masked,2YHWA,4OY3A,False,193,2,0.9913,231,0,1
masked,3CSSA,1BRTA,False,220,1,0.9964,277,1,1
masked,3CSSA,1PVGA,False,101,1,0.9976,418,1,1
masked,3CSSA,2B61A,False,315,1,0.9973,377,1,1
masked,3CSSA,2DPMA,False,39,2,0.993,284,0,1
masked,3CSSA,2PKEA,False,131,4,0.9841,251,0,0
masked,3CSSA,2QY6A,False,64,1,0.9961,257,1,1
masked,3CSSA,2YHWA,False,287,1,0.9971,343,1,1
masked,3CSSA,3CSSA,True,40,2,0.9925,267,0,1
masked,3CSSA,3HO7A,False,63,3,0.9871,232,0,1
masked,3CSSA,3OKPA,False,200,3,0.9924,394,0,1
masked,3CSSA,3QDLA,False,114,134,0.3619,210,0,0
masked,3CSSA,3WJPA,False,94,1,0.997,338,1,1
masked,3CSSA,4EHUA,False,100,3,0.9891,276,0,1
masked,3CSSA,4EX6A,False,124,1,0.9958,237,1,1
masked,3CSSA,4EZIA,False,310,1,0.9973,377,1,1
masked,3CSSA,4ME3A,False,75,3,0.9888,268,0,1
masked,3CSSA,4N9WA,False,194,5,0.9872,390,0,0
masked,3CSSA,4OY3A,False,193,2,0.9913,231,0,1
masked,3HO7A,1BRTA,False,220,2,0.9928,277,0,1
masked,3HO7A,1PVGA,False,101,1,0.9976,418,1,1
masked,3HO7A,2B61A,False,315,2,0.9947,377,0,1
masked,3HO7A,2DPMA,False,39,2,0.993,284,0,1
masked,3HO7A,2PKEA,False,131,3,0.988,251,0,1
masked,3HO7A,2QY6A,False,64,1,0.9961,257,1,1
masked,3HO7A,2YHWA,False,287,1,0.9971,343,1,1
masked,3HO7A,3CSSA,False,40,2,0.9925,267,0,1
masked,3HO7A,3HO7A,True,63,3,0.9871,232,0,1
masked,3HO7A,3OKPA,False,200,4,0.9898,394,0,0
masked,3HO7A,3QDLA,False,114,86,0.5905,210,0,0
masked,3HO7A,3WJPA,False,94,1,0.997,338,1,1
masked,3HO7A,4EHUA,False,100,1,0.9964,276,1,1
masked,3HO7A,4EX6A,False,124,1,0.9958,237,1,1
masked,3HO7A,4EZIA,False,310,2,0.9947,377,0,1
masked,3HO7A,4ME3A,False,75,3,0.9888,268,0,1
masked,3HO7A,4N9WA,False,194,4,0.9897,390,0,0
masked,3HO7A,4OY3A,False,193,2,0.9913,231,0,1
masked,3OKPA,1BRTA,False,220,1,0.9964,277,1,1
masked,3OKPA,1PVGA,False,101,1,0.9976,418,1,1
masked,3OKPA,2B61A,False,315,1,0.9973,377,1,1
masked,3OKPA,2DPMA,False,39,2,0.993,284,0,1
masked,3OKPA,2PKEA,False,131,4,0.9841,251,0,0
masked,3OKPA,2QY6A,False,64,1,0.9961,257,1,1
masked,3OKPA,2YHWA,False,287,1,0.9971,343,1,1
masked,3OKPA,3CSSA,False,40,2,0.9925,267,0,1
masked,3OKPA,3HO7A,False,63,3,0.9871,232,0,1
masked,3OKPA,3OKPA,True,200,3,0.9924,394,0,1
masked,3OKPA,3QDLA,False,114,133,0.3667,210,0,0
masked,3OKPA,3WJPA,False,94,1,0.997,338,1,1
masked,3OKPA,4EHUA,False,100,3,0.9891,276,0,1
masked,3OKPA,4EX6A,False,124,1,0.9958,237,1,1
masked,3OKPA,4EZIA,False,310,1,0.9973,377,1,1
masked,3OKPA,4ME3A,False,75,3,0.9888,268,0,1
masked,3OKPA,4N9WA,False,194,4,0.9897,390,0,0
masked,3OKPA,4OY3A,False,193,1,0.9957,231,1,1
masked,3QDLA,1BRTA,False,220,1,0.9964,277,1,1
masked,3QDLA,1PVGA,False,101,1,0.9976,418,1,1
masked,3QDLA,2B61A,False,315,1,0.9973,377,1,1
masked,3QDLA,2DPMA,False,39,2,0.993,284,0,1
masked,3QDLA,2PKEA,False,131,4,0.9841,251,0,0
masked,3QDLA,2QY6A,False,64,1,0.9961,257,1,1
masked,3QDLA,2YHWA,False,287,1,0.9971,343,1,1
masked,3QDLA,3CSSA,False,40,2,0.9925,267,0,1
masked,3QDLA,3HO7A,False,63,3,0.9871,232,0,1
masked,3QDLA,3OKPA,False,200,3,0.9924,394,0,1
masked,3QDLA,3QDLA,True,114,104,0.5048,210,0,0
masked,3QDLA,3WJPA,False,94,1,0.997,338,1,1
masked,3QDLA,4EHUA,False,100,2,0.9928,276,0,1
masked,3QDLA,4EX6A,False,124,1,0.9958,237,1,1
masked,3QDLA,4EZIA,False,310,1,0.9973,377,1,1
masked,3QDLA,4ME3A,False,75,3,0.9888,268,0,1
masked,3QDLA,4N9WA,False,194,5,0.9872,390,0,0
masked,3QDLA,4OY3A,False,193,2,0.9913,231,0,1
masked,3WJPA,1BRTA,False,220,1,0.9964,277,1,1
masked,3WJPA,1PVGA,False,101,1,0.9976,418,1,1
