pfam_acc,M,anchor_state,anchor_top_aa,anchor_top_p,anchor_hydro,anchor_polar,anchor_charged,anchor_ic,anchor_ic_rank,anchor_ic_pct,hi_decile_n,hi_hydro_mean,hi_charged_mean,hi_polar_mean,frac_hi_hydrophobic_dominant,frac_hi_charged_dominant
PF00155,361,183,L,0.248,0.913,0.051,0.024,1.265,32,0.914,37,0.577,0.121,0.144,0.595,0.108
PF13407,258,187,V,0.304,0.893,0.056,0.032,1.357,23,0.915,26,0.565,0.127,0.123,0.5,0.115
PF13561,236,126,V,0.379,0.912,0.054,0.023,1.703,21,0.915,24,0.416,0.19,0.148,0.375,0.208
PF13378,218,75,I,0.207,0.849,0.092,0.039,0.895,45,0.798,22,0.347,0.237,0.122,0.318,0.227
PF00106,195,132,V,0.436,0.943,0.034,0.015,2.072,12,0.944,20,0.471,0.11,0.211,0.4,0.1
PF00881,167,126,L,0.257,0.888,0.071,0.028,1.094,29,0.832,17,0.543,0.145,0.122,0.529,0.118
PF13302,138,119,A,0.315,0.711,0.182,0.048,0.845,32,0.775,14,0.439,0.201,0.185,0.429,0.214
PF00293,134,52,L,0.317,0.84,0.116,0.024,1.13,24,0.828,14,0.43,0.333,0.082,0.429,0.357
PF13673,127,89,L,0.245,0.797,0.113,0.044,0.966,21,0.843,13,0.571,0.073,0.105,0.538,0.0
PF00583,116,98,L,0.438,0.864,0.099,0.026,1.374,16,0.871,12,0.49,0.097,0.157,0.417,0.083
PF00072,111,46,I,0.238,0.828,0.104,0.046,0.98,26,0.775,12,0.492,0.292,0.119,0.5,0.333
PF02036,101,86,I,0.392,0.923,0.049,0.019,1.678,7,0.941,11,0.688,0.131,0.082,0.727,0.182
PF13508,84,67,L,0.328,0.664,0.194,0.11,0.853,24,0.726,9,0.575,0.039,0.05,0.556,0.0
PF00486,77,30,L,0.598,0.974,0.015,0.007,2.513,5,0.948,8,0.73,0.123,0.033,0.75,0.125
