protein,n_res,anchor_pos,R_50,alpha_full
2YJKA,161,64,30,0.881312
4AFFA,116,62,30,0.893726
2E1FA,103,65,30,1.024380
1OBOA,169,49,30,0.901091
3KTOA,136,53,30,1.125186
3VG7A,132,9,40,0.905032
1DZ3A,130,51,15,1.333501
4QYWA,119,49,15,1.360144
4HKHA,169,110,40,1.007614
3CNUA,116,92,20,0.859187
5BONA,164,63,20,0.865616
5C7QA,182,92,30,0.994419
2B06A,155,58,20,0.844661
1TUVA,114,67,15,1.490313
4ODKA,158,49,30,0.689550
3G46A,146,117,40,0.433539
3HRLA,104,46,20,0.996733
3VFIA,104,21,15,1.274552
4WN5A,115,16,20,1.369272
4K8WA,129,42,30,1.324246
1C52A,131,13,5,0.895693
4REIA,151,102,30,1.176281
3ROFA,158,86,30,1.132000
2PV2A,103,92,20,1.066069
1K2EA,156,45,20,0.836419
1SD4A,126,8,30,0.843422
1UUYA,167,74,30,1.388992
3CJNA,162,112,30,1.309509
4EVYA,166,133,20,1.097699
3F9SA,146,115,30,0.709548
3G8KA,130,34,20,1.424610
5IJAA,148,5,40,1.198920
2GEYA,158,19,40,0.690114
2FUJA,137,74,30,0.734393
1VI4A,174,92,30,1.228586
2FKBA,180,88,30,0.798462
3GLAA,100,19,15,1.038142
2B5GA,171,126,30,1.373775
2HZQA,174,23,30,1.224615
5DIKA,121,85,20,0.859616
3AKBA,166,112,30,0.743942
3NKLA,141,68,40,1.003751
3GX8A,121,19,15,1.539807
1COZA,129,4,20,0.659822
3CI6A,171,46,30,1.414462
1S3CA,141,5,60,1.267338
3DM8A,143,108,60,0.431588
1F86A,115,61,20,1.719599
5IOCA,143,13,40,1.147098
3JTWA,178,112,30,1.550358
3D3BA,141,108,20,1.217384
1VKCA,158,129,20,1.412518
3F6CA,134,49,20,1.325295
3VRDA,174,13,5,0.707757
4UITA,106,68,15,0.709496
4V0KA,169,78,30,0.828474
1F2TB,148,86,20,1.423736
2BK9A,153,112,40,0.434613
4N5UA,117,31,20,0.884194
4ETNA,184,113,30,1.031981
2YVQA,143,52,20,1.130462
3G48A,112,19,20,1.133856
2PZEA,229,153,30,1.355095
3EINA,209,156,5,1.100534
4JD0A,251,112,60,1.498286
3RPPA,234,9,60,1.258849
1K4IA,233,29,60,0.684684
4MF5A,256,204,5,1.132139
4M1BA,254,206,40,0.975556
2QTQA,213,152,40,0.618484
5HOEA,230,100,40,1.146569
3R2QA,202,2,60,1.273455
3MILA,240,75,60,1.167107
3HOIA,193,148,40,0.934583
4MXTA,190,132,60,0.977045
2Q0OA,236,40,60,1.061619
1IX9A,205,107,30,1.371673
4E3YA,245,114,40,1.340114
1QNXA,209,91,40,0.924629
1V2XA,194,118,30,1.060167
1JYKA,254,122,60,1.393963
3GRZA,205,128,40,1.143427
3DHAA,254,171,40,1.379762
3PQCA,195,36,30,0.932831
1GTVA,214,4,60,1.073474
3FD3A,208,147,40,1.391641
3R6DA,221,151,30,1.714654
1L3LA,234,38,60,1.127199
3H7AA,252,137,60,1.441027
2PLRA,213,8,60,0.996657
4QKDA,200,105,30,1.341111
1VAJA,214,82,60,0.785509
5CPHA,212,79,40,1.450176
1PZ7A,204,113,40,1.436201
4EX6A,237,124,40,1.031375
4XOMA,207,142,60,1.400200
3SD7A,240,32,40,0.815557
2O0YA,260,216,5,0.881409
4WPKA,238,74,60,1.188504
4X2CA,235,166,5,0.714178
3PN3A,193,136,30,1.180138
1VL1A,232,140,40,1.294373
4WHSA,200,127,40,1.716476
1L6RA,227,173,30,0.947658
3M4IA,242,95,40,1.335381
3BPKA,206,137,40,1.284367
4R8HA,222,79,30,0.953416
2GXQA,207,148,30,1.297979
3CJYA,259,76,60,1.299533
1SUMB,235,92,5,0.856277
1Y89A,238,134,40,1.276125
4AU1A,229,152,40,1.164286
3W5JA,204,16,40,1.058079
1UFOA,238,27,40,0.912143
1W2WA,211,176,30,1.325588
4MYDA,252,17,60,0.902524
3E0XA,245,19,40,0.832256
2ZGIA,246,159,40,1.245358
3MQHA,192,128,30,1.047456
4MU3A,205,80,40,0.717258
3M3PA,250,51,40,0.770356
3PVEA,189,100,40,1.377856
4ZI5A,250,172,40,1.383607
2A2RA,210,152,40,1.053099
2YB1A,292,244,40,0.990222
3DGTA,280,192,40,1.284997
3ILSA,265,24,80,0.853812
2ZE3A,275,39,40,1.094985
3OAJA,335,235,60,0.993759
2O7RA,338,268,60,1.411875
5BP3A,305,104,60,0.825532
3E3XA,332,84,60,1.138456
5JH8A,317,107,60,1.070587
2F9IB,285,159,40,1.303762
2F5XA,312,141,60,1.142585
4DM7A,301,33,40,0.974392
3MZ2A,292,63,40,1.082723
2HFSA,332,284,60,1.085742
5I1UA,335,94,60,0.785330
1GA8A,311,100,40,1.408160
1FVIA,297,234,6,1.034152
3PFBA,270,49,40,1.038262
2F1KA,279,181,60,1.100767
2Z7BA,270,127,40,1.446615
1W5RA,278,83,60,1.095247
1QWRA,319,100,80,1.394832
5BOVA,304,34,40,1.075821
3D02A,303,192,60,1.030258
4KIEA,279,166,40,1.472263
3A99A,320,125,5,1.038848
5E8SA,306,81,40,1.293433
2RC8A,294,220,40,1.375151
3NVWB,334,155,5,1.390916
4YAAA,306,238,60,1.231308
3B8BA,292,104,5,1.242525
3PZSA,289,224,60,1.256161
4X54A,276,169,30,1.421505
3T94A,270,86,40,1.548666
4R9OA,301,157,40,1.289086
3MZ1A,300,91,60,1.776649
1EFDN,266,7,80,1.113305
2X7QA,321,173,60,1.045277
2I5IA,263,126,40,1.398610
1ODMA,331,246,60,1.361254
3CSSA,267,158,60,1.232801
1Z5ZA,271,168,40,1.444077
3GO6A,310,246,60,1.159946
5HMLA,272,193,40,1.356032
1RM6B,324,113,60,1.339068
5JJXA,314,151,60,1.038171
4ZO2A,294,199,5,1.197802
3BF5A,306,244,60,1.023757
3UCXA,264,142,40,1.390531
1PQ4A,291,192,40,1.239951
5A9TA,290,64,40,1.248843
4S12A,298,137,40,1.277382
4YL8A,303,223,40,1.318215
1Z0SA,278,71,40,1.181474
4YDRA,304,68,60,1.724148
4XCBA,261,197,5,0.879422
1YNPA,317,64,40,1.310242
2H8GA,267,110,40,1.416120
1US5A,314,133,60,1.109448
4MNCA,332,166,60,0.914558
2VW8A,303,159,5,1.145710
4XCVA,320,229,60,1.223381
4K3LA,366,43,80,1.138800
1QWOA,442,332,5,1.584823
4X4WA,416,52,5,1.697907
3I09A,375,198,60,1.517962
3PI7A,349,236,60,1.419412
2PS2A,371,220,60,1.072968
1GDEA,389,196,60,1.573194
4WIHA,353,121,60,1.268854
3WQCA,390,354,120,0.939010
4MP8A,339,212,60,1.123393
5CXWA,430,318,5,1.407557
2VCHA,480,113,80,1.404284
4PXEA,430,401,80,1.162824
2CDCA,366,71,60,1.309397
2WIYA,394,141,5,0.710595
2V3ZA,440,206,60,1.522083
2O2KA,355,306,355,1.003401
4X83A,394,29,80,0.974887
2UYTA,489,76,80,1.217077
3N2TA,348,172,60,1.347363
4I0WB,477,186,5,1.067626
5CI5A,415,160,60,1.310071
2A9DA,372,123,60,1.118185
3K9DA,464,112,80,1.960231
2WZBA,416,19,120,1.050738
3VCAA,412,105,60,1.414694
2ZB4A,357,233,60,1.626146
2Q0DA,353,87,5,1.386288
1VPKA,378,55,5,1.057270
4GNRA,353,199,60,1.108174
4UA8A,400,239,80,0.938125
4RELA,446,110,60,1.442395
2UY1A,493,52,80,0.724266
4IJNA,398,326,60,1.209482
3U7QA,492,147,5,1.325224
3WJPA,338,94,60,1.462801
5BVAA,409,292,60,1.362841
4MAMA,374,257,60,1.344879
3OM0A,393,194,80,1.192610
4OB7A,341,263,40,1.344365
2HI4A,495,435,5,1.248840
4EZIA,377,77,60,0.978793
2POKA,481,454,120,1.110535
4A6RA,459,256,80,1.319485
2CDUA,452,108,60,1.313944
3TM4A,373,221,5,1.101617
5B0RA,363,326,60,0.983323
4DQNA,345,224,60,1.586655
3RAUA,363,123,5,1.156001
3EKGA,404,240,60,1.330081
3SGHA,499,192,5,0.823866
4XP7A,346,115,60,1.772242
4MX6A,346,216,60,0.977447
4MS4B,433,209,80,1.310762
3K0BA,393,205,60,1.328950
2CIBA,455,395,5,0.800377
2ZADA,345,214,60,1.132397
1V4AA,440,174,5,1.402941
