i,j,tm,seqid,anchor_col_dist,category,pfam_i,pfam_j,hsf_i,hsf_j,set_i,set_j
6won_G,2foi_A,0.6445,0.13333333333333333,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2ag5_A,0.8283,0.30049261083743845,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3ged_B,0.8791,0.30049261083743845,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3u4c_A,0.8648,0.29107981220657275,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3oig_A,0.8132,0.1588785046728972,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,5ovk_A,0.8394,0.31343283582089554,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1w6u_A,0.8464,0.23555555555555555,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,5k9z_B,0.8474,0.3090909090909091,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1vl8_B,0.8554,0.29767441860465116,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1xg5_C,0.7644,0.22748815165876776,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4dry_C,0.8199,0.28502415458937197,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4fd3_D,0.7194,0.2561576354679803,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2rhc_B,0.8535,0.3222748815165877,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2yut_A,0.7897,0.21965317919075145,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1fmc_B,0.8505,0.32653061224489793,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
