protein,mode,alpha,segment_metric,delta_from_baseline,n_active_heads,active_head_labels,mean_anchor_mass,mean_top1_mass,mean_top3_mass,mean_entropy_norm,sum_anchor_mass,sum_top3_mass
2B61A,k_only,0.0,1.0,0.0,2,"['L11H16', 'L15H2']",0.5144206453114748,0.17244639992713928,0.4196617156267166,0.6614361789453158,1.0288412906229496,0.8393234312534332
2B61A,k_only,0.5,1.0017021894454956,0.0017021894454956055,2,"['L11H16', 'L15H2']",0.46053516678512096,0.15705377981066704,0.3791592866182327,0.6930066180517609,0.9210703335702419,0.7583185732364655
2B61A,k_only,1.0,1.0033292770385742,0.0033292770385742188,2,"['L11H16', 'L15H2']",0.4075712950434536,0.15416443347930908,0.353081077337265,0.7214469572898599,0.8151425900869071,0.70616215467453
2B61A,k_only,2.0,1.0060877799987793,0.006087779998779297,2,"['L11H16', 'L15H2']",0.31197354244068265,0.16056272387504578,0.31402720510959625,0.7662692018152514,0.6239470848813653,0.6280544102191925
2B61A,k_only,4.0,1.0117747783660889,0.011774778366088867,2,"['L11H16', 'L15H2']",0.1742550820345059,0.153190515935421,0.2696879804134369,0.8162250775593932,0.3485101640690118,0.5393759608268738
2B61A,k_only,8.0,1.02678644657135,0.026786446571350098,2,"['L11H16', 'L15H2']",0.03430259838933125,0.15409017726778984,0.2228333279490471,0.8441491843245454,0.0686051967786625,0.4456666558980942
2B61A,k_only,12.0,1.027571201324463,0.02757120132446289,2,"['L11H16', 'L15H2']",0.004718616317404667,0.16260132938623428,0.2357456535100937,0.8417626363927073,0.009437232634809334,0.4714913070201874
2B61A,v_only,0.0,1.0,0.0,2,"['L11H16', 'L15H2']",0.5144206453114748,0.17244639992713928,0.4196617156267166,0.6614361789453158,1.0288412906229496,0.8393234312534332
2B61A,v_only,0.5,1.0002501010894775,0.00025010108947753906,2,"['L11H16', 'L15H2']",0.5144399348646402,0.17220112681388855,0.41953539848327637,0.6615312018240176,1.0288798697292805,0.8390707969665527
2B61A,v_only,1.0,1.0005006790161133,0.0005006790161132812,2,"['L11H16', 'L15H2']",0.5144544239155948,0.17195159196853638,0.41940347850322723,0.6616303197959967,1.0289088478311896,0.8388069570064545
2B61A,v_only,2.0,1.0010265111923218,0.0010265111923217773,2,"['L11H16', 'L15H2']",0.5144684230908751,0.17143774777650833,0.4191221594810486,0.6618407574464549,1.0289368461817503,0.8382443189620972
2B61A,v_only,4.0,1.0023252964019775,0.002325296401977539,2,"['L11H16', 'L15H2']",0.514433341100812,0.1704837903380394,0.41848449409008026,0.6623112753066931,1.028866682201624,0.8369689881801605
2B61A,v_only,8.0,1.0069139003753662,0.006913900375366211,2,"['L11H16', 'L15H2']",0.5140474392101169,0.1706664189696312,0.4168255031108856,0.6634825834151346,1.0280948784202337,0.8336510062217712
2B61A,v_only,12.0,1.015474557876587,0.015474557876586914,2,"['L11H16', 'L15H2']",0.5130235361866653,0.1706916093826294,0.4143541604280472,0.6650889464331875,1.0260470723733306,0.8287083208560944
