protein,combo,alpha,segment_metric,delta_from_baseline,n_active_heads,active_head_labels
2B61A,L10H9,0.0,1.0,0.0,1,['L10H9']
2B61A,L10H9,0.5,1.0008472204208374,0.0008472204208374023,1,['L10H9']
2B61A,L10H9,1.0,1.0016844272613525,0.001684427261352539,1,['L10H9']
2B61A,L10H9,2.0,1.0033375024795532,0.0033375024795532227,1,['L10H9']
2B61A,L10H9,4.0,1.006609559059143,0.006609559059143066,1,['L10H9']
2B61A,L10H9,8.0,1.0100005865097046,0.01000058650970459,1,['L10H9']
2B61A,L10H9,12.0,1.0087224245071411,0.008722424507141113,1,['L10H9']
2B61A,L11H16,0.0,1.0,0.0,1,['L11H16']
2B61A,L11H16,0.5,1.0022140741348267,0.00221407413482666,1,['L11H16']
2B61A,L11H16,1.0,1.0043023824691772,0.004302382469177246,1,['L11H16']
2B61A,L11H16,2.0,1.0077446699142456,0.0077446699142456055,1,['L11H16']
2B61A,L11H16,4.0,1.0113681554794312,0.011368155479431152,1,['L11H16']
2B61A,L11H16,8.0,1.012787103652954,0.012787103652954102,1,['L11H16']
2B61A,L11H16,12.0,1.0128967761993408,0.01289677619934082,1,['L11H16']
2B61A,L11H14,0.0,1.0,0.0,0,[]
2B61A,L11H14,0.5,1.0,0.0,0,[]
2B61A,L11H14,1.0,1.0,0.0,0,[]
2B61A,L11H14,2.0,1.0,0.0,0,[]
2B61A,L11H14,4.0,1.0,0.0,0,[]
2B61A,L11H14,8.0,1.0,0.0,0,[]
2B61A,L11H14,12.0,1.0,0.0,0,[]
2B61A,L14H9,0.0,1.0,0.0,0,[]
2B61A,L14H9,0.5,1.0,0.0,0,[]
2B61A,L14H9,1.0,1.0,0.0,0,[]
2B61A,L14H9,2.0,1.0,0.0,0,[]
2B61A,L14H9,4.0,1.0,0.0,0,[]
2B61A,L14H9,8.0,1.0,0.0,0,[]
2B61A,L14H9,12.0,1.0,0.0,0,[]
2B61A,L10H9+L11H16,0.0,1.0,0.0,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,0.5,1.0030617713928223,0.0030617713928222656,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,1.0,1.0060075521469116,0.006007552146911621,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,2.0,1.0113028287887573,0.011302828788757324,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,4.0,1.0196155309677124,0.019615530967712402,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,8.0,1.0307326316833496,0.03073263168334961,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16,12.0,1.0313528776168823,0.031352877616882324,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,0.0,1.0,0.0,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,0.5,1.0030617713928223,0.0030617713928222656,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,1.0,1.0060075521469116,0.006007552146911621,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,2.0,1.0113028287887573,0.011302828788757324,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,4.0,1.0196155309677124,0.019615530967712402,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,8.0,1.0307326316833496,0.03073263168334961,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14,12.0,1.0313528776168823,0.031352877616882324,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,0.0,1.0,0.0,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,0.5,1.0030617713928223,0.0030617713928222656,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,1.0,1.0060075521469116,0.006007552146911621,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,2.0,1.0113028287887573,0.011302828788757324,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,4.0,1.0196155309677124,0.019615530967712402,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,8.0,1.0307326316833496,0.03073263168334961,2,"['L10H9', 'L11H16']"
2B61A,L10H9+L11H16+L11H14+L14H9,12.0,1.0313528776168823,0.031352877616882324,2,"['L10H9', 'L11H16']"
1PVGA,L10H9,0.0,1.0,0.0,1,['L10H9']
1PVGA,L10H9,0.5,1.0023281574249268,0.002328157424926758,1,['L10H9']
1PVGA,L10H9,1.0,1.0051003694534302,0.005100369453430176,1,['L10H9']
1PVGA,L10H9,2.0,1.011559247970581,0.011559247970581055,1,['L10H9']
1PVGA,L10H9,4.0,1.0223100185394287,0.02231001853942871,1,['L10H9']
1PVGA,L10H9,8.0,1.026024580001831,0.026024580001831055,1,['L10H9']
1PVGA,L10H9,12.0,1.0254230499267578,0.025423049926757812,1,['L10H9']
1PVGA,L11H16,0.0,1.0,0.0,1,['L11H16']
1PVGA,L11H16,0.5,0.9988589286804199,-0.0011410713195800781,1,['L11H16']
1PVGA,L11H16,1.0,0.9978800415992737,-0.0021199584007263184,1,['L11H16']
1PVGA,L11H16,2.0,0.9962739944458008,-0.0037260055541992188,1,['L11H16']
1PVGA,L11H16,4.0,0.9937759637832642,-0.00622403621673584,1,['L11H16']
1PVGA,L11H16,8.0,0.9929986596107483,-0.007001340389251709,1,['L11H16']
1PVGA,L11H16,12.0,0.9929890036582947,-0.007010996341705322,1,['L11H16']
1PVGA,L11H14,0.0,1.0,0.0,0,[]
1PVGA,L11H14,0.5,1.0,0.0,0,[]
1PVGA,L11H14,1.0,1.0,0.0,0,[]
1PVGA,L11H14,2.0,1.0,0.0,0,[]
1PVGA,L11H14,4.0,1.0,0.0,0,[]
1PVGA,L11H14,8.0,1.0,0.0,0,[]
1PVGA,L11H14,12.0,1.0,0.0,0,[]
1PVGA,L14H9,0.0,1.0,0.0,1,['L14H9']
1PVGA,L14H9,0.5,1.000290870666504,0.00029087066650390625,1,['L14H9']
1PVGA,L14H9,1.0,1.0006781816482544,0.0006781816482543945,1,['L14H9']
1PVGA,L14H9,2.0,1.0014902353286743,0.0014902353286743164,1,['L14H9']
1PVGA,L14H9,4.0,1.0027090311050415,0.002709031105041504,1,['L14H9']
1PVGA,L14H9,8.0,1.0036132335662842,0.0036132335662841797,1,['L14H9']
1PVGA,L14H9,12.0,1.0035488605499268,0.003548860549926758,1,['L14H9']
1PVGA,L10H9+L11H16,0.0,1.0,0.0,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16,0.5,1.0012295246124268,0.0012295246124267578,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16,1.0,1.0031667947769165,0.003166794776916504,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16,2.0,1.0085985660552979,0.008598566055297852,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16,4.0,1.0167922973632812,0.01679229736328125,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16,8.0,1.0151944160461426,0.015194416046142578,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16,12.0,1.013542652130127,0.013542652130126953,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16+L11H14,0.0,1.0,0.0,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16+L11H14,0.5,1.0012295246124268,0.0012295246124267578,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16+L11H14,1.0,1.0031667947769165,0.003166794776916504,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16+L11H14,2.0,1.0085985660552979,0.008598566055297852,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16+L11H14,4.0,1.0167922973632812,0.01679229736328125,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16+L11H14,8.0,1.0151944160461426,0.015194416046142578,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16+L11H14,12.0,1.013542652130127,0.013542652130126953,2,"['L10H9', 'L11H16']"
1PVGA,L10H9+L11H16+L11H14+L14H9,0.0,1.0,0.0,3,"['L10H9', 'L11H16', 'L14H9']"
1PVGA,L10H9+L11H16+L11H14+L14H9,0.5,1.0015254020690918,0.0015254020690917969,3,"['L10H9', 'L11H16', 'L14H9']"
1PVGA,L10H9+L11H16+L11H14+L14H9,1.0,1.0038366317749023,0.0038366317749023438,3,"['L10H9', 'L11H16', 'L14H9']"
1PVGA,L10H9+L11H16+L11H14+L14H9,2.0,1.0098239183425903,0.009823918342590332,3,"['L10H9', 'L11H16', 'L14H9']"
1PVGA,L10H9+L11H16+L11H14+L14H9,4.0,1.01695716381073,0.01695716381072998,3,"['L10H9', 'L11H16', 'L14H9']"
1PVGA,L10H9+L11H16+L11H14+L14H9,8.0,1.011760950088501,0.011760950088500977,3,"['L10H9', 'L11H16', 'L14H9']"
1PVGA,L10H9+L11H16+L11H14+L14H9,12.0,1.0087413787841797,0.008741378784179688,3,"['L10H9', 'L11H16', 'L14H9']"
