feature,coefficient,abs_coefficient
aa_3_K,-6.556640,6.556640
aa_-3_M,-5.989099,5.989099
aa_29_W,-5.711103,5.711103
aa_-11_H,-5.287272,5.287272
aa_1_P,-5.188678,5.188678
aa_-13_P,-4.901684,4.901684
aa_-6_C,-4.822497,4.822497
aa_22_C,-4.812278,4.812278
aa_-24_W,4.518363,4.518363
aa_4_E,-4.501796,4.501796
aa_26_W,4.453927,4.453927
aa_-10_C,-4.438965,4.438965
aa_0_G,4.168692,4.168692
aa_8_C,4.127391,4.127391
aa_-1_K,-4.075083,4.075083
aa_-1_D,-4.054183,4.054183
aa_0_I,3.947262,3.947262
aa_-2_D,3.935566,3.935566
aa_-18_K,3.865747,3.865747
aa_-1_T,3.711648,3.711648
aa_-18_Y,3.700515,3.700515
aa_4_P,-3.699358,3.699358
aa_0_P,-3.586679,3.586679
aa_5_W,-3.538159,3.538159
aa_1_R,-3.515516,3.515516
aa_7_C,3.464967,3.464967
aa_-10_K,-3.447160,3.447160
aa_-18_M,3.363719,3.363719
aa_17_C,3.362011,3.362011
aa_0_E,-3.285845,3.285845
aa_-4_W,3.269112,3.269112
aa_6_R,-3.223593,3.223593
aa_24_C,-3.219704,3.219704
aa_-26_N,3.205757,3.205757
aa_1_Q,3.194535,3.194535
aa_-10_N,-3.096513,3.096513
aa_0_R,-2.992068,2.992068
aa_24_S,-2.968057,2.968057
aa_-17_Q,2.946959,2.946959
aa_6_C,2.922606,2.922606
aa_-9_F,2.887909,2.887909
aa_-4_Q,2.847590,2.847590
aa_-29_E,2.832044,2.832044
aa_-26_M,2.791704,2.791704
aa_15_M,2.778045,2.778045
aa_1_Y,-2.771505,2.771505
aa_0_V,2.745165,2.745165
aa_7_K,-2.739361,2.739361
aa_-24_C,2.736195,2.736195
aa_-29_R,2.727881,2.727881
aa_-2_N,-2.722144,2.722144
aa_-13_W,-2.715777,2.715777
aa_22_M,2.713631,2.713631
aa_5_M,2.712127,2.712127
aa_-12_A,-2.709578,2.709578
aa_20_Y,-2.658566,2.658566
aa_23_N,-2.648575,2.648575
aa_25_Y,-2.645615,2.645615
aa_-13_H,-2.593891,2.593891
aa_-7_F,-2.584978,2.584978
aa_-6_F,-2.575465,2.575465
aa_15_W,-2.562751,2.562751
aa_16_W,2.550066,2.550066
aa_0_L,2.542098,2.542098
aa_-4_N,2.535280,2.535280
aa_-14_W,2.523179,2.523179
aa_-7_H,2.516040,2.516040
aa_-16_D,-2.501428,2.501428
aa_3_H,2.485987,2.485987
aa_26_Y,2.449625,2.449625
aa_-1_W,2.442977,2.442977
aa_-1_N,-2.437933,2.437933
aa_-18_C,2.417754,2.417754
aa_2_M,-2.380915,2.380915
aa_27_M,2.352173,2.352173
aa_-3_Y,2.348978,2.348978
aa_17_H,-2.346538,2.346538
aa_7_Q,-2.322034,2.322034
aa_23_M,2.306213,2.306213
aa_-16_Q,2.297493,2.297493
aa_2_H,-2.296990,2.296990
aa_21_W,2.288556,2.288556
aa_8_F,2.281496,2.281496
aa_3_R,-2.270056,2.270056
aa_-20_H,-2.263970,2.263970
aa_-12_P,-2.250727,2.250727
aa_-9_W,-2.234433,2.234433
aa_8_I,2.214872,2.214872
aa_30_M,-2.213539,2.213539
aa_19_D,-2.198209,2.198209
aa_-22_K,2.194841,2.194841
aa_9_C,2.191415,2.191415
aa_4_K,-2.188376,2.188376
aa_9_D,-2.186058,2.186058
aa_2_Q,-2.180615,2.180615
aa_-1_R,-2.167432,2.167432
aa_22_H,-2.157126,2.157126
aa_-21_K,2.132645,2.132645
aa_-21_I,-2.130304,2.130304
aa_6_N,-2.105199,2.105199
aa_-5_M,2.098191,2.098191
aa_-23_N,2.090157,2.090157
aa_-11_F,2.067504,2.067504
aa_-27_Q,-2.060220,2.060220
aa_-1_H,-2.052752,2.052752
aa_-1_A,2.047912,2.047912
aa_-19_H,2.039682,2.039682
aa_-2_A,-2.029819,2.029819
aa_-22_G,-2.015659,2.015659
aa_-8_E,-2.003693,2.003693
aa_23_W,2.001112,2.001112
aa_-4_D,1.991204,1.991204
aa_-3_Q,-1.988506,1.988506
aa_-3_P,1.981870,1.981870
aa_24_Q,-1.949903,1.949903
aa_-23_Q,1.942860,1.942860
aa_-7_W,-1.916204,1.916204
aa_26_D,-1.911995,1.911995
aa_-10_M,1.907495,1.907495
aa_-23_S,1.862520,1.862520
aa_10_R,-1.859046,1.859046
aa_9_H,1.835494,1.835494
aa_-19_R,1.833022,1.833022
aa_-12_H,-1.831175,1.831175
aa_-19_M,-1.828377,1.828377
aa_7_E,-1.828140,1.828140
aa_-1_C,-1.821307,1.821307
aa_-28_R,1.818421,1.818421
aa_14_D,-1.807416,1.807416
aa_4_W,1.805487,1.805487
aa_18_C,1.794645,1.794645
aa_11_H,-1.789673,1.789673
aa_10_Q,-1.787708,1.787708
aa_-21_F,1.785658,1.785658
aa_-30_F,1.775502,1.775502
aa_-11_R,-1.775096,1.775096
aa_7_F,-1.773310,1.773310
aa_-29_S,-1.772283,1.772283
aa_23_G,1.764410,1.764410
aa_-30_S,-1.764355,1.764355
aa_14_H,-1.759383,1.759383
aa_-25_Q,1.758849,1.758849
aa_2_I,1.733466,1.733466
aa_23_C,1.729395,1.729395
aa_-7_Y,-1.710504,1.710504
aa_-24_V,1.705996,1.705996
aa_12_C,1.703953,1.703953
aa_0_Q,-1.702535,1.702535
aa_4_H,1.700429,1.700429
aa_0_K,-1.692104,1.692104
aa_29_D,-1.688912,1.688912
aa_24_N,1.686490,1.686490
aa_-25_T,-1.680616,1.680616
aa_-1_I,1.671830,1.671830
aa_0_H,1.668889,1.668889
aa_0_Y,-1.658969,1.658969
aa_-20_S,-1.640736,1.640736
aa_12_G,-1.640271,1.640271
aa_7_L,1.634490,1.634490
aa_19_W,1.624272,1.624272
aa_-6_G,1.619052,1.619052
aa_6_H,1.610538,1.610538
aa_30_N,-1.598432,1.598432
aa_1_I,1.597719,1.597719
aa_-16_I,1.591170,1.591170
aa_21_R,-1.590191,1.590191
aa_7_D,1.589784,1.589784
aa_23_Y,-1.589728,1.589728
aa_24_T,-1.584107,1.584107
aa_18_P,1.573719,1.573719
aa_6_A,1.558575,1.558575
aa_-24_M,1.549959,1.549959
aa_9_Y,1.544649,1.544649
aa_-29_Q,1.531297,1.531297
aa_-20_D,1.528824,1.528824
aa_30_R,-1.526744,1.526744
aa_-24_H,-1.511792,1.511792
aa_-30_H,-1.502436,1.502436
aa_-26_C,-1.501398,1.501398
aa_6_D,-1.500605,1.500605
aa_-8_M,-1.496469,1.496469
aa_5_K,-1.487539,1.487539
aa_-25_I,-1.485798,1.485798
aa_9_S,1.478913,1.478913
aa_-21_H,-1.471797,1.471797
aa_17_S,1.470970,1.470970
aa_16_D,-1.468696,1.468696
aa_-22_Y,1.468480,1.468480
aa_21_D,-1.466395,1.466395
aa_-29_C,1.465712,1.465712
aa_4_D,-1.463992,1.463992
aa_-27_F,1.457045,1.457045
aa_24_E,1.447482,1.447482
aa_-22_E,-1.446871,1.446871
aa_24_P,1.439283,1.439283
aa_-20_P,1.432552,1.432552
