protein,seq_len,n_long_range_contacts,anchor_positions,n_anchors_steered,steering_mode,alpha,P_L5,P_L2,P_L,kl_div,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1A8LA,226,355,"[137, 25, 27]",3,direct,0.0,0.9777777777777777,0.8495575221238938,0.6902654867256637,0.0,0.9061628580093384,0.8950357437133789,0.5695821642875671,2.0255627632141113,0.2590174435839938
1A8LA,226,355,"[137, 25, 27]",3,direct,0.5,0.9777777777777777,0.8495575221238938,0.6858407079646017,0.002915370976552367,0.6230695247650146,0.51141357421875,0.3139338791370392,3.8395891189575195,0.4909848147224113
1A8LA,226,355,"[137, 25, 27]",3,direct,1.0,0.9777777777777777,0.8761061946902655,0.6858407079646017,0.010781221091747284,0.5183806419372559,0.11767128854990005,0.24728941917419434,4.650917053222656,0.5947328156523753
1A8LA,226,355,"[137, 25, 27]",3,direct,2.0,0.9777777777777777,0.8938053097345132,0.6858407079646017,0.017244655638933182,0.5757257342338562,0.0025994284078478813,0.2836105525493622,4.4985809326171875,0.5752529391255572
1A8LA,226,355,"[137, 25, 27]",3,direct,4.0,0.9777777777777777,0.8938053097345132,0.6814159292035398,0.019469553604722023,0.5766075849533081,1.7495266320111114e-06,0.28565850853919983,4.463966369628906,0.5708266257183267
1A8LA,226,355,"[137, 25, 27]",3,direct,8.0,0.9777777777777777,0.8938053097345132,0.6814159292035398,0.031501974910497665,0.5766082406044006,3.784426765018889e-12,0.2851009666919708,4.458498001098633,0.5701273618579271
1A8LA,226,355,"[137, 25, 27]",3,direct,10.0,0.9777777777777777,0.8849557522123894,0.6415929203539823,0.05011747032403946,0.5766082406044006,6.89669133434323e-15,0.2845238149166107,4.4584832191467285,0.5701254716260059
1A8LA,226,355,"[137, 25, 27]",3,direct,12.0,0.8888888888888888,0.8495575221238938,0.6415929203539823,0.09281402081251144,0.5766082406044006,1.360071704419492e-17,0.28398776054382324,4.458706855773926,0.5701540690057171
1A8LA,226,355,"[137, 25, 27]",3,direct,14.0,0.9555555555555556,0.8230088495575221,0.6238938053097345,0.19108189642429352,0.5766082406044006,2.864436957743917e-20,0.2835730016231537,4.458934783935547,0.5701832151624375
1A8LA,226,355,"[137, 25, 27]",3,direct,16.0,0.8666666666666667,0.7256637168141593,0.5619469026548672,0.2959946393966675,0.5766082406044006,6.369087506089128e-23,0.28330567479133606,4.459090232849121,0.5702030930852219
1A8LA,226,355,"[137, 25, 27]",3,direct,32.0,0.35555555555555557,0.23008849557522124,0.168141592920354,1.441220998764038,0.5766082406044006,9.949219096706201e-44,0.2832925319671631,4.458938121795654,0.5701836419890004
1ATGA,231,445,"[160, 3, 209]",3,direct,0.0,0.9565217391304348,0.8434782608695652,0.7445887445887446,0.0,0.7938668727874756,0.7935847043991089,0.5175890922546387,2.67392635345459,0.34055168337019964
