protein,selected_radius
1BS0A,53
1DZ3A,20
1F5VA,36
1IKTA,20
1JX6A,20
1NOXA,20
1OOEA,20
1OPCA,22
1SBYA,34
1TIQA,21
1VKCA,20
1XG5A,31
1YKIA,20
1Z4EA,20
1ZMTA,37
2B06A,20
2B0VA,20
2DSCA,20
2FL4A,20
2FVYA,20
2FWMX,30
2GKGA,20
2HXTA,63
2OB0A,20
2OZTA,20
2PC1A,25
2PGEA,20
2PGWA,20
2Q7WA,52
2QR3A,20
2R01A,37
2RDMA,20
2W8TA,61
2WZVA,34
2YYHA,20
3BM1A,36
3CG4A,20
3D02A,20
3EKGA,20
3G0TA,51
3G7QA,20
3GEMA,20
3GWYA,20
3H5IA,20
3H75A,20
3H7AA,41
3HDOA,20
3HOIA,20
3HV2A,20
3I6EA,20
3I7UA,20
3KYJB,20
3KZVA,30
3LY1A,46
3N77A,20
3QSJA,20
3RQIA,27
3TCVA,33
3UCEA,32
3V5CA,20
4DQ6A,42
4E0AA,22
4KEMA,51
4M85A,22
4O5OA,26
4O6VA,31
4PE6A,20
4QLXA,35
4RY0A,20
4UHTA,20
4WBTA,20
4WT7A,20
4ZYLA,20
5BONA,20
5C7QA,20
5HKOA,20
5ICVA,26
5IDYA,42
5ISVA,20
