step,kept,dropped,detail
assembly_collapse,4hy1-assembly1cifgz,4hy1-assembly2cifgz,pdb=4hy1
assembly_collapse,4hym-assembly1cifgz,4hym-assembly2cifgz,pdb=4hym
assembly_collapse,4hxz-assembly1cifgz,4hxz-assembly2cifgz,pdb=4hxz
assembly_collapse,3zkb-assembly1cifgz,3zkb-assembly5cifgz;3zkb-assembly4cifgz;3zkb-assembly7cifgz;3zkb-assembly6cifgz;3zkb-assembly3cifgz;3zkb-assembly8cifgz,pdb=3zkb
assembly_collapse,3zkd-assembly1cifgz,3zkd-assembly4cifgz;3zkd-assembly2cifgz;3zkd-assembly3cifgz,pdb=3zkd
assembly_collapse,3zm7-assembly1cifgz,3zm7-assembly4cifgz;3zm7-assembly3cifgz,pdb=3zm7
assembly_collapse,7pqm-assembly2cifgz,7pqm-assembly1cifgz,pdb=7pqm
assembly_collapse,4kqv-assembly1cifgz,4kqv-assembly2cifgz,pdb=4kqv
assembly_collapse,1mx0-assembly3cifgz,1mx0-assembly1cifgz,pdb=1mx0
assembly_collapse,4b6c-assembly2cifgz,4b6c-assembly1cifgz,pdb=4b6c
assembly_collapse,6y8n-assembly1cifgz,6y8n-assembly2cifgz,pdb=6y8n
assembly_collapse,4bae-assembly2cifgz,4bae-assembly1cifgz,pdb=4bae
assembly_collapse,6m1j-assembly1cifgz,6m1j-assembly2cifgz,pdb=6m1j
assembly_collapse,6m1s-assembly2cifgz,6m1s-assembly1cifgz,pdb=6m1s
assembly_collapse,7ptg-assembly1cifgz,7ptg-assembly2cifgz,pdb=7ptg
assembly_collapse,4url-assembly1cifgz,4url-assembly2cifgz,pdb=4url
assembly_collapse,4urm-assembly2cifgz,4urm-assembly1cifgz;4urm-assembly4cifgz,pdb=4urm
assembly_collapse,4uro-assembly1cifgz,4uro-assembly4cifgz;4uro-assembly2cifgz;4uro-assembly3cifgz,pdb=4uro
assembly_collapse,3cwv-assembly1cifgz,3cwv-assembly2cifgz,pdb=3cwv
assembly_collapse,3fv5-assembly2cifgz,3fv5-assembly1cifgz,pdb=3fv5
assembly_collapse,1s14-assembly2cifgz,1s14-assembly1cifgz,pdb=1s14
identity_dedup,6rkw-assembly1cifgz,6j90-assembly1cifgz;4kfg-assembly1cifgz;5mmn-assembly1cifgz;1aj6-assembly1cifgz;5mmo-assembly1cifgz;1kzn-assembly1cifgz;6kzv-assembly1cifgz;5z4h-assembly2cifgz;7dor-assembly1cifgz;6kzz-assembly1cifgz;7p2w-assembly1cifgz;6eng-assembly1cifgz;5z9q-assembly2cifgz;5z9l-assembly2cifgz;4zvi-assembly1cifgz;5l3j-assembly1cifgz,threshold=0.9
identity_dedup,1s16-assembly1cifgz,3fv5-assembly2cifgz;4hz0-assembly2cifgz;1s14-assembly2cifgz,threshold=0.9
identity_dedup,7cmp-assembly2cifgz,3lnu-assembly1cifgz;3lps-assembly1cifgz,threshold=0.9
identity_dedup,4hxz-assembly1cifgz,4hy1-assembly1cifgz;4hym-assembly1cifgz;4kqv-assembly1cifgz,threshold=0.9
identity_dedup,3zkb-assembly1cifgz,3zkd-assembly1cifgz;3zm7-assembly1cifgz,threshold=0.9
identity_dedup,7pqi-assembly1cifgz,7pql-assembly1cifgz;7pqm-assembly2cifgz,threshold=0.9
identity_dedup,1nhi-assembly1cifgz,1nhj-assembly1cifgz;1nhh-assembly1cifgz;1b62-assembly1cifgz,threshold=0.9
identity_dedup,6zt3-assembly1cifgz,6y8o-assembly1cifgz;4b6c-assembly2cifgz;6zt5-assembly1cifgz;4bae-assembly2cifgz,threshold=0.9
identity_dedup,6y8n-assembly1cifgz,6y8l-assembly1cifgz,threshold=0.9
identity_dedup,7ptf-assembly3cifgz,6m1j-assembly1cifgz;6m1s-assembly2cifgz;7ptg-assembly1cifgz,threshold=0.9
identity_dedup,1kij-assembly1cifgz,6enh-assembly1cifgz,threshold=0.9
identity_dedup,4urm-assembly2cifgz,4uro-assembly1cifgz;4p8o-assembly2cifgz;6tck-assembly2cifgz;6ttg-assembly2cifgz;3u2d-assembly2cifgz;5d6p-assembly2cifgz,threshold=0.9
