protein,mode,alpha,head_label,layer,head,anchor_mass,top1_mass,top3_mass,entropy_norm
2B61A,k_only,0.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,k_only,0.0,L15H2,15,2,0.49444036558270454,0.20690900087356567,0.4327196180820465,0.6969516136245287
2B61A,k_only,0.5,L11H16,11,16,0.44931478053331375,0.11631698161363602,0.3420412838459015,0.6752435520188941
2B61A,k_only,0.5,L15H2,15,2,0.4717555530369282,0.19779057800769806,0.41627728939056396,0.7107696840846276
2B61A,k_only,1.0,L11H16,11,16,0.3668569400906563,0.11787672340869904,0.3075850307941437,0.7181952860809526
2B61A,k_only,1.0,L15H2,15,2,0.44828564999625087,0.19045214354991913,0.39857712388038635,0.7246986284987671
2B61A,k_only,2.0,L11H16,11,16,0.2258317992091179,0.14624595642089844,0.2641070783138275,0.7795249073230335
2B61A,k_only,2.0,L15H2,15,2,0.3981152856722474,0.17487949132919312,0.363947331905365,0.7530134963074693
2B61A,k_only,4.0,L11H16,11,16,0.06919985637068748,0.17806559801101685,0.24418184161186218,0.822735105843783
2B61A,k_only,4.0,L15H2,15,2,0.2793103076983243,0.12831543385982513,0.2951941192150116,0.8097150492750035
2B61A,k_only,8.0,L11H16,11,16,0.005237828707322478,0.19094708561897278,0.25908398628234863,0.8229350132543851
2B61A,k_only,8.0,L15H2,15,2,0.06336736807134002,0.1172332689166069,0.18658266961574554,0.8653633553947057
2B61A,k_only,12.0,L11H16,11,16,0.0004394046336528845,0.19187304377555847,0.26033759117126465,0.820873426295885
2B61A,k_only,12.0,L15H2,15,2,0.00899782800115645,0.1333296149969101,0.21115371584892273,0.8626518464895295
2B61A,v_only,0.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,v_only,0.0,L15H2,15,2,0.49444036558270454,0.20690900087356567,0.4327196180820465,0.6969516136245287
2B61A,v_only,0.5,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,v_only,0.5,L15H2,15,2,0.4944789446890354,0.2064184546470642,0.432466983795166,0.6971416593819323
2B61A,v_only,1.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,v_only,1.0,L15H2,15,2,0.4945079227909446,0.20591938495635986,0.43220314383506775,0.6973398953258905
2B61A,v_only,2.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,v_only,2.0,L15H2,15,2,0.49453592114150524,0.20489169657230377,0.43164050579071045,0.697760770626807
2B61A,v_only,4.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,v_only,4.0,L15H2,15,2,0.49446575716137886,0.2029837816953659,0.4303651750087738,0.6987018063472833
2B61A,v_only,8.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,v_only,8.0,L15H2,15,2,0.49369395337998867,0.2033490389585495,0.4270471930503845,0.7010444225641661
2B61A,v_only,12.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,v_only,12.0,L15H2,15,2,0.49164614733308554,0.2033994197845459,0.42210450768470764,0.7042571486002721
2B61A,ln_all,0.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,ln_all,0.0,L15H2,15,2,0.49444036558270454,0.20690900087356567,0.4327196180820465,0.6969516136245287
2B61A,ln_all,0.5,L11H16,11,16,0.17077597230672836,0.15747812390327454,0.24710574746131897,0.7984065745495061
2B61A,ln_all,0.5,L15H2,15,2,0.38270792504772544,0.1673857718706131,0.35326504707336426,0.7618489247023102
2B61A,ln_all,1.0,L11H16,11,16,0.03609990421682596,0.18491069972515106,0.25090309977531433,0.8254969816104931
2B61A,ln_all,1.0,L15H2,15,2,0.2406978642102331,0.10888393968343735,0.27544912695884705,0.8226645699514133
2B61A,ln_all,2.0,L11H16,11,16,0.0014458713994827121,0.19196408987045288,0.2604697644710541,0.8210687650309939
2B61A,ln_all,2.0,L15H2,15,2,0.03848980355542153,0.13389721512794495,0.20252589881420135,0.8619903914230111
2B61A,ln_all,4.0,L11H16,11,16,5.182980714835139e-06,0.1925094723701477,0.26123711466789246,0.8196931479831217
2B61A,ln_all,4.0,L15H2,15,2,0.0008050914111663587,0.13779905438423157,0.20283780992031097,0.8639897998223608
2B61A,ln_all,8.0,L11H16,11,16,2.546917230936141e-09,0.19299469888210297,0.2620675265789032,0.8189300677446584
2B61A,ln_all,8.0,L15H2,15,2,2.1176423814495138e-06,0.13197040557861328,0.19160287082195282,0.8667239292427834
2B61A,ln_all,12.0,L11H16,11,16,6.863968586741884e-12,0.19322553277015686,0.26278427243232727,0.8183809352366054
2B61A,ln_all,12.0,L15H2,15,2,1.7127801232863504e-08,0.11142154037952423,0.17020326852798462,0.8817522529841249
1PVGA,k_only,0.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,k_only,0.0,L13H18,13,18,0.5225002504885197,0.2392539083957672,0.4241706430912018,0.6829956306345566
1PVGA,k_only,0.0,L14H9,14,9,0.5140939131379128,0.29598385095596313,0.4944475591182709,0.6470331759605592
1PVGA,k_only,0.5,L11H16,11,16,0.6535899043083191,0.6535899043083191,0.7442916035652161,0.33824738437767576
1PVGA,k_only,0.5,L13H18,13,18,0.45780298858880997,0.21049271523952484,0.37489110231399536,0.7284068698212313
1PVGA,k_only,0.5,L14H9,14,9,0.46591843105852604,0.2769295871257782,0.44853922724723816,0.6824938961847438
1PVGA,k_only,1.0,L11H16,11,16,0.6040284633636475,0.6040284633636475,0.7110235691070557,0.3757436010690418
1PVGA,k_only,1.0,L13H18,13,18,0.39416662603616714,0.18073923885822296,0.32485929131507874,0.7706230430026803
1PVGA,k_only,1.0,L14H9,14,9,0.41658530849963427,0.2550934851169586,0.4014035165309906,0.7175839834951178
1PVGA,k_only,2.0,L11H16,11,16,0.4990450143814087,0.4990450143814087,0.6434455513954163,0.44899584501587547
1PVGA,k_only,2.0,L13H18,13,18,0.2789357826113701,0.12484664469957352,0.2315005660057068,0.8399024832607868
1PVGA,k_only,2.0,L14H9,14,9,0.31900020223110914,0.20550942420959473,0.3077702224254608,0.7829516255411495
1PVGA,k_only,4.0,L11H16,11,16,0.2857547104358673,0.2857547104358673,0.5171339511871338,0.5711431844428749
1PVGA,k_only,4.0,L13H18,13,18,0.12653217278420925,0.05271501839160919,0.13352429866790771,0.912362970312249
1PVGA,k_only,4.0,L14H9,14,9,0.16106266202405095,0.11031296849250793,0.16598667204380035,0.8737853302365042
1PVGA,k_only,8.0,L11H16,11,16,0.04052458703517914,0.2390361726284027,0.3896901607513428,0.6516704683869015
1PVGA,k_only,8.0,L13H18,13,18,0.026112594176083803,0.05326139181852341,0.09050624817609787,0.939508435971003
1PVGA,k_only,8.0,L14H9,14,9,0.030631301109679043,0.022822313010692596,0.06540006399154663,0.9232186594036362
1PVGA,k_only,12.0,L11H16,11,16,0.00371745927259326,0.25480183959007263,0.4085022211074829,0.6491016668619267
1PVGA,k_only,12.0,L13H18,13,18,0.0066064711136277765,0.054286468774080276,0.09241761267185211,0.9398556305149686
1PVGA,k_only,12.0,L14H9,14,9,0.006223911041161045,0.023761538788676262,0.06580722332000732,0.9254275614738883
1PVGA,v_only,0.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,v_only,0.0,L13H18,13,18,0.5225002504885197,0.2392539083957672,0.4241706430912018,0.6829956306345566
1PVGA,v_only,0.0,L14H9,14,9,0.5140939131379128,0.29598385095596313,0.4944475591182709,0.6470331759605592
1PVGA,v_only,0.5,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,v_only,0.5,L13H18,13,18,0.5143895335495472,0.23075491189956665,0.4156641960144043,0.6898482323490758
1PVGA,v_only,0.5,L14H9,14,9,0.5096391718834639,0.2926253378391266,0.48919084668159485,0.6513669195923902
1PVGA,v_only,1.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,v_only,1.0,L13H18,13,18,0.5055559575557709,0.22159957885742188,0.4065019488334656,0.697183346859633
1PVGA,v_only,1.0,L14H9,14,9,0.5045150257647038,0.2887560725212097,0.4832598865032196,0.656238979055007
1PVGA,v_only,2.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,v_only,2.0,L13H18,13,18,0.4859055355191231,0.20144252479076385,0.38638627529144287,0.7130394588223209
1PVGA,v_only,2.0,L14H9,14,9,0.49278618954122066,0.2798175513744354,0.4699227809906006,0.6670686011743236
1PVGA,v_only,4.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,v_only,4.0,L13H18,13,18,0.4400367960333824,0.15462803840637207,0.34040239453315735,0.7476170782237941
1PVGA,v_only,4.0,L14H9,14,9,0.46820046566426754,0.2602558732032776,0.44212886691093445,0.6887197405560948
1PVGA,v_only,8.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,v_only,8.0,L13H18,13,18,0.33000379614531994,0.13995744287967682,0.2614356577396393,0.8148659232626189
1PVGA,v_only,8.0,L14H9,14,9,0.4512785039842129,0.23809204995632172,0.41620346903800964,0.7034482369265435
1PVGA,v_only,12.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,v_only,12.0,L13H18,13,18,0.21157807856798172,0.12948831915855408,0.19911056756973267,0.877128967030023
1PVGA,v_only,12.0,L14H9,14,9,0.21015417203307152,0.08628750592470169,0.17677029967308044,0.8666261130248771
1PVGA,ln_all,0.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,ln_all,0.0,L13H18,13,18,0.5225002504885197,0.2392539083957672,0.4241706430912018,0.6829956306345566
1PVGA,ln_all,0.0,L14H9,14,9,0.5140939131379128,0.29598385095596313,0.4944475591182709,0.6470331759605592
1PVGA,ln_all,0.5,L11H16,11,16,0.4312232434749603,0.4312232434749603,0.6018620729446411,0.49170989188761843
1PVGA,ln_all,0.5,L13H18,13,18,0.21465853974223137,0.08689019829034805,0.18901890516281128,0.8718780602716406
1PVGA,ln_all,0.5,L14H9,14,9,0.2805094178766012,0.18598148226737976,0.27261102199554443,0.8011506982875954
1PVGA,ln_all,1.0,L11H16,11,16,0.17259088158607483,0.18843932449817657,0.45488375425338745,0.6190338526788538
1PVGA,ln_all,1.0,L13H18,13,18,0.0765700601041317,0.05911049619317055,0.1121974065899849,0.9232264356852203
1PVGA,ln_all,1.0,L14H9,14,9,0.12205237150192261,0.08830680698156357,0.13979412615299225,0.8758103396760564
1PVGA,ln_all,2.0,L11H16,11,16,0.009105168282985687,0.2525196075439453,0.405955046415329,0.6501222764385651
1PVGA,ln_all,2.0,L13H18,13,18,0.011110131279565394,0.06788621097803116,0.10819292813539505,0.9308631823011659
1PVGA,ln_all,2.0,L14H9,14,9,0.01508813674445264,0.04271850734949112,0.10506655275821686,0.8906622708260159
1PVGA,ln_all,4.0,L11H16,11,16,2.1627374735544436e-05,0.25666606426239014,0.41086357831954956,0.6463243295603871
1PVGA,ln_all,4.0,L13H18,13,18,0.001184109911264386,0.07193653285503387,0.11357440054416656,0.9272626544026403
1PVGA,ln_all,4.0,L14H9,14,9,0.0008348278956873401,0.05345314368605614,0.1264682412147522,0.8728695361736118
1PVGA,ln_all,8.0,L11H16,11,16,1.7040669986201351e-09,0.2564948499202728,0.41087642312049866,0.6460464096375755
1PVGA,ln_all,8.0,L13H18,13,18,0.0016090099123857726,0.0638464093208313,0.10429280996322632,0.9329097681839867
1PVGA,ln_all,8.0,L14H9,14,9,0.00011300956083326597,0.04830407351255417,0.12114183604717255,0.876837849333537
1PVGA,ln_all,12.0,L11H16,11,16,1.077657060810644e-12,0.2563447654247284,0.41074138879776,0.6460447667611845
1PVGA,ln_all,12.0,L13H18,13,18,0.004519975664628362,0.056039802730083466,0.09671080112457275,0.9350566790517515
1PVGA,ln_all,12.0,L14H9,14,9,0.00010812245538538608,0.09697814285755157,0.17384518682956696,0.7688319791612072
