i,j,tm,seqid,anchor_col_dist,category,pfam_i,pfam_j,hsf_i,hsf_j,set_i,set_j
6won_G,2foi_A,0.6445,0.13333333333333333,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3ged_B,0.8791,0.30049261083743845,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3oig_A,0.8132,0.1588785046728972,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1xg5_C,0.7644,0.22748815165876776,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4dry_C,0.8199,0.28502415458937197,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4fd3_D,0.7194,0.2561576354679803,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2rhc_B,0.8535,0.3222748815165877,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2yut_A,0.7897,0.21965317919075145,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1bdb_A,0.8107,0.2488479262672811,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1mg5_B,0.7297,0.20465116279069767,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4qtz_A,0.6237,0.11,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3gpi_A,0.5046,0.13793103448275862,95,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3ip1_B,0.2592,0.07602339181286549,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4rvu_A,0.2748,0.0440251572327044,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3gaz_B,0.2588,0.07272727272727272,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
