protein,anchor_pos,n_res,top3_mass,max_jump_delta
2QM0A,51,275,0.915256,1.248668
5AJGA,174,329,0.982094,1.247297
3DGTA,192,280,0.863110,1.181966
3C9UA,117,342,0.913938,1.177345
4H3VA,78,390,0.875260,1.167910
4Y1BA,317,425,0.826590,1.108355
2YXZA,85,311,0.949629,1.073763
2XD3A,261,416,0.801260,1.063976
5IDYA,143,267,0.870403,1.047522
1MJ5A,32,302,0.933548,1.036940
3SD7A,32,240,0.850952,1.034745
4O5FA,145,280,0.922018,1.032350
2PEFA,33,373,0.946945,1.018152
5I45A,114,218,0.815197,1.017765
3WMRA,49,315,0.875486,1.008003
4O6VA,137,242,0.889794,1.007953
4R6HA,161,428,0.865477,0.995222
3VQJA,91,219,0.949363,0.989744
1PVGA,101,418,0.838907,0.985391
3QUFA,158,414,0.841133,0.964146
2POKA,454,481,0.844508,0.949874
3UCXA,142,264,0.898150,0.946824
2UYTA,76,489,0.920592,0.946066
3FXQA,239,305,0.890446,0.940582
1Q0RA,26,298,0.896023,0.940412
2FWMX,128,250,0.883068,0.939111
4EHUA,100,276,0.803593,0.934842
3IRVA,141,233,0.800940,0.928327
2I0ZA,410,447,0.913855,0.926708
4WY2A,269,319,0.820953,0.924478
1SZWA,348,379,0.867483,0.923329
1BRTA,26,277,0.892945,0.917763
4EZIA,77,377,0.910835,0.909655
2B61A,62,377,0.885980,0.906859
4O5OA,151,263,0.898862,0.903681
2HFSA,284,332,0.888403,0.896062
1NOXA,142,205,0.874224,0.892020
2R6JA,110,318,0.915278,0.890421
2DEJA,301,350,0.881388,0.886686
3UCEA,112,223,0.931474,0.877640
5BRLA,158,210,0.883953,0.876950
3E48A,137,289,0.895480,0.871170
2DBYA,304,368,0.921968,0.871091
5IDVA,199,279,0.938201,0.870409
2DPMA,190,284,0.959967,0.868004
3OHRA,228,303,0.937595,0.864509
3DJEA,213,438,0.863107,0.853591
4HZIA,196,294,0.955184,0.848733
2PKEA,183,251,0.800357,0.843173
2QQ5A,144,260,0.920997,0.832893
