i,j,tm,seqid,d_aa,d_3di,same_col,same_col_pm2,stratum,pfam_i,pfam_j,set_i,set_j
6won_G,2foi_A,0.6445,0.1333333333333333,0.8709677419354839,0.6129032258064516,1,1,within_pfam,PF13561,PF13561,A_3.40.50.720,A_3.40.50.720
6won_G,2ag5_A,0.8283,0.3004926108374384,0.7741935483870968,0.5806451612903226,1,1,within_pfam,PF13561,PF13561,A_3.40.50.720,A_3.40.50.720
6won_G,3ged_B,0.8791,0.3004926108374384,0.7419354838709677,0.5806451612903226,1,1,within_pfam,PF13561,PF13561,A_3.40.50.720,A_3.40.50.720
6won_G,3u4c_A,0.8648,0.2910798122065727,0.6451612903225806,0.5806451612903226,1,1,within_pfam,PF13561,PF13561,A_3.40.50.720,A_3.40.50.720
6won_G,3oig_A,0.8132,0.1588785046728972,0.8064516129032258,0.5806451612903226,1,1,within_pfam,PF13561,PF13561,A_3.40.50.720,A_3.40.50.720
6won_G,5ovk_A,0.8394,0.3134328358208955,0.7419354838709677,0.5806451612903226,1,1,within_pfam,PF13561,PF13561,A_3.40.50.720,A_3.40.50.720
6won_G,1w6u_A,0.8464,0.2355555555555555,0.8064516129032258,0.3548387096774194,1,1,within_pfam,PF13561,PF13561,A_3.40.50.720,A_3.40.50.720
6won_G,5k9z_B,0.8474,0.3090909090909091,0.8709677419354839,0.5483870967741935,1,1,within_pfam,PF13561,PF13561,A_3.40.50.720,A_3.40.50.720
6won_G,1vl8_B,0.8554,0.2976744186046511,0.8064516129032258,0.41935483870967744,1,1,within_pfam,PF13561,PF13561,A_3.40.50.720,A_3.40.50.720
6won_G,1xg5_C,0.7644,0.2274881516587677,0.7096774193548387,0.5483870967741935,1,1,cross_pfam_same_hsf,PF13561,PF00106,A_3.40.50.720,A_3.40.50.720
6won_G,4dry_C,0.8199,0.2850241545893719,0.6451612903225806,0.3870967741935484,1,1,cross_pfam_same_hsf,PF13561,PF00106,A_3.40.50.720,A_3.40.50.720
6won_G,4fd3_D,0.7194,0.2561576354679803,0.8709677419354839,0.5806451612903226,1,1,cross_pfam_same_hsf,PF13561,PF00106,A_3.40.50.720,A_3.40.50.720
6won_G,2rhc_B,0.8535,0.3222748815165877,0.7741935483870968,0.45161290322580644,1,1,cross_pfam_same_hsf,PF13561,PF00106,A_3.40.50.720,A_3.40.50.720
6won_G,2yut_A,0.7897,0.2196531791907514,0.9032258064516129,0.7096774193548387,1,1,cross_pfam_same_hsf,PF13561,PF00106,A_3.40.50.720,A_3.40.50.720
6won_G,1fmc_B,0.8505,0.3265306122448979,0.8064516129032258,0.45161290322580644,1,1,cross_pfam_same_hsf,PF13561,PF00106,A_3.40.50.720,A_3.40.50.720
6won_G,1bdb_A,0.8107,0.2488479262672811,0.8387096774193549,0.5483870967741935,1,1,cross_pfam_same_hsf,PF13561,PF00106,A_3.40.50.720,A_3.40.50.720
6won_G,3rd5_A,0.556,0.1761658031088082,0.9032258064516129,0.6451612903225806,1,1,cross_pfam_same_hsf,PF13561,PF00106,A_3.40.50.720,A_3.40.50.720
6won_G,1mg5_B,0.7297,0.2046511627906976,0.6774193548387096,0.5483870967741935,1,1,cross_pfam_same_hsf,PF13561,PF00106,A_3.40.50.720,A_3.40.50.720
