protein,seq_len,n_long_range_contacts,anchor_positions,n_anchors_steered,steering_mode,alpha,P_L5,P_L2,P_L,kl_div,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1A8LA,226,355,"[137, 25, 27]",3,projection,0.0,0.9777777777777777,0.8495575221238938,0.6902654867256637,0.0,0.9061628580093384,0.8950357437133789,0.5695821642875671,2.0255627632141113,0.2590174435839938
1A8LA,226,355,"[137, 25, 27]",3,projection,0.5,0.9777777777777777,0.8672566371681416,0.6814159292035398,0.005491757765412331,0.500189483165741,0.3718598783016205,0.17930248379707336,4.33989143371582,0.5549606287239603
1A8LA,226,355,"[137, 25, 27]",3,projection,1.0,0.9777777777777777,0.8938053097345132,0.6858407079646017,0.014078053645789623,0.545478343963623,0.05229544639587402,0.2673521637916565,4.641676902770996,0.5935512377759522
1A8LA,226,355,"[137, 25, 27]",3,projection,2.0,0.9777777777777777,0.8938053097345132,0.6858407079646017,0.017811954021453857,0.5760972499847412,0.0013038578908890486,0.28461048007011414,4.485278129577637,0.5735518523469189
1A8LA,226,355,"[137, 25, 27]",3,projection,4.0,0.9777777777777777,0.8938053097345132,0.6769911504424779,0.020216837525367737,0.5766070485115051,3.363626547070453e-06,0.28617697954177856,4.461619853973389,0.5705265666446411
1A8LA,226,355,"[137, 25, 27]",3,projection,8.0,0.9777777777777777,0.8761061946902655,0.6504424778761062,0.052758775651454926,0.5766082406044006,7.122124418001974e-11,0.2850319445133209,4.458255290985107,0.5700963254692853
1A8LA,226,355,"[137, 25, 27]",3,projection,10.0,0.9111111111111111,0.8672566371681416,0.6371681415929203,0.1055941954255104,0.5766082406044006,3.7702566763053724e-13,0.28423967957496643,4.458539009094238,0.5701326057271279
1A8LA,226,355,"[137, 25, 27]",3,projection,12.0,0.9111111111111111,0.831858407079646,0.6238938053097345,0.20141558349132538,0.5766082406044006,2.1206257575152355e-15,0.28367742896080017,4.458837509155273,0.5701707762168916
1A8LA,226,355,"[137, 25, 27]",3,projection,14.0,0.8666666666666667,0.6106194690265486,0.4823008849557522,0.40241682529449463,0.5766082406044006,1.2545936858917314e-17,0.28337132930755615,4.4590044021606445,0.5701921175450342
1A8LA,226,355,"[137, 25, 27]",3,projection,16.0,0.8444444444444444,0.5663716814159292,0.41150442477876104,0.5412788391113281,0.5766082406044006,7.73473843331491e-20,0.2832455337047577,4.459059715270996,0.5701991906709329
1A8LA,226,355,"[137, 25, 27]",3,projection,32.0,0.2,0.20353982300884957,0.13716814159292035,1.936635971069336,0.5766082406044006,3.30047401307691e-37,0.2834709882736206,4.4587483406066895,0.570159373850141
1ATGA,231,445,"[160, 3, 209]",3,projection,0.0,0.9565217391304348,0.8434782608695652,0.7445887445887446,0.0,0.7938668727874756,0.7935847043991089,0.5175890922546387,2.67392635345459,0.34055168337019964
1ATGA,231,445,"[160, 3, 209]",3,projection,0.5,0.9565217391304348,0.8347826086956521,0.7445887445887446,0.00030891719507053494,0.48473823070526123,0.43602463603019714,0.23888292908668518,4.579904556274414,0.5832973687921681
1ATGA,231,445,"[160, 3, 209]",3,projection,1.0,0.9565217391304348,0.8434782608695652,0.7445887445887446,0.0009781171102076769,0.34596437215805054,0.1527290940284729,0.15293075144290924,5.468888282775879,0.6965184768296631
1ATGA,231,445,"[160, 3, 209]",3,projection,2.0,0.9565217391304348,0.8434782608695652,0.7532467532467533,0.0026195617392659187,0.39273691177368164,0.017776910215616226,0.17652665078639984,5.5236358642578125,0.7034911374678411
1ATGA,231,445,"[160, 3, 209]",3,projection,4.0,0.9565217391304348,0.8347826086956521,0.7575757575757576,0.005366611760109663,0.4006253480911255,0.0008759220945648849,0.1793700009584427,5.4687089920043945,0.6964956423286444
1ATGA,231,445,"[160, 3, 209]",3,projection,8.0,0.9565217391304348,0.8347826086956521,0.7662337662337663,0.008712985552847385,0.401134192943573,4.9391805987397674e-06,0.1790352463722229,5.4557390213012695,0.6948437848081466
1ATGA,231,445,"[160, 3, 209]",3,projection,10.0,0.9565217391304348,0.8695652173913043,0.7705627705627706,0.014349686913192272,0.4011373519897461,4.08506167559608e-07,0.17878460884094238,5.454156875610352,0.6946422824826681
1ATGA,231,445,"[160, 3, 209]",3,projection,12.0,0.9782608695652174,0.8782608695652174,0.7705627705627706,0.028769079595804214,0.4011375904083252,3.522180236359418e-08,0.17857058346271515,5.453367233276367,0.6945417135100966
1ATGA,231,445,"[160, 3, 209]",3,projection,14.0,0.9347826086956522,0.8434782608695652,0.7186147186147186,0.10733892768621445,0.39961278438568115,3.1407070277822413e-09,0.17839893698692322,5.4530158042907715,0.6944969554588979
1ATGA,231,445,"[160, 3, 209]",3,projection,16.0,0.8913043478260869,0.7043478260869566,0.5151515151515151,0.3124361038208008,0.39961278438568115,2.8798699536203287e-10,0.17826491594314575,5.452907085418701,0.6944831090061525
