protein,C0,C7,C7_sub,C8,C8_sub
1F5VA,1.663269300067327e-07,-1.0976010583715214,-0.7949029486521323,-0.6162093978551394,-0.1592510227650838
1NOXA,-1.1513498281434664e-06,-0.9604657171676526,-0.922070047355978,-0.899876834127261,-0.46183993534115314
1OOEA,-4.1262834182820285e-07,-0.6370603218071933,-0.25388749539713085,-0.3003251155441883,-0.14139688269190812
1SBYA,-8.408760610034705e-08,-1.0477863138844026,-1.0444059500726475,-0.32534762433908193,-0.12228941078889392
1YKIA,2.849580884589642e-07,-1.4443268834019891,-0.33959728203175876,-0.6968342177482536,-0.34375321171512097
1ZMTA,8.022607711488661e-08,-1.2599912152445591,-0.11224590897148168,-0.34695285151055677,-0.06055522662863953
2FVYA,-1.0330136799296952e-06,-0.8623732267646479,-0.8152323660971736,-0.8786168655337769,-0.4858206406783405
2FWMX,3.361593691186826e-07,-1.2330778424081517,-0.3486450424308759,-0.15060612055448142,-0.04078918076112867
2OB0A,-3.0074199819374314e-07,-0.05745976617159276,-0.08251247684568563,-0.030516275517864545,-0.06290506093897516
2R01A,7.039963674237981e-07,-1.2430082380774916,-1.2532582051876613,-0.7225331754163149,-0.15688766079717026
3GEMA,2.0717806895609314e-06,-0.8969300311460516,-0.9368266078540276,-0.8106952363647023,-0.6942284835639296
3TCVA,-2.2725766291031846e-07,-0.4454858484759533,-0.14753590197619482,-0.1404538685882565,-0.013256655335347122
3UCEA,1.5939515274343563e-07,-0.5371315790249687,-0.011917577085289066,-0.13259827528068888,-0.06700457177177196
4O5OA,0.0,-0.679613270090884,-0.15133736711993373,-0.1212453114229441,-0.03972083432995248
4O6VA,-1.6333066510387795e-07,-0.10913942869219995,-0.0260708407560315,-0.12555669419713916,-0.0575278572699051
4QLXA,-1.7186397649471274e-07,-1.2573645002925984,-0.5064065734533745,-0.16251360733034229,-0.044393676780575195
4RY0A,9.005010304097283e-08,-0.3479108241034229,-0.07467719964711161,-0.10353835445503519,-0.047122674084633914
4UHTA,-1.8204293872337018e-07,0.002326144670069419,-0.03345393981423794,-0.009817557477099698,-0.007022001436500858
5IDYA,1.1817407203906782e-06,-0.93439847563597,-0.9124190558543639,-0.7283033302777865,-0.3771422860651987
