protein,seq_len,n_long_range_contacts,anchor_positions,n_anchors_steered,alpha,P_L5,P_L2,P_L
1A8LA,226,355,"[137, 25, 27]",3,0.0,0.9777777777777777,0.8495575221238938,0.6902654867256637
1A8LA,226,355,"[137, 25, 27]",3,0.25,0.9777777777777777,0.8495575221238938,0.6902654867256637
1A8LA,226,355,"[137, 25, 27]",3,0.5,0.9777777777777777,0.8672566371681416,0.6814159292035398
1A8LA,226,355,"[137, 25, 27]",3,0.75,0.9777777777777777,0.8761061946902655,0.6858407079646017
1A8LA,226,355,"[137, 25, 27]",3,1.0,0.9777777777777777,0.8938053097345132,0.6858407079646017
1A8LA,226,355,"[137, 25, 27]",3,1.5,0.9777777777777777,0.8938053097345132,0.6858407079646017
1A8LA,226,355,"[137, 25, 27]",3,2.0,0.9777777777777777,0.8938053097345132,0.6858407079646017
1A8LA,226,355,"[137, 25, 27]",3,3.0,0.9777777777777777,0.8938053097345132,0.6814159292035398
1ATGA,231,445,"[160, 3, 209]",3,0.0,0.9565217391304348,0.8434782608695652,0.7445887445887446
1ATGA,231,445,"[160, 3, 209]",3,0.25,0.9565217391304348,0.8434782608695652,0.7402597402597403
1ATGA,231,445,"[160, 3, 209]",3,0.5,0.9565217391304348,0.8347826086956521,0.7445887445887446
1ATGA,231,445,"[160, 3, 209]",3,0.75,0.9565217391304348,0.8434782608695652,0.7402597402597403
1ATGA,231,445,"[160, 3, 209]",3,1.0,0.9565217391304348,0.8434782608695652,0.7445887445887446
1ATGA,231,445,"[160, 3, 209]",3,1.5,0.9565217391304348,0.8434782608695652,0.7489177489177489
1ATGA,231,445,"[160, 3, 209]",3,2.0,0.9565217391304348,0.8434782608695652,0.7532467532467533
1ATGA,231,445,"[160, 3, 209]",3,3.0,0.9565217391304348,0.8434782608695652,0.7575757575757576
1B5QA,472,802,"[428, 30, 261]",3,0.0,0.776595744680851,0.6822033898305084,0.4978813559322034
1B5QA,472,802,"[428, 30, 261]",3,0.25,0.7872340425531915,0.6949152542372882,0.510593220338983
1B5QA,472,802,"[428, 30, 261]",3,0.5,0.7978723404255319,0.6864406779661016,0.5169491525423728
1B5QA,472,802,"[428, 30, 261]",3,0.75,0.8297872340425532,0.6864406779661016,0.5233050847457628
1B5QA,472,802,"[428, 30, 261]",3,1.0,0.8297872340425532,0.6822033898305084,0.5233050847457628
1B5QA,472,802,"[428, 30, 261]",3,1.5,0.851063829787234,0.6949152542372882,0.5211864406779662
1B5QA,472,802,"[428, 30, 261]",3,2.0,0.851063829787234,0.6991525423728814,0.5296610169491526
1B5QA,472,802,"[428, 30, 261]",3,3.0,0.851063829787234,0.6949152542372882,0.5233050847457628
1B63A,333,509,"[57, 291, 99]",3,0.0,0.9696969696969697,0.8554216867469879,0.6066066066066066
1B63A,333,509,"[57, 291, 99]",3,0.25,0.9696969696969697,0.8433734939759037,0.6126126126126126
1B63A,333,509,"[57, 291, 99]",3,0.5,0.9696969696969697,0.8433734939759037,0.6126126126126126
1B63A,333,509,"[57, 291, 99]",3,0.75,0.9696969696969697,0.8493975903614458,0.6156156156156156
1B63A,333,509,"[57, 291, 99]",3,1.0,0.9696969696969697,0.8493975903614458,0.6186186186186187
1B63A,333,509,"[57, 291, 99]",3,1.5,0.9545454545454546,0.8493975903614458,0.6216216216216216
1B63A,333,509,"[57, 291, 99]",3,2.0,0.9545454545454546,0.8554216867469879,0.6126126126126126
1B63A,333,509,"[57, 291, 99]",3,3.0,0.9393939393939394,0.8554216867469879,0.6186186186186187
1BRTA,277,515,"[26, 220, 52]",3,0.0,0.9272727272727272,0.8840579710144928,0.7978339350180506
1BRTA,277,515,"[26, 220, 52]",3,0.25,0.9272727272727272,0.8840579710144928,0.7978339350180506
1BRTA,277,515,"[26, 220, 52]",3,0.5,0.9272727272727272,0.8840579710144928,0.7942238267148014
1BRTA,277,515,"[26, 220, 52]",3,0.75,0.9272727272727272,0.8913043478260869,0.7906137184115524
1BRTA,277,515,"[26, 220, 52]",3,1.0,0.9272727272727272,0.8913043478260869,0.7870036101083032
1BRTA,277,515,"[26, 220, 52]",3,1.5,0.9454545454545454,0.8695652173913043,0.7906137184115524
1BRTA,277,515,"[26, 220, 52]",3,2.0,0.9454545454545454,0.8623188405797102,0.7870036101083032
1BRTA,277,515,"[26, 220, 52]",3,3.0,0.9454545454545454,0.8913043478260869,0.7870036101083032
1BS0A,384,643,"[201, 125, 361]",3,0.0,0.9868421052631579,0.84375,0.6744791666666666
1BS0A,384,643,"[201, 125, 361]",3,0.25,0.9868421052631579,0.8385416666666666,0.6692708333333334
1BS0A,384,643,"[201, 125, 361]",3,0.5,0.9868421052631579,0.84375,0.6692708333333334
1BS0A,384,643,"[201, 125, 361]",3,0.75,0.9868421052631579,0.8385416666666666,0.6744791666666666
1BS0A,384,643,"[201, 125, 361]",3,1.0,0.9868421052631579,0.8385416666666666,0.6770833333333334
1BS0A,384,643,"[201, 125, 361]",3,1.5,0.9868421052631579,0.8333333333333334,0.6744791666666666
1BS0A,384,643,"[201, 125, 361]",3,2.0,1.0,0.8385416666666666,0.671875
1BS0A,384,643,"[201, 125, 361]",3,3.0,1.0,0.8333333333333334,0.6640625
1BYIA,224,411,"[112, 15, 16]",3,0.0,0.9772727272727273,0.8928571428571429,0.7767857142857143
1BYIA,224,411,"[112, 15, 16]",3,0.25,0.9772727272727273,0.9017857142857143,0.7678571428571429
1BYIA,224,411,"[112, 15, 16]",3,0.5,0.9772727272727273,0.9017857142857143,0.7589285714285714
1BYIA,224,411,"[112, 15, 16]",3,0.75,0.9772727272727273,0.9017857142857143,0.7633928571428571
1BYIA,224,411,"[112, 15, 16]",3,1.0,0.9772727272727273,0.9017857142857143,0.7678571428571429
1BYIA,224,411,"[112, 15, 16]",3,1.5,0.9772727272727273,0.9017857142857143,0.7678571428571429
1BYIA,224,411,"[112, 15, 16]",3,2.0,0.9772727272727273,0.9107142857142857,0.7678571428571429
1BYIA,224,411,"[112, 15, 16]",3,3.0,0.9772727272727273,0.9196428571428571,0.7678571428571429
1C3PA,375,716,"[163, 250, 123]",3,0.0,0.8933333333333333,0.8235294117647058,0.7013333333333334
1C3PA,375,716,"[163, 250, 123]",3,0.25,0.8933333333333333,0.8181818181818182,0.7066666666666667
1C3PA,375,716,"[163, 250, 123]",3,0.5,0.8933333333333333,0.8128342245989305,0.704
1C3PA,375,716,"[163, 250, 123]",3,0.75,0.88,0.8074866310160428,0.704
1C3PA,375,716,"[163, 250, 123]",3,1.0,0.88,0.8128342245989305,0.704
1C3PA,375,716,"[163, 250, 123]",3,1.5,0.88,0.8074866310160428,0.696
1C3PA,375,716,"[163, 250, 123]",3,2.0,0.88,0.8128342245989305,0.696
1C3PA,375,716,"[163, 250, 123]",3,3.0,0.88,0.7914438502673797,0.6906666666666667
1COJA,212,244,"[109, 160, 157]",3,0.0,0.7142857142857143,0.6037735849056604,0.49056603773584906
1COJA,212,244,"[109, 160, 157]",3,0.25,0.7619047619047619,0.6037735849056604,0.4811320754716981
1COJA,212,244,"[109, 160, 157]",3,0.5,0.7380952380952381,0.5943396226415094,0.4716981132075472
1COJA,212,244,"[109, 160, 157]",3,0.75,0.7380952380952381,0.6037735849056604,0.46226415094339623
