protein,k,actual_k,M_score,M_score_frac,M_attn,M_attn_frac,score_rank,attn_rank
3R6DA,1,1,4.628307,0.5500,0.007729,0.0079,16,15
3R6DA,2,2,4.160514,0.4944,0.004407,0.0045,25,23
3R6DA,5,5,4.560916,0.5420,0.006573,0.0067,27,23
3R6DA,10,10,2.402448,0.2855,0.001951,0.0020,40,48
3R6DA,20,20,3.908653,0.4645,0.005385,0.0055,33,29
3R6DA,50,50,4.872922,0.5791,0.015060,0.0154,25,16
3R6DA,100,100,1.779343,0.2114,0.007763,0.0079,46,31
3R6DA,200,200,-0.928314,-0.1103,0.005775,0.0059,107,19
3R6DA,500,500,-0.262075,-0.0311,0.012546,0.0128,88,10
2WAWA,1,1,0.603183,0.0768,0.926486,0.9531,1,1
2WAWA,2,2,1.284822,0.1635,0.952929,0.9804,1,1
2WAWA,5,5,1.622267,0.2064,0.961343,0.9890,1,1
2WAWA,10,10,2.825697,0.3596,0.976469,1.0046,1,1
2WAWA,20,20,3.688847,0.4694,0.981561,1.0098,1,1
2WAWA,50,50,5.427955,0.6907,0.961486,0.9892,1,1
2WAWA,100,100,2.379387,0.3028,0.538077,0.5536,1,1
2WAWA,200,200,-0.290881,-0.0370,0.273188,0.2810,110,1
2WAWA,500,500,2.033285,0.2587,0.165431,0.1702,4,1
1H4XA,1,1,1.585310,0.1824,0.028605,0.0288,21,6
1H4XA,2,2,1.419548,0.1634,0.032960,0.0332,28,4
1H4XA,5,5,2.232202,0.2569,0.070477,0.0711,4,3
1H4XA,10,10,1.689312,0.1944,0.038006,0.0383,15,5
1H4XA,20,20,2.048377,0.2357,0.075595,0.0762,11,1
1H4XA,50,50,1.747023,0.2010,0.111779,0.1127,14,1
1H4XA,100,100,0.869471,0.1001,0.090122,0.0909,54,2
1H4XA,200,200,0.652578,0.0751,0.063664,0.0642,27,3
1H4XA,500,500,4.046713,0.4657,0.355484,0.3585,1,1
2D2EA,1,1,-9.650737,-1.0129,0.000160,0.0002,42,134
2D2EA,2,2,-7.182845,-0.7539,0.000214,0.0002,94,201
2D2EA,5,5,-3.335771,-0.3501,0.000647,0.0007,40,48
2D2EA,10,10,0.440321,0.0462,0.004674,0.0053,28,23
2D2EA,20,20,2.158922,0.2266,0.042798,0.0485,3,2
2D2EA,50,50,1.965957,0.2063,0.020362,0.0231,10,8
2D2EA,100,100,1.390783,0.1460,0.007628,0.0086,60,30
2D2EA,200,200,0.592223,0.0622,0.007676,0.0087,88,14
2D2EA,500,500,1.341051,0.1407,0.007908,0.0090,79,17
1CUKA,1,1,-3.948218,-0.4894,0.000327,0.0004,40,51
1CUKA,2,2,-4.616390,-0.5722,0.000522,0.0006,51,49
1CUKA,5,5,-4.492657,-0.5569,0.000309,0.0003,44,46
1CUKA,10,10,-2.673142,-0.3313,0.000460,0.0005,39,52
1CUKA,20,20,-0.611384,-0.0758,0.001175,0.0013,40,45
1CUKA,50,50,-0.739224,-0.0916,0.001174,0.0013,40,49
1CUKA,100,100,1.667539,0.2067,0.001628,0.0018,92,128
1CUKA,200,200,0.980919,0.1216,0.002265,0.0025,134,115
1CUKA,500,500,1.292059,0.1602,0.002985,0.0033,113,119
2A61A,1,1,3.068576,0.4008,0.505999,0.7578,1,1
2A61A,2,2,2.364193,0.3088,0.322996,0.4837,1,1
2A61A,5,5,2.786323,0.3639,0.182888,0.2739,1,1
2A61A,10,10,2.314270,0.3023,0.153290,0.2296,1,1
2A61A,20,20,2.199478,0.2873,0.419841,0.6288,1,1
2A61A,50,50,3.472689,0.4535,0.573704,0.8592,1,1
2A61A,100,100,3.951803,0.5161,0.568287,0.8511,1,1
2A61A,200,200,3.344340,0.4368,0.230225,0.3448,1,1
2A61A,500,500,1.479123,0.1932,0.025816,0.0387,35,8
4Q27A,1,1,-1.789348,-0.2569,0.001873,0.0019,35,57
4Q27A,2,2,-1.441732,-0.2070,0.001307,0.0013,41,79
4Q27A,5,5,-1.109640,-0.1593,0.001036,0.0011,50,109
4Q27A,10,10,-0.612884,-0.0880,0.001816,0.0018,45,85
4Q27A,20,20,0.876216,0.1258,0.044302,0.0451,3,3
4Q27A,50,50,0.819070,0.1176,0.009542,0.0097,15,11
4Q27A,100,100,-1.327699,-0.1906,0.008819,0.0090,114,28
4Q27A,200,200,0.608719,0.0874,0.010531,0.0107,58,16
4Q27A,500,500,3.605343,0.5177,0.186408,0.1899,1,2
4TL6A,1,1,1.633970,0.1803,0.011384,0.0116,11,8
4TL6A,2,2,1.368956,0.1510,0.007998,0.0082,15,13
4TL6A,5,5,2.229066,0.2459,0.011181,0.0114,15,14
4TL6A,10,10,2.740585,0.3024,0.018140,0.0185,15,15
4TL6A,20,20,4.001261,0.4415,0.251769,0.2567,1,1
4TL6A,50,50,4.745480,0.5236,0.228343,0.2328,1,1
4TL6A,100,100,3.769871,0.4160,0.221317,0.2256,1,1
4TL6A,200,200,-0.059034,-0.0065,0.120427,0.1228,170,1
4TL6A,500,500,2.067142,0.2281,0.041942,0.0428,31,4
1WKCA,1,1,-0.776949,-0.1076,0.894608,0.9232,1,1
1WKCA,2,2,-0.711989,-0.0986,0.907123,0.9361,1,1
1WKCA,5,5,0.048091,0.0067,0.916446,0.9458,1,1
1WKCA,10,10,1.671685,0.2315,0.927861,0.9575,1,1
1WKCA,20,20,1.201757,0.1664,0.853901,0.8812,1,1
1WKCA,50,50,1.430519,0.1981,0.803317,0.8290,1,1
1WKCA,100,100,1.380065,0.1911,0.457309,0.4719,1,1
1WKCA,200,200,2.516924,0.3485,0.318730,0.3289,2,1
1WKCA,500,500,0.902786,0.1250,0.035164,0.0363,22,5
2DBYA,1,1,-3.595155,-0.3433,0.009926,0.0104,13,12
2DBYA,2,2,-3.112817,-0.2972,0.014728,0.0154,9,8
2DBYA,5,5,-2.523336,-0.2409,0.026495,0.0278,7,7
2DBYA,10,10,-1.318315,-0.1259,0.361113,0.3783,1,1
2DBYA,20,20,-0.875691,-0.0836,0.548835,0.5750,1,1
2DBYA,50,50,1.319266,0.1260,0.405532,0.4248,1,1
2DBYA,100,100,-0.778311,-0.0743,0.006258,0.0066,10,10
2DBYA,200,200,1.571481,0.1501,0.008523,0.0089,69,25
2DBYA,500,500,1.869980,0.1786,0.019873,0.0208,158,7
3ME7A,1,1,-0.112143,-0.0158,0.021812,0.0229,11,7
3ME7A,2,2,0.039091,0.0055,0.024529,0.0257,10,6
3ME7A,5,5,-0.053327,-0.0075,0.024232,0.0254,9,6
3ME7A,10,10,1.366074,0.1924,0.112173,0.1176,3,2
3ME7A,20,20,3.001221,0.4227,0.110377,0.1157,2,2
3ME7A,50,50,3.767614,0.5306,0.194891,0.2043,2,2
3ME7A,100,100,0.629877,0.0887,0.027657,0.0290,107,9
3ME7A,200,200,0.429997,0.0606,0.008561,0.0090,95,29
3ME7A,500,500,0.365200,0.0514,0.005174,0.0054,31,25
5AUNB,1,1,-2.218411,-0.2552,0.975904,1.0186,1,1
5AUNB,2,2,-1.860859,-0.2141,0.981149,1.0241,1,1
5AUNB,5,5,-1.042026,-0.1199,0.907008,0.9467,1,1
5AUNB,10,10,-0.131964,-0.0152,0.891788,0.9308,1,1
5AUNB,20,20,0.600696,0.0691,0.146547,0.1530,2,2
5AUNB,50,50,3.611520,0.4155,0.113897,0.1189,2,2
5AUNB,100,100,3.349341,0.3853,0.048324,0.0504,3,4
5AUNB,200,200,3.498945,0.4025,0.135852,0.1418,1,2
5AUNB,500,500,2.653232,0.3052,0.056775,0.0593,2,3
1KMVA,1,1,-1.690647,-0.2012,0.000859,0.0009,54,126
1KMVA,2,2,-1.027439,-0.1223,0.000779,0.0008,71,156
1KMVA,5,5,-0.509444,-0.0606,0.000713,0.0007,88,168
1KMVA,10,10,-0.335813,-0.0400,0.000527,0.0005,96,175
1KMVA,20,20,-0.013956,-0.0017,0.000362,0.0004,108,186
1KMVA,50,50,0.345970,0.0412,0.000924,0.0009,69,164
1KMVA,100,100,0.500538,0.0596,0.001613,0.0016,60,143
1KMVA,200,200,-0.671455,-0.0799,0.002744,0.0028,159,99
1KMVA,500,500,2.972132,0.3537,0.032805,0.0330,5,6
3WNZA,1,1,-12.563215,-1.4823,0.000032,0.0000,20,15
3WNZA,2,2,-12.785904,-1.5086,0.000021,0.0000,10,9
3WNZA,5,5,-11.768087,-1.3885,0.000040,0.0000,22,17
3WNZA,10,10,-11.265524,-1.3292,0.000045,0.0000,27,23
3WNZA,20,20,-9.987996,-1.1785,0.000076,0.0001,35,34
3WNZA,50,50,-8.319777,-0.9816,0.000077,0.0001,43,45
3WNZA,100,100,-5.445161,-0.6425,0.000075,0.0001,83,251
3WNZA,200,200,0.677016,0.0799,0.000173,0.0002,127,372
3WNZA,500,500,-0.474088,-0.0559,0.000318,0.0003,139,294
3VPBA,1,1,-14.665613,-1.9160,0.000218,0.0003,19,27
3VPBA,2,2,-14.526143,-1.8978,0.000172,0.0002,23,52
3VPBA,5,5,-12.648924,-1.6525,0.000160,0.0002,41,227
3VPBA,10,10,-12.871287,-1.6816,0.000190,0.0002,35,150
3VPBA,20,20,-8.495349,-1.1099,0.000586,0.0007,56,57
3VPBA,50,50,-7.564976,-0.9883,0.000643,0.0008,61,56
3VPBA,100,100,-4.925332,-0.6435,0.000533,0.0006,50,57
3VPBA,200,200,0.484003,0.0632,0.000978,0.0012,84,178
3VPBA,500,500,1.150319,0.1503,0.001788,0.0021,78,115
1G3QA,1,1,-1.309669,-0.1518,0.556109,0.5796,1,1
1G3QA,2,2,-0.874078,-0.1013,0.643669,0.6709,1,1
1G3QA,5,5,0.680269,0.0789,0.713932,0.7441,1,1
1G3QA,10,10,2.318168,0.2688,0.273349,0.2849,2,2
1G3QA,20,20,4.484088,0.5199,0.647409,0.6748,1,1
1G3QA,50,50,4.481546,0.5196,0.466489,0.4862,1,1
1G3QA,100,100,4.598997,0.5332,0.480799,0.5011,1,1
1G3QA,200,200,1.113421,0.1291,0.023669,0.0247,134,11
1G3QA,500,500,2.296308,0.2662,0.069344,0.0723,14,2
4XRAA,1,1,1.273768,0.1620,0.319675,0.3266,2,1
4XRAA,2,2,1.444207,0.1837,0.335163,0.3424,2,1
4XRAA,5,5,2.001039,0.2545,0.473988,0.4843,1,1
4XRAA,10,10,2.289942,0.2912,0.517518,0.5287,1,1
4XRAA,20,20,2.600960,0.3308,0.566569,0.5789,1,1
4XRAA,50,50,2.462403,0.3131,0.186057,0.1901,2,2
4XRAA,100,100,-2.287137,-0.2909,0.003087,0.0032,183,60
4XRAA,200,200,-3.014587,-0.3834,0.001281,0.0013,160,95
4XRAA,500,500,0.907639,0.1154,0.007053,0.0072,41,31
4MZCA,1,1,0.301938,0.0414,0.024391,0.0250,17,9
4MZCA,2,2,0.117114,0.0161,0.017447,0.0179,18,12
4MZCA,5,5,0.337882,0.0463,0.024841,0.0255,16,9
4MZCA,10,10,0.253990,0.0348,0.028978,0.0297,15,2
4MZCA,20,20,-0.174631,-0.0239,0.035317,0.0362,30,2
4MZCA,50,50,-0.532254,-0.0730,0.034052,0.0349,52,3
4MZCA,100,100,-1.043869,-0.1432,0.020179,0.0207,82,6
4MZCA,200,200,-0.498541,-0.0684,0.037220,0.0382,22,3
4MZCA,500,500,2.901155,0.3979,0.201168,0.2064,1,2
2YC3A,1,1,0.699951,0.0848,0.841766,0.8655,1,1
2YC3A,2,2,-0.143182,-0.0174,0.534915,0.5500,1,1
2YC3A,5,5,2.603436,0.3155,0.684870,0.7042,1,1
2YC3A,10,10,3.750483,0.4545,0.741856,0.7627,1,1
2YC3A,20,20,4.602254,0.5577,0.889833,0.9149,1,1
2YC3A,50,50,6.419583,0.7780,0.956586,0.9835,1,1
2YC3A,100,100,6.181367,0.7491,0.817390,0.8404,1,1
2YC3A,200,200,1.507251,0.1827,0.319016,0.3280,41,1
2YC3A,500,500,2.698881,0.3271,0.227136,0.2335,2,1
4WBJA,1,1,3.154410,0.4349,0.054572,0.0564,29,3
4WBJA,2,2,3.338011,0.4602,0.040626,0.0420,18,4
4WBJA,5,5,3.103800,0.4279,0.014515,0.0150,29,14
4WBJA,10,10,2.700770,0.3723,0.008883,0.0092,36,27
4WBJA,20,20,3.034820,0.4184,0.010511,0.0109,20,22
4WBJA,50,50,1.880310,0.2592,0.007212,0.0075,30,40
4WBJA,100,100,2.295383,0.3164,0.023474,0.0243,4,7
4WBJA,200,200,0.422224,0.0582,0.009263,0.0096,48,33
4WBJA,500,500,-0.331190,-0.0457,0.002399,0.0025,44,36
5HEEA,1,1,-4.591165,-0.6117,0.000645,0.0007,10,11
5HEEA,2,2,-4.064262,-0.5415,0.000340,0.0004,29,38
5HEEA,5,5,-3.422705,-0.4560,0.000800,0.0008,12,15
5HEEA,10,10,-1.912607,-0.2548,0.000836,0.0009,23,28
5HEEA,20,20,-1.863418,-0.2483,0.000573,0.0006,29,33
5HEEA,50,50,-1.290268,-0.1719,0.000696,0.0007,42,46
5HEEA,100,100,2.228191,0.2968,0.004878,0.0051,6,43
5HEEA,200,200,2.806192,0.3739,0.006784,0.0071,75,20
5HEEA,500,500,1.621315,0.2160,0.005544,0.0058,32,48
2XWLA,1,1,-0.619997,-0.0784,0.902358,0.9386,1,1
2XWLA,2,2,-1.502076,-0.1899,0.260169,0.2706,2,2
2XWLA,5,5,1.833312,0.2318,0.568275,0.5911,1,1
2XWLA,10,10,2.635879,0.3332,0.579119,0.6023,1,1
2XWLA,20,20,3.821389,0.4831,0.777144,0.8083,1,1
2XWLA,50,50,4.415578,0.5582,0.808996,0.8414,1,1
2XWLA,100,100,3.742046,0.4731,0.565476,0.5882,1,1
2XWLA,200,200,-0.166947,-0.0211,0.191376,0.1991,118,1
2XWLA,500,500,3.243824,0.4101,0.258936,0.2693,1,1
2A35A,1,1,0.094334,0.0131,0.879846,1.0918,1,1
2A35A,2,2,-0.244763,-0.0340,0.666356,0.8269,1,1
2A35A,5,5,0.277448,0.0385,0.049325,0.0612,6,6
2A35A,10,10,1.112030,0.1544,0.021226,0.0263,8,7
2A35A,20,20,3.612611,0.5017,0.249949,0.3102,1,1
2A35A,50,50,0.574911,0.0798,0.003575,0.0044,45,52
2A35A,100,100,0.392077,0.0544,0.007883,0.0098,51,35
2A35A,200,200,0.247340,0.0343,0.002367,0.0029,117,99
2A35A,500,500,0.817973,0.1136,0.016037,0.0199,54,14
4XABA,1,1,-0.837497,-0.1054,0.002713,0.0029,36,38
4XABA,2,2,0.586484,0.0738,0.010610,0.0114,8,9
4XABA,5,5,0.525908,0.0662,0.013081,0.0141,10,11
4XABA,10,10,-1.138576,-0.1432,0.006398,0.0069,9,8
4XABA,20,20,-0.173517,-0.0218,0.012614,0.0136,9,6
4XABA,50,50,1.287963,0.1620,0.019484,0.0210,6,6
4XABA,100,100,1.685884,0.2121,0.019220,0.0207,10,12
4XABA,200,200,1.383641,0.1741,0.004490,0.0048,28,32
4XABA,500,500,1.493471,0.1879,0.000981,0.0011,110,177
2OMKA,1,1,-5.881321,-0.7885,0.003528,0.0037,2,2
2OMKA,2,2,-5.386025,-0.7221,0.001148,0.0012,6,6
2OMKA,5,5,-5.113559,-0.6856,0.000194,0.0002,9,25
2OMKA,10,10,-3.637894,-0.4877,0.001047,0.0011,7,8
2OMKA,20,20,-1.156344,-0.1550,0.002828,0.0029,9,10
2OMKA,50,50,-0.449987,-0.0603,0.001609,0.0017,23,45
2OMKA,100,100,-0.235274,-0.0315,0.000679,0.0007,37,123
2OMKA,200,200,-2.354256,-0.3156,0.000246,0.0003,207,184
2OMKA,500,500,-0.173750,-0.0233,0.001693,0.0018,185,107
4L9NA,1,1,2.380777,0.3287,0.236719,0.3307,1,1
4L9NA,2,2,1.418926,0.1959,0.101642,0.1420,2,2
4L9NA,5,5,1.486194,0.2052,0.090590,0.1266,6,2
4L9NA,10,10,1.361717,0.1880,0.046090,0.0644,6,3
4L9NA,20,20,1.385746,0.1913,0.111838,0.1562,1,2
4L9NA,50,50,3.037762,0.4194,0.395735,0.5529,1,1
4L9NA,100,100,3.197557,0.4414,0.276559,0.3864,1,1
4L9NA,200,200,2.467388,0.3406,0.210515,0.2941,15,1
4L9NA,500,500,1.509674,0.2084,0.036886,0.0515,44,5
3UJCA,1,1,-1.744146,-0.2140,0.950452,0.9871,1,1
3UJCA,2,2,-0.803857,-0.0986,0.875716,0.9095,1,1
3UJCA,5,5,-0.520895,-0.0639,0.858782,0.8919,1,1
3UJCA,10,10,-1.077936,-0.1323,0.814295,0.8457,1,1
3UJCA,20,20,1.417623,0.1740,0.767607,0.7972,1,1
3UJCA,50,50,5.345099,0.6559,0.743882,0.7726,1,1
3UJCA,100,100,4.900222,0.6013,0.647765,0.6728,1,1
