jump_found,jump_from_flank,jump_to_flank,jump_delta,max_jump_from_flank,max_jump_to_flank,max_jump_delta,metric_before_jump,metric_after_jump,metric_at_last_flank,last_flank_evaluated,first_flank_ge_0_5,first_flank_ge_0_7,protein,pair_index,contact_pair,sequence_length,segment_radius,max_flank,stop_threshold,extra_after_hit,batch_size
True,21,22,0.917763230856508,21,22,0.917763230856508,0.0052572512067854404,0.9230204820632935,0.9014092087745667,27,22.0,22.0,1BRTA,0,"[119, 221]",277,5,60,0.5,2,4
True,34,35,0.5006504068151116,34,35,0.5006504068151116,0.009129702113568783,0.5097801089286804,0.6823639273643494,39,35.0,36.0,1BS0A,0,"[90, 276]",384,5,60,0.5,2,4
False,28,29,0.29933395981788635,28,29,0.29933395981788635,0.3285925090312958,0.6279264688491821,0.6412459015846252,60,29.0,,1DYPA,0,"[116, 228]",271,5,60,0.5,2,4
True,31,32,0.8087494093924761,31,32,0.8087494093924761,0.02782091312110424,0.8365703225135803,0.9992882609367371,35,32.0,32.0,1E6UA,0,"[19, 219]",321,5,60,0.5,2,4
True,37,38,0.6497481316328049,37,38,0.6497481316328049,0.03786499798297882,0.6876131296157837,0.7289187908172607,43,38.0,40.0,1ELUA,0,"[61, 281]",390,5,60,0.5,2,4
False,58,59,0.1658126413822174,58,59,0.1658126413822174,0.1051281988620758,0.2709408402442932,0.1551438421010971,60,,,1EU8A,0,"[21, 322]",409,5,60,0.5,2,4
True,34,35,0.8113056570291519,34,35,0.8113056570291519,0.005294010043144226,0.8165996670722961,0.9107640981674194,39,35.0,35.0,1F0KA,0,"[203, 315]",364,5,60,0.5,2,4
True,36,37,0.6778444573283195,36,37,0.6778444573283195,0.03726590424776077,0.7151103615760803,1.0661325454711914,39,37.0,37.0,1FNNA,0,"[48, 162]",389,5,60,0.5,2,4
False,15,16,0.46533084753900766,15,16,0.46533084753900766,0.00749152060598135,0.472822368144989,0.7771065831184387,60,17.0,17.0,1FVIA,0,"[23, 163]",297,5,60,0.5,2,4
False,25,26,0.0016406653448939323,25,26,0.0016406653448939323,0.006624055095016956,0.008264720439910889,0.00876612775027752,60,,,1GA8A,0,"[16, 265]",311,5,60,0.5,2,4
False,20,21,0.34969748742878437,20,21,0.34969748742878437,0.00601203553378582,0.3557095229625702,0.41977933049201965,60,,,1GVFA,0,"[33, 266]",286,5,60,0.5,2,4
True,19,20,0.7982972622849047,19,20,0.7982972622849047,0.00621219864115119,0.8045094609260559,0.7821371555328369,23,20.0,20.0,1IN4A,0,"[55, 174]",334,5,60,0.5,2,4
False,57,58,0.008607535623013973,57,58,0.008607535623013973,0.01298868004232645,0.021596215665340424,0.018610943108797073,60,,,1JX6A,0,"[64, 296]",342,5,60,0.5,2,4
True,26,27,0.5267895460128784,26,27,0.5267895460128784,0.45507049560546875,0.9818600416183472,0.9847198128700256,31,27.0,27.0,1K7JA,0,"[19, 131]",206,5,60,0.5,2,4
True,23,24,1.036940198391676,23,24,1.036940198391676,0.005879539996385574,1.0428197383880615,1.0405312776565552,27,24.0,24.0,1MJ5A,0,"[128, 240]",302,5,60,0.5,2,4
True,37,38,0.9586350871250033,37,38,0.9586350871250033,0.007887725718319416,0.9665228128433228,0.9321061372756958,43,38.0,38.0,1MO9A,0,"[47, 172]",523,5,60,0.5,2,4
True,9,10,0.7191210798919201,9,10,0.7191210798919201,0.006366688758134842,0.7254877686500549,0.7801510095596313,15,10.0,10.0,1NNLA,0,"[17, 175]",225,5,60,0.5,2,4
True,10,11,0.8920199759304523,10,11,0.8920199759304523,0.009720634669065475,0.9017406105995178,0.8995314240455627,15,11.0,11.0,1NOXA,0,"[64, 165]",205,5,60,0.5,2,4
False,18,19,0.010145050939172506,18,19,0.010145050939172506,0.006249588448554277,0.016394639387726784,0.012199032120406628,60,,,1NZYA,0,"[84, 232]",269,5,60,0.5,2,4
False,52,53,0.1067587360739708,52,53,0.1067587360739708,0.08973658829927444,0.19649532437324524,0.049501948058605194,60,,,1O97D,0,"[61, 172]",320,5,60,0.5,2,4
False,26,27,0.007434189319610596,26,27,0.007434189319610596,0.01481461152434349,0.022248800843954086,0.022249195724725723,60,,,1OOEA,0,"[19, 203]",236,5,60,0.5,2,4
False,44,45,0.001806073822081089,44,45,0.001806073822081089,0.00821751356124878,0.010023587383329868,0.0071678864769637585,60,,,1OZHA,0,"[227, 328]",566,5,60,0.5,2,4
False,8,9,0.0017323801293969154,8,9,0.0017323801293969154,0.00791323371231556,0.009645613841712475,0.007518337108194828,60,,,1P3DA,0,"[341, 455]",475,5,60,0.5,2,4
True,34,35,0.9853914026170969,34,35,0.9853914026170969,0.006885206326842308,0.9922766089439392,0.9777817130088806,39,35.0,35.0,1PVGA,0,"[101, 202]",418,5,60,0.5,2,4
True,23,24,0.9404117059893906,23,24,0.9404117059893906,0.00609884737059474,0.9465105533599854,0.9504746794700623,27,24.0,24.0,1Q0RA,0,"[122, 242]",298,5,60,0.5,2,4
True,56,57,0.689573367126286,56,57,0.689573367126286,0.007087807171046734,0.6966611742973328,0.7584546208381653,59,57.0,58.0,1Q6ZA,0,"[221, 322]",528,5,60,0.5,2,4
False,18,19,0.43446800438687205,18,19,0.43446800438687205,0.0050149825401604176,0.43948298692703247,0.5407841205596924,60,21.0,,1RKQA,0,"[30, 264]",282,5,60,0.5,2,4
True,55,56,0.620084005407989,55,56,0.620084005407989,0.009105485863983631,0.6291894912719727,0.9177616238594055,59,56.0,57.0,1RM6B,0,"[71, 210]",324,5,60,0.5,2,4
True,33,34,0.954162210226059,33,34,0.954162210226059,0.006728142499923706,0.9608903527259827,0.9929246306419373,39,34.0,34.0,1S0AA,0,"[67, 321]",429,5,60,0.5,2,4
True,39,40,0.9233292257413268,39,40,0.9233292257413268,0.005306371487677097,0.9286355972290039,0.9993082284927368,43,40.0,40.0,1SZWA,0,"[153, 343]",379,5,60,0.5,2,4
True,12,13,0.6712211547419429,12,13,0.6712211547419429,0.008651179261505604,0.6798723340034485,0.48108044266700745,15,13.0,,1UJ2A,0,"[25, 135]",252,5,60,0.5,2,4
True,36,37,0.7758466810919344,36,37,0.7758466810919344,0.006671646144241095,0.7825183272361755,0.934899628162384,39,37.0,37.0,1URSA,0,"[145, 268]",402,5,60,0.5,2,4
False,12,13,0.12405299115926027,12,13,0.12405299115926027,0.006879906170070171,0.13093289732933044,0.023704221472144127,60,,,1YARA,0,"[47, 213]",233,5,60,0.5,2,4
False,31,32,0.001526182983070612,31,32,0.001526182983070612,0.007262012455612421,0.008788195438683033,0.009373004548251629,60,,,1YFQA,0,"[17, 300]",342,5,60,0.5,2,4
True,32,33,0.7080526128411293,32,33,0.7080526128411293,0.09110864251852036,0.7991612553596497,0.9854175448417664,35,33.0,33.0,1YKIA,0,"[83, 189]",217,5,60,0.5,2,4
False,45,46,0.02666512504220009,45,46,0.02666512504220009,0.013774331659078598,0.040439456701278687,0.010541539639234543,60,,,1Z0SA,0,"[127, 259]",278,5,60,0.5,2,4
False,15,16,0.0019616391509771347,15,16,0.0019616391509771347,0.006764762103557587,0.008726401254534721,0.00739885913208127,60,,,1Z5ZA,0,"[31, 218]",271,5,60,0.5,2,4
False,17,18,0.011699029244482517,17,18,0.011699029244482517,0.005291149951517582,0.0169901791960001,0.015279468148946762,60,,,1ZMTA,0,"[18, 219]",254,5,60,0.5,2,4
True,52,53,0.6554945413954556,52,53,0.6554945413954556,0.005686193238943815,0.6611807346343994,0.6607898473739624,55,53.0,,1ZR6A,0,"[233, 340]",503,5,60,0.5,2,4
False,12,13,0.4191877692937851,12,13,0.4191877692937851,0.1296149045228958,0.5488026738166809,0.8734180331230164,60,13.0,15.0,2A35A,0,"[20, 187]",215,5,60,0.5,2,4
True,45,46,0.9780257940292358,45,46,0.9780257940292358,0.006297171115875244,0.9843229651451111,0.9947842359542847,51,46.0,46.0,2AQJA,0,"[35, 182]",538,5,60,0.5,2,4
True,33,34,0.9068594225682318,33,34,0.9068594225682318,0.006387328263372183,0.913246750831604,0.8926997184753418,39,34.0,34.0,2B61A,0,"[182, 316]",377,5,60,0.5,2,4
True,14,15,0.646045470610261,14,15,0.646045470610261,0.020715748891234398,0.6667612195014954,1.0095468759536743,19,15.0,17.0,2BD0A,0,"[20, 215]",244,5,60,0.5,2,4
False,13,14,0.007170437835156918,13,14,0.007170437835156918,0.006761465221643448,0.013931903056800365,0.015702448785305023,60,,,2C8MA,0,"[20, 238]",262,5,60,0.5,2,4
True,40,41,0.5070898439735174,40,41,0.5070898439735174,0.009528467431664467,0.5166183114051819,0.6198337078094482,43,41.0,,2D1SA,0,"[63, 169]",548,5,60,0.5,2,4
False,12,13,0.4144933223724365,12,13,0.4144933223724365,0.18304312229156494,0.5975364446640015,0.9849213361740112,60,13.0,14.0,2D2EA,0,"[32, 196]",250,5,60,0.5,2,4
True,29,30,0.871090903878212,29,30,0.871090903878212,0.005851432681083679,0.8769423365592957,0.8626959919929504,35,30.0,30.0,2DBYA,0,"[104, 205]",368,5,60,0.5,2,4
True,29,30,0.8866864247247577,29,30,0.8866864247247577,0.006488819606602192,0.8931752443313599,0.9284291863441467,35,30.0,30.0,2DEJA,0,"[182, 310]",350,5,60,0.5,2,4
