protein,alpha,position_type,n_positions,norm_ratio_mean,cosine_sim_mean
1A8LA,0.0,anchor,3,1.0,1.0
1A8LA,0.0,non_anchor,223,1.0,1.0
1A8LA,0.5,anchor,3,0.8504666686058044,0.9750218391418457
1A8LA,0.5,non_anchor,223,0.7596459984779358,0.9659140706062317
1A8LA,1.0,anchor,3,0.7463089823722839,0.8955985903739929
1A8LA,1.0,non_anchor,223,0.6200109720230103,0.8649435639381409
1A8LA,2.0,anchor,3,0.6985790133476257,0.7191572189331055
1A8LA,2.0,non_anchor,223,0.5351561307907104,0.7548717260360718
1A8LA,4.0,anchor,3,0.796532154083252,0.6221974492073059
1A8LA,4.0,non_anchor,223,0.5007072687149048,0.7188562750816345
1A8LA,8.0,anchor,3,1.2889422178268433,0.38232001662254333
1A8LA,8.0,non_anchor,223,0.4902384877204895,0.698046863079071
1A8LA,10.0,anchor,3,1.8176116943359375,0.1755371242761612
1A8LA,10.0,non_anchor,223,0.5025445222854614,0.657123863697052
1A8LA,12.0,anchor,3,2.6992504596710205,-0.03830611705780029
1A8LA,12.0,non_anchor,223,0.5924781560897827,0.5438106656074524
1A8LA,14.0,anchor,3,3.594872236251831,-0.10672125220298767
1A8LA,14.0,non_anchor,223,0.7985286116600037,0.4353267252445221
1A8LA,16.0,anchor,3,4.1246819496154785,-0.10263494402170181
1A8LA,16.0,non_anchor,223,1.0603629350662231,0.3621765971183777
1A8LA,32.0,anchor,3,8.87888240814209,-0.07177183032035828
1A8LA,32.0,non_anchor,223,4.361857891082764,0.06687905639410019
1ATGA,0.0,anchor,3,1.0,1.0000001192092896
1ATGA,0.0,non_anchor,228,1.0,1.0
1ATGA,0.5,anchor,3,0.8264859318733215,0.9377424120903015
1ATGA,0.5,non_anchor,228,0.7076479196548462,0.8997702598571777
1ATGA,1.0,anchor,3,0.775569498538971,0.7875697612762451
1ATGA,1.0,non_anchor,228,0.6253044605255127,0.6770420670509338
1ATGA,2.0,anchor,3,0.8032522201538086,0.5364996790885925
1ATGA,2.0,non_anchor,228,0.6230391263961792,0.45547834038734436
1ATGA,4.0,anchor,3,0.9515026211738586,0.38444599509239197
1ATGA,4.0,non_anchor,228,0.6292957663536072,0.4029558300971985
1ATGA,8.0,anchor,3,1.7623225450515747,0.17251181602478027
1ATGA,8.0,non_anchor,228,0.6668564677238464,0.34111711382865906
1ATGA,10.0,anchor,3,3.2467143535614014,-0.10578259825706482
1ATGA,10.0,non_anchor,228,0.8620135188102722,0.22234630584716797
1ATGA,12.0,anchor,3,5.1195807456970215,-0.21529392898082733
1ATGA,12.0,non_anchor,228,1.2779057025909424,0.10558454692363739
1ATGA,14.0,anchor,3,6.343627452850342,-0.24239307641983032
1ATGA,14.0,non_anchor,228,1.8315913677215576,0.02361915446817875
1ATGA,16.0,anchor,3,7.415372848510742,-0.24268072843551636
1ATGA,16.0,non_anchor,228,2.467129945755005,-0.04233546182513237
1ATGA,32.0,anchor,3,15.025390625,-0.18752628564834595
1ATGA,32.0,non_anchor,228,8.62905502319336,-0.12744899094104767
