protein,n_res,top1_mass,top3_mass,eff_keys,keys_50pct,max_key_mass,rank_corr,rank_corr_p,top3_overlap,cos_sim_d,anchor_pos,anchor_aa,is_anchor_like
1ei1-assembly1cifgz,391,0.6439726948738098,0.8398231267929077,5.97614383615962,1,0.6439726948738098,0.9836427547607672,1.0891348143078546e-291,0.6666666666666666,0.9609475135803223,69,V,True
1mx0-assembly1cifgz,455,0.6415120363235474,0.8272129893302917,6.071376139002776,1,0.6415120363235474,0.9800311096276781,0.0,0.6666666666666666,0.9721330404281616,70,V,True
7cmp-assembly2cifgz,374,0.7451813220977783,0.8347965478897095,4.665226828031937,1,0.7451813220977783,0.9861177044056716,3.541125599898301e-292,1.0,0.9578232169151306,63,V,True
1pvg-assembly1cifgz,378,0.7556583285331726,0.8516594171524048,4.208911749790565,1,0.7556583285331726,0.9708979341405871,1.7432078692685153e-235,1.0,0.9508474469184875,90,V,True
3zkb-assembly8cifgz,373,0.6854135394096375,0.8399447798728943,5.335642295478485,1,0.6854135394096375,0.9828618482056678,1.4876370349292149e-274,0.6666666666666666,0.9571338295936584,66,V,True
3zkd-assembly3cifgz,376,0.6946945190429688,0.8380002379417419,5.239457968781914,1,0.6946945190429688,0.9816147638128563,4.1837718830839173e-271,0.6666666666666666,0.9572080373764038,67,V,True
3zm7-assembly1cifgz,359,0.5483712553977966,0.824699342250824,7.695403388074479,1,0.5483712553977966,0.9807280724960189,2.9928298186492494e-255,1.0,0.9536807537078857,61,V,True
3zm7-assembly3cifgz,346,0.5987139940261841,0.8134341835975647,7.19117524779384,1,0.5987139940261841,0.9813858491953069,1.3588465217329382e-248,0.6666666666666666,0.950973629951477,55,V,True
3cwv-assembly1cifgz,349,0.690811812877655,0.7983202338218689,5.64926484714245,1,0.690811812877655,0.9811585529380213,7.71765202187444e-250,1.0,0.9348636865615845,57,L,True
3cwv-assembly2cifgz,311,0.6871393322944641,0.7983144521713257,5.298349480678371,1,0.6871393322944641,0.9721509897632706,9.123432988319649e-197,1.0,0.8022750020027161,256,V,True
1b62-assembly1cifgz,331,0.60149747133255,0.835692822933197,6.504262574677823,1,0.60149747133255,0.9921827380932686,1.9658057209832583e-299,1.0,0.9722073674201965,57,I,True
1nhh-assembly1cifgz,328,0.5889584422111511,0.836549699306488,6.587682209505179,1,0.5889584422111511,0.9920040182248399,3.989057407663725e-295,1.0,0.9727851748466492,57,I,True
