protein,seq_len,n_long_range_contacts,anchor_positions,n_anchors_steered,alpha,P_L5,P_L2,P_L,kl_div,l10h9_top3_mass
1A8LA,226,355,[137],1,0.0,0.9777777777777777,0.8495575221238938,0.6902654867256637,0.0,0.9061628580093384
1A8LA,226,355,[137],1,0.5,0.9777777777777777,0.8495575221238938,0.6858407079646017,0.0016895512817427516,0.7690078020095825
1A8LA,226,355,[137],1,1.0,0.9777777777777777,0.8672566371681416,0.6902654867256637,0.00365417986176908,0.8132669925689697
1A8LA,226,355,[137],1,2.0,0.9777777777777777,0.8761061946902655,0.6946902654867256,0.007050675805658102,0.8188619613647461
1A8LA,226,355,[137],1,4.0,0.9777777777777777,0.8761061946902655,0.6902654867256637,0.00936377327889204,0.8188740015029907
1A8LA,226,355,[137],1,8.0,0.9777777777777777,0.8849557522123894,0.6814159292035398,0.018927792087197304,0.8188740015029907
1A8LA,226,355,[137],1,16.0,0.9333333333333333,0.8053097345132744,0.6327433628318584,0.1708240956068039,0.8188740015029907
1A8LA,226,355,[137],1,32.0,0.2222222222222222,0.1592920353982301,0.13274336283185842,1.1293073892593384,0.8188740015029907
1ATGA,231,445,[160],1,0.0,0.9565217391304348,0.8434782608695652,0.7445887445887446,0.0,0.7938668727874756
1ATGA,231,445,[160],1,0.5,0.9565217391304348,0.8434782608695652,0.7445887445887446,0.0001872456050477922,0.6229750514030457
1ATGA,231,445,[160],1,1.0,0.9565217391304348,0.8521739130434782,0.7445887445887446,0.0004808001685887575,0.6499654054641724
1ATGA,231,445,[160],1,2.0,0.9565217391304348,0.8521739130434782,0.7619047619047619,0.001015538233332336,0.6628142595291138
1ATGA,231,445,[160],1,4.0,0.9565217391304348,0.8521739130434782,0.7662337662337663,0.0017862897366285324,0.6630682945251465
1ATGA,231,445,[160],1,8.0,0.9565217391304348,0.8521739130434782,0.7575757575757576,0.0022411863319575787,0.6630683541297913
1ATGA,231,445,[160],1,16.0,0.9565217391304348,0.8782608695652174,0.7489177489177489,0.03855903074145317,0.6630683541297913
1ATGA,231,445,[160],1,32.0,0.2391304347826087,0.1565217391304348,0.07792207792207792,0.7208345532417297,0.6630683541297913
1B5QA,472,802,[428],1,0.0,0.776595744680851,0.6822033898305084,0.4978813559322034,0.0,0.9508631229400635
1B5QA,472,802,[428],1,0.5,0.7978723404255319,0.6864406779661016,0.4978813559322034,0.001226194086484611,0.8877992630004883
1B5QA,472,802,[428],1,1.0,0.8085106382978723,0.690677966101695,0.4957627118644068,0.0024710025172680616,0.8729159832000732
1B5QA,472,802,[428],1,2.0,0.8085106382978723,0.690677966101695,0.4915254237288136,0.0041540879756212234,0.8780347108840942
1B5QA,472,802,[428],1,4.0,0.8085106382978723,0.6694915254237288,0.4978813559322034,0.008455396629869938,0.8782957792282104
1B5QA,472,802,[428],1,8.0,0.7872340425531915,0.6313559322033898,0.4788135593220339,0.08551520854234695,0.8782958984375
1B5QA,472,802,[428],1,16.0,0.1276595744680851,0.059322033898305086,0.038135593220338986,0.8945374488830566,0.8782958984375
1B5QA,472,802,[428],1,32.0,0.1276595744680851,0.07203389830508475,0.05084745762711865,2.1115260124206543,0.8782958984375
1B63A,333,509,[57],1,0.0,0.9696969696969697,0.8554216867469879,0.6066066066066066,0.0,0.8605196475982666
1B63A,333,509,[57],1,0.5,0.9696969696969697,0.8433734939759037,0.6186186186186187,0.0012718405341729522,0.6117892265319824
1B63A,333,509,[57],1,1.0,0.9545454545454546,0.8433734939759037,0.6186186186186187,0.002684728940948844,0.5721002817153931
1B63A,333,509,[57],1,2.0,0.9545454545454546,0.8373493975903614,0.6186186186186187,0.0033862548880279064,0.5784865617752075
1B63A,333,509,[57],1,4.0,0.9545454545454546,0.8373493975903614,0.6156156156156156,0.0035016797482967377,0.5785401463508606
1B63A,333,509,[57],1,8.0,0.9242424242424242,0.7831325301204819,0.5855855855855856,0.044273827224969864,0.5785401463508606
1B63A,333,509,[57],1,16.0,0.5303030303030303,0.29518072289156627,0.23123123123123124,0.7310001254081726,0.5785401463508606
1B63A,333,509,[57],1,32.0,0.045454545454545456,0.030120481927710843,0.021021021021021023,1.6275508403778076,0.5785401463508606
1BRTA,277,515,[26],1,0.0,0.9272727272727272,0.8840579710144928,0.7978339350180506,0.0,0.9583495259284973
1BRTA,277,515,[26],1,0.5,0.9272727272727272,0.8840579710144928,0.7942238267148014,0.0007015079027041793,0.9015756249427795
1BRTA,277,515,[26],1,1.0,0.9272727272727272,0.8913043478260869,0.7942238267148014,0.0021730861626565456,0.8631200790405273
1BRTA,277,515,[26],1,2.0,0.9272727272727272,0.8913043478260869,0.7870036101083032,0.006384915206581354,0.8601250648498535
1BRTA,277,515,[26],1,4.0,0.9454545454545454,0.8985507246376812,0.7870036101083032,0.018319185823202133,0.8630896210670471
1BRTA,277,515,[26],1,8.0,0.9454545454545454,0.8913043478260869,0.7833935018050542,0.022573664784431458,0.8630973100662231
1BRTA,277,515,[26],1,16.0,0.9636363636363636,0.9057971014492754,0.7653429602888087,0.17329305410385132,0.8630973100662231
1BRTA,277,515,[26],1,32.0,0.41818181818181815,0.2536231884057971,0.21299638989169675,1.0309393405914307,0.8630973100662231
1BS0A,384,643,[201],1,0.0,0.9868421052631579,0.84375,0.6744791666666666,0.0,0.9027053117752075
